#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126810,60331524,2,I5H66_gp02,SEA_MISHA28_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2126810,60331596,80,I5H66_gp80,SEA_MISHA28_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331597,81,I5H66_gp81,SEA_MISHA28_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331598,82,I5H66_gp82,SEA_MISHA28_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331599,83,I5H66_gp83,SEA_MISHA28_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331600,85,I5H66_gp85,SEA_MISHA28_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331601,86,I5H66_gp86,SEA_MISHA28_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331602,87,I5H66_gp87,SEA_MISHA28_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331603,88,I5H66_gp88,SEA_MISHA28_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331604,89,I5H66_gp89,SEA_MISHA28_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331605,90,I5H66_gp90,SEA_MISHA28_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331606,91,I5H66_gp91,SEA_MISHA28_91,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2126810,60331607,92,I5H66_gp92,SEA_MISHA28_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331608,93,I5H66_gp93,SEA_MISHA28_93,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2126810,60331609,84,I5H66_gp84,SEA_MISHA28_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331610,38,I5H66_gp38,SEA_MISHA28_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331611,47,I5H66_gp47,SEA_MISHA28_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331612,62,I5H66_gp62,SEA_MISHA28_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331613,74,I5H66_gp74,SEA_MISHA28_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2126810,60331614,42,I5H66_gp42,SEA_MISHA28_42,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2126810,60331615,52,I5H66_gp52,SEA_MISHA28_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2126810,60331616,1,I5H66_gp01,SEA_MISHA28_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2126810,60338651,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Misha28).,other,-,-,-,-,20201130,-
