#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1161903,13405441,B614_gp02,B614_gp02,PPMP42_02,-,-,-,Ner-like protein,protein-coding,-,-,-,Ner-like protein,20200629,-
1161903,13405471,B614_gp32,B614_gp32,PPMP42_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405472,B614_gp33,B614_gp33,PPMP42_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405473,B614_gp34,B614_gp34,PPMP42_34,-,-,-,protease(I) and scaffold(Z) protein,protein-coding,-,-,-,protease(I) and scaffold(Z) protein,20200629,-
1161903,13405474,B614_gp35,B614_gp35,PPMP42_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1161903,13405475,B614_gp36,B614_gp36,PPMP42_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405476,B614_gp37,B614_gp37,PPMP42_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405477,B614_gp38,B614_gp38,PPMP42_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1161903,13405478,B614_gp39,B614_gp39,PPMP42_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405479,B614_gp40,B614_gp40,PPMP42_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405480,B614_gp41,B614_gp41,PPMP42_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405481,B614_gp42,B614_gp42,PPMP42_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405482,B614_gp44,B614_gp44,PPMP42_44,-,-,-,putative tail component protein,protein-coding,-,-,-,putative tail component protein,20200905,-
1161903,13405483,B614_gp46,B614_gp46,PPMP42_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405484,B614_gp45,B614_gp45,PPMP42_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405485,B614_gp47,B614_gp47,PPMP42_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405486,B614_gp48,B614_gp48,PPMP42_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405487,B614_gp49,B614_gp49,PPMP42_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405488,B614_gp50,B614_gp50,PPMP42_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405489,B614_gp51,B614_gp51,PPMP42_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405490,B614_gp52,B614_gp52,PPMP42_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405491,B614_gp53,B614_gp53,PPMP42_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405492,B614_gp43,B614_gp43,PPMP42_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1161903,13405493,B614_gp01,B614_gp01,PPMP42_01,-,-,-,c repressor,protein-coding,-,-,-,c repressor,20200629,-
1161903,13436174,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
