#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743801,65127361,KNV13_gp02,KNV13_gp02,elemo135B_phanotate2,-,-,-,DUF285 domain-containing protein,protein-coding,-,-,-,DUF285 domain-containing protein,20210608,-
2743801,65127387,KNV13_gp28,KNV13_gp28,elemo135B_phanotate28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127388,KNV13_gp29,KNV13_gp29,elemo135B_phanotate29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127389,KNV13_gp30,KNV13_gp30,elemo135B_phanotate30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127390,KNV13_gp31,KNV13_gp31,elemo135B_phanotate31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127391,KNV13_gp32,KNV13_gp32,elemo135B_phanotate32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127392,KNV13_gp33,KNV13_gp33,elemo135B_phanotate33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127393,KNV13_gp34,KNV13_gp34,elemo135B_phanotate34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127394,KNV13_gp35,KNV13_gp35,elemo135B_phanotate35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127395,KNV13_gp36,KNV13_gp36,elemo135B_phanotate36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127396,KNV13_gp37,KNV13_gp37,elemo135B_phanotate37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127397,KNV13_gp38,KNV13_gp38,elemo135B_phanotate38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127398,KNV13_gp39,KNV13_gp39,elemo135B_phanotate39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127399,KNV13_gp40,KNV13_gp40,elemo135B_phanotate40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127400,KNV13_gp41,KNV13_gp41,elemo135B_phanotate41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127401,KNV13_gp42,KNV13_gp42,elemo135B_phanotate42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127402,KNV13_gp43,KNV13_gp43,elemo135B_phanotate43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127403,KNV13_gp44,KNV13_gp44,elemo135B_phanotate44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127404,KNV13_gp45,KNV13_gp45,elemo135B_phanotate45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127405,KNV13_gp46,KNV13_gp46,elemo135B_phanotate46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127406,KNV13_gp47,KNV13_gp47,elemo135B_phanotate47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127407,KNV13_gp48,KNV13_gp48,elemo135B_phanotate48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127408,KNV13_gp49,KNV13_gp49,elemo135B_phanotate49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127409,KNV13_gp50,KNV13_gp50,elemo135B_phanotate50,-,-,-,ERF superfamily protein,protein-coding,-,-,-,ERF superfamily protein,20210608,-
2743801,65127410,KNV13_gp51,KNV13_gp51,elemo135B_phanotate51,-,-,-,5'-3' exonuclease,protein-coding,-,-,-,5'-3' exonuclease,20210608,-
2743801,65127411,KNV13_gp52,KNV13_gp52,elemo135B_phanotate52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127412,KNV13_gp53,KNV13_gp53,elemo135B_phanotate53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127413,KNV13_gp54,KNV13_gp54,elemo135B_phanotate54,-,-,-,"ABC-type histidine transport system, ATPase component",protein-coding,-,-,-,"ABC-type histidine transport system, ATPase component",20210608,-
2743801,65127414,KNV13_gp55,KNV13_gp55,elemo135B_phanotate55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127415,KNV13_gp56,KNV13_gp56,elemo135B_phanotate56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127416,KNV13_gt01,KNV13_gt01,elemo135B_tRNA1,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2743801,65127417,KNV13_gp90,KNV13_gp90,elemo135B_phanotate58,-,-,-,replication protein,protein-coding,-,-,-,replication protein,20210608,-
2743801,65127418,KNV13_gp89,KNV13_gp89,elemo135B_phanotate59,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210608,-
2743801,65127419,KNV13_gp88,KNV13_gp88,elemo135B_phanotate60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127420,KNV13_gp87,KNV13_gp87,elemo135B_phanotate61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127421,KNV13_gp86,KNV13_gp86,elemo135B_phanotate62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127422,KNV13_gp85,KNV13_gp85,elemo135B_phanotate63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127423,KNV13_gp84,KNV13_gp84,elemo135B_phanotate64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127424,KNV13_gp83,KNV13_gp83,elemo135B_phanotate65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127425,KNV13_gp82,KNV13_gp82,elemo135B_phanotate66,-,-,-,calcineurin-like phosphoesterase,protein-coding,-,-,-,calcineurin-like phosphoesterase,20210608,-
2743801,65127426,KNV13_gp81,KNV13_gp81,elemo135B_phanotate67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127427,KNV13_gp80,KNV13_gp80,elemo135B_phanotate68,-,-,-,dihydroorotase,protein-coding,-,-,-,dihydroorotase,20210608,-
2743801,65127428,KNV13_gp79,KNV13_gp79,elemo135B_phanotate69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127429,KNV13_gp78,KNV13_gp78,elemo135B_phanotate70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127430,KNV13_gp77,KNV13_gp77,elemo135B_phanotate71,-,-,-,L-ribulose-5-phosphate 3-epimerase,protein-coding,-,-,-,L-ribulose-5-phosphate 3-epimerase,20210608,-
2743801,65127431,KNV13_gp76,KNV13_gp76,elemo135B_phanotate72,-,-,-,protein of unknown function DUF1064,protein-coding,-,-,-,protein of unknown function DUF1064,20210608,-
2743801,65127432,KNV13_gp75,KNV13_gp75,elemo135B_phanotate73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127433,KNV13_gp74,KNV13_gp74,elemo135B_phanotate74,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743801,65127434,KNV13_gp73,KNV13_gp73,elemo135B_phanotate75,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,protein-coding,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,20210608,-
2743801,65127435,KNV13_gp72,KNV13_gp72,elemo135B_phanotate76,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127436,KNV13_gp71,KNV13_gp71,elemo135B_phanotate77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127437,KNV13_gp70,KNV13_gp70,elemo135B_phanotate78,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127438,KNV13_gp69,KNV13_gp69,elemo135B_phanotate79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127439,KNV13_gp68,KNV13_gp68,elemo135B_phanotate80,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127440,KNV13_gp67,KNV13_gp67,elemo135B_phanotate81,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127441,KNV13_gp66,KNV13_gp66,elemo135B_phanotate82,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127442,KNV13_gp65,KNV13_gp65,elemo135B_phanotate83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127443,KNV13_gp64,KNV13_gp64,elemo135B_phanotate84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127444,KNV13_gp63,KNV13_gp63,elemo135B_phanotate85,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127445,KNV13_gp62,KNV13_gp62,elemo135B_phanotate86,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743801,65127446,KNV13_gp61,KNV13_gp61,elemo135B_phanotate87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127447,KNV13_gp60,KNV13_gp60,elemo135B_phanotate88,-,-,-,chaperonin cpn10,protein-coding,-,-,-,chaperonin cpn10,20210608,-
2743801,65127448,KNV13_gp59,KNV13_gp59,elemo135B_phanotate89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127449,KNV13_gp58,KNV13_gp58,elemo135B_phanotate90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127450,KNV13_gp57,KNV13_gp57,elemo135B_phanotate91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127451,KNV13_gp91,KNV13_gp91,elemo135B_phanotate57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65127452,KNV13_gp01,KNV13_gp01,elemo135B_phanotate1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743801,65243437,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Flavobacterium phage vB_Fsp_elemo13-5B).,other,-,-,-,-,20210609,-
