#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099637,60335823,2,I5J36_gp02,SEA_MENDOKYSEI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20201130,-
2099637,60335850,30,I5J36_gp30,SEA_MENDOKYSEI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335851,31,I5J36_gp31,SEA_MENDOKYSEI_31,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210417,-
2099637,60335852,32,I5J36_gp32,SEA_MENDOKYSEI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335853,33,I5J36_gp33,SEA_MENDOKYSEI_33,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2099637,60335854,34,I5J36_gp34,SEA_MENDOKYSEI_34,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210417,-
2099637,60335855,35,I5J36_gp35,SEA_MENDOKYSEI_35,-,-,-,excise,protein-coding,-,-,-,excise,20210417,-
2099637,60335856,36,I5J36_gp36,SEA_MENDOKYSEI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335857,37,I5J36_gp37,SEA_MENDOKYSEI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335858,38,I5J36_gp38,SEA_MENDOKYSEI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335859,39,I5J36_gp39,SEA_MENDOKYSEI_39,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2099637,60335860,40,I5J36_gp40,SEA_MENDOKYSEI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099637,60335861,41,I5J36_gp41,SEA_MENDOKYSEI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335862,43,I5J36_gp43,SEA_MENDOKYSEI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335863,44,I5J36_gp44,SEA_MENDOKYSEI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335864,45,I5J36_gp45,SEA_MENDOKYSEI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335865,46,I5J36_gp46,SEA_MENDOKYSEI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335866,47,I5J36_gp47,SEA_MENDOKYSEI_47,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2099637,60335867,48,I5J36_gp48,SEA_MENDOKYSEI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335868,49,I5J36_gp49,SEA_MENDOKYSEI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335869,50,I5J36_gp50,SEA_MENDOKYSEI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335870,51,I5J36_gp51,SEA_MENDOKYSEI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335871,52,I5J36_gp52,SEA_MENDOKYSEI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335872,53,I5J36_gp53,SEA_MENDOKYSEI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335873,54,I5J36_gp54,SEA_MENDOKYSEI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335874,55,I5J36_gp55,SEA_MENDOKYSEI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335875,56,I5J36_gp56,SEA_MENDOKYSEI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335876,57,I5J36_gp57,SEA_MENDOKYSEI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335877,58,I5J36_gp58,SEA_MENDOKYSEI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335878,59,I5J36_gp59,SEA_MENDOKYSEI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335879,60,I5J36_gp60,SEA_MENDOKYSEI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335880,61,I5J36_gp61,SEA_MENDOKYSEI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335881,62,I5J36_gp62,SEA_MENDOKYSEI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335882,64,I5J36_gp64,SEA_MENDOKYSEI_64,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2099637,60335883,65,I5J36_gp65,SEA_MENDOKYSEI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2099637,60335884,16,I5J36_gp16,SEA_MENDOKYSEI_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2099637,60335885,42,I5J36_gp42,SEA_MENDOKYSEI_42,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210417,-
2099637,60335886,63,I5J36_gp63,SEA_MENDOKYSEI_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2099637,60335887,1,I5J36_gp01,SEA_MENDOKYSEI_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2099637,60350507,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
