#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
204507,4179090,vlf-1,NANV_gp45,-,-,-,-,very late factor 1,protein-coding,-,-,-,very late factor 1,20180815,-
204507,4179121,NANV_gp67,NANV_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179122,NANV_gp69,NANV_gp69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179123,NANV_gp70,NANV_gp70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179124,NANV_gp71,NANV_gp71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179125,NANV_gp72,NANV_gp72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179126,NANV_gp73,NANV_gp73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179127,NANV_gp74,NANV_gp74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179128,NANV_gp75,NANV_gp75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179129,NANV_gp76,NANV_gp76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179130,NANV_gp77,NANV_gp77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179131,NANV_gp78,NANV_gp78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179132,NANV_gp80,NANV_gp80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179133,NANV_gp81,NANV_gp81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179134,NANV_gp82,NANV_gp82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179135,NANV_gp84,NANV_gp84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179136,NANV_gp85,NANV_gp85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179137,NANV_gp86,NANV_gp86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179138,NANV_gp89,NANV_gp89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179139,NANV_gp90,NANV_gp90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179140,NANV_gp91,NANV_gp91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179141,NANV_gp93,NANV_gp93,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179142,NANV_gp27,NANV_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179143,NANV_gp28,NANV_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179144,NANV_gp29,NANV_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179145,NANV_gp30,NANV_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179146,NANV_gp31,NANV_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179147,NANV_gp33,NANV_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179148,NANV_gp35,NANV_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179149,NANV_gp36,NANV_gp36,-,-,-,-,alkaline exonuclease,protein-coding,-,-,-,alkaline exonuclease,20180815,-
204507,4179150,gp41,NANV_gp47,-,-,-,-,occlusion derived virus envelope glycoprotein 41,protein-coding,-,-,-,occlusion derived virus envelope glycoprotein 41,20210320,-
204507,4179151,p47,NANV_gp49,-,-,-,-,transcription regulator,protein-coding,-,-,-,transcription regulator,20180815,-
204507,4179152,p74,NANV_gp50,-,-,-,-,p74,protein-coding,-,-,-,p74,20180815,-
204507,4179153,pif-2,NANV_gp55,-,-,-,-,per-os infectivity factor 2,protein-coding,-,-,-,per-os infectivity factor 2,20180815,-
204507,4179154,lef-9,NANV_gp39,-,-,-,-,late expression factor 9,protein-coding,-,-,-,late expression factor 9,20180815,-
204507,4179155,NANV_gp02,NANV_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179156,NANV_gp03,NANV_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179157,NANV_gp04,NANV_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179158,NANV_gp05,NANV_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179159,NANV_gp09,NANV_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179160,NANV_gp10,NANV_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179161,NANV_gp11,NANV_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179162,NANV_gp13,NANV_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179163,NANV_gp14,NANV_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179164,NANV_gp15,NANV_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179165,NANV_gp17,NANV_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179166,NANV_gp18,NANV_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179167,NANV_gp19,NANV_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179168,NANV_gp20,NANV_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179169,NANV_gp22,NANV_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179170,NANV_gp23,NANV_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179171,NANV_gp24,NANV_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179172,NANV_gp25,NANV_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179173,NANV_gp26,NANV_gp26,-,-,-,-,trypsin-like protein,protein-coding,-,-,-,trypsin-like protein,20180815,-
204507,4179174,polh,NANV_gp01,-,-,-,-,polyhedrin major occlusion body protein,protein-coding,-,-,-,polyhedrin major occlusion body protein,20180815,-
204507,4179175,dbp,NANV_gp06,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20180815,-
204507,4179176,lef-11,NANV_gp07,-,-,-,-,late expression factor 11,protein-coding,-,-,-,late expression factor 11,20180815,-
204507,4179177,p33,NANV_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179178,dnapol,NANV_gp12,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
204507,4179179,odv-e56,NANV_gp16,-,-,-,-,occlusion derived virus envelope protein 56,protein-coding,-,-,-,occlusion derived virus envelope protein 56,20180815,-
204507,4179180,iap3,NANV_gp21,-,-,-,-,inhibitor of apoptosis,protein-coding,-,-,-,inhibitor of apoptosis,20180815,-
204507,4179181,p40,NANV_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4179182,p45,NANV_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
204507,4230870,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Neodiprion abietis nucleopolyhedrovirus).,other,-,-,-,-,20210531,-
