#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1163482,14016627,SEP1_gp02,F491_gp02,-,-,-,-,putative phage terminase large subunit,protein-coding,-,-,-,putative phage terminase large subunit,20200629,-
1163482,14016655,SEP1_gp30,F491_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016656,SEP1_gp31,F491_gp31,-,-,-,-,putative tail fibre protein,protein-coding,-,-,-,putative tail fibre protein,20200629,-
1163482,14016657,SEP1_gp32,F491_gp32,-,-,-,-,putative tailspike protein,protein-coding,-,-,-,putative tailspike protein,20200629,-
1163482,14016658,SEP1_gp33,F491_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016659,SEP1_gp34,F491_gp34,-,-,-,-,putative intein containing helicase precursor,protein-coding,-,-,-,putative intein containing helicase precursor,20200629,-
1163482,14016660,SEP1_gp35,F491_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016661,SEP1_gp36,F491_gp36,-,-,-,-,putative restriction endonuclease,protein-coding,-,-,-,putative restriction endonuclease,20210123,-
1163482,14016662,SEP1_gp37,F491_gp37,-,-,-,-,putative intein-containing DNA polymerase precursor,protein-coding,-,-,-,putative intein-containing DNA polymerase precursor,20200629,-
1163482,14016663,SEP1_gp38,F491_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1163482,14016664,SEP1_gp39,F491_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016665,SEP1_gp40,F491_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1163482,14016666,SEP1_gp41,F491_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016667,SEP1_gp42,F491_gp42,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200629,-
1163482,14016668,SEP1_gp43,F491_gp43,-,-,-,-,putative phage replicative helicase primase,protein-coding,-,-,-,putative phage replicative helicase primase,20200629,-
1163482,14016669,SEP1_gp44,F491_gp44,-,-,-,-,putative uvsX-like protein,protein-coding,-,-,-,putative uvsX-like protein,20200629,-
1163482,14016670,SEP1_gp45,F491_gp45,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20210129,-
1163482,14016671,SEP1_gp46,F491_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016672,SEP1_gp47,F491_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016673,SEP1_gp48,F491_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016674,SEP1_gp49,F491_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016675,SEP1_gp50,F491_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016676,SEP1_gp51,F491_gp51,-,-,-,-,"putative holin, class II",protein-coding,-,-,-,"putative holin, class II",20200629,-
1163482,14016677,SEP1_gp52,F491_gp52,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200629,-
1163482,14016678,SEP1_gp53,F491_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016679,SEP1_gp54,F491_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016680,SEP1_gp55,F491_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016681,SEP1_gp56,F491_gp56,-,-,-,-,putative NinH-like protein,protein-coding,-,-,-,putative NinH-like protein,20200629,-
1163482,14016682,SEP1_gp57,F491_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016683,SEP1_gp58,F491_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1163482,14016684,SEP1_gp01,F491_gp01,-,-,-,-,"putative phage terminase, small subunit",protein-coding,-,-,-,"putative phage terminase, small subunit",20200629,-
1163482,14023596,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage vB_SenS-Ent1).,other,-,-,-,-,20200513,-
