#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1325731,16511659,N375_gp50,N375_gp50,-,-,-,-,cytochrome c oxidase subunit I,protein-coding,-,-,-,cytochrome c oxidase subunit I,20200629,-
1325731,16511691,N375_gp47,N375_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511692,N375_gp39,N375_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511693,N375_gp59,N375_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511694,N375_gp58,N375_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511695,N375_gp61,N375_gp61,-,-,-,-,LuxR family transcriptional regulator,protein-coding,-,-,-,LuxR family transcriptional regulator,20210129,-
1325731,16511696,N375_gp62,N375_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511697,N375_gp22,N375_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511698,N375_gp49,N375_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511699,N375_gp60,N375_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511700,N375_gp45,N375_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1325731,16511701,N375_gp33,N375_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511702,N375_gp31,N375_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511703,N375_gp20,N375_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511704,N375_gp57,N375_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511705,N375_gp15,N375_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511706,N375_gp18,N375_gp18,-,-,-,-,DUF932 domain-containing protein,protein-coding,-,-,-,DUF932 domain-containing protein,20210129,-
1325731,16511707,N375_gp38,N375_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511708,N375_gp09,N375_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511709,N375_gp04,N375_gp04,-,-,-,-,putative phage tail protein,protein-coding,-,-,-,putative phage tail protein,20200629,-
1325731,16511710,N375_gp05,N375_gp05,-,-,-,-,DUF4468 domain-containing protein,protein-coding,-,-,-,DUF4468 domain-containing protein,20201221,-
1325731,16511711,N375_gp24,N375_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511712,N375_gp12,N375_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511713,N375_gp37,N375_gp37,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210129,-
1325731,16511714,N375_gp36,N375_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511715,N375_gp52,N375_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511716,N375_gp56,N375_gp56,-,-,-,-,"di-trans,poly-cis-decaprenylcistransferase",protein-coding,-,-,-,"di-trans,poly-cis-decaprenylcistransferase",20200629,-
1325731,16511717,N375_gp17,N375_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511718,N375_gp08,N375_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511719,N375_gp03,N375_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511720,N375_gp23,N375_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1325731,16511721,N375_gp63,N375_gp63,-,-,-,-,XRE family transcriptional regulator,protein-coding,-,-,-,XRE family transcriptional regulator,20201221,-
1325731,16545720,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Flavobacterium psychrophilum bacteriophage 6H).,other,-,-,-,-,20200513,-
