#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762397,65128216,2,KNV23_gp02,SEA_AZULA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210609,-
2762397,65128258,44,KNV23_gp44,SEA_AZULA_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2762397,65128259,45,KNV23_gp45,SEA_AZULA_45,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210608,-
2762397,65128260,46,KNV23_gp46,SEA_AZULA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128261,47,KNV23_gp47,SEA_AZULA_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210609,-
2762397,65128262,48,KNV23_gp48,SEA_AZULA_48,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762397,65128263,49,KNV23_gp49,SEA_AZULA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128264,50,KNV23_gp50,SEA_AZULA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128265,51,KNV23_gp51,SEA_AZULA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128266,52,KNV23_gp52,SEA_AZULA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128267,53,KNV23_gp53,SEA_AZULA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128268,54,KNV23_gp54,SEA_AZULA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128269,55,KNV23_gp55,SEA_AZULA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128270,56,KNV23_gp56,SEA_AZULA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128271,57,KNV23_gp57,SEA_AZULA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128272,58,KNV23_gp58,SEA_AZULA_58,-,-,-,dnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,dnaQ-like DNA polymerase III subunit,20210609,-
2762397,65128273,59,KNV23_gp59,SEA_AZULA_59,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210609,-
2762397,65128274,60,KNV23_gp60,SEA_AZULA_60,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210609,-
2762397,65128275,61,KNV23_gp61,SEA_AZULA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128276,62,KNV23_gp62,SEA_AZULA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128277,63,KNV23_gp63,SEA_AZULA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128278,64,KNV23_gp64,SEA_AZULA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128279,65,KNV23_gp65,SEA_AZULA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128280,66,KNV23_gp66,SEA_AZULA_66,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210608,-
2762397,65128281,67,KNV23_gp67,SEA_AZULA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128282,68,KNV23_gp68,SEA_AZULA_68,-,-,-,nucleotidyl transferase,protein-coding,-,-,-,nucleotidyl transferase,20210609,-
2762397,65128283,69,KNV23_gp69,SEA_AZULA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128284,70,KNV23_gp70,SEA_AZULA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128285,71,KNV23_gp71,SEA_AZULA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128286,72,KNV23_gp72,SEA_AZULA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128287,73,KNV23_gp73,SEA_AZULA_73,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210609,-
2762397,65128288,74,KNV23_gp74,SEA_AZULA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128289,75,KNV23_gp75,SEA_AZULA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128290,76,KNV23_gp76,SEA_AZULA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128291,77,KNV23_gp77,SEA_AZULA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128292,78,KNV23_gp78,SEA_AZULA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128293,79,KNV23_gp79,SEA_AZULA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128294,80,KNV23_gp80,SEA_AZULA_80,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210609,-
2762397,65128295,81,KNV23_gp81,SEA_AZULA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128296,82,KNV23_gp82,SEA_AZULA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128297,83,KNV23_gp83,SEA_AZULA_83,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210608,-
2762397,65128298,84,KNV23_gp84,SEA_AZULA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128299,85,KNV23_gp85,SEA_AZULA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2762397,65128300,86,KNV23_gp86,SEA_AZULA_86,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2762397,65128301,1,KNV23_gp01,SEA_AZULA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2762397,65243495,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
