#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588513,55619247,2,HWC44_gp002,SEA_THETABOB_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200620,-
2588513,55619312,67,HWC44_gp067,SEA_THETABOB_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619313,68,HWC44_gp068,SEA_THETABOB_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619314,69,HWC44_gp069,SEA_THETABOB_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619315,70,HWC44_gp070,SEA_THETABOB_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619316,71,HWC44_gp071,SEA_THETABOB_71,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210406,-
2588513,55619317,72,HWC44_gp072,SEA_THETABOB_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619318,73,HWC44_gp073,SEA_THETABOB_73,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
2588513,55619319,74,HWC44_gp074,SEA_THETABOB_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619320,75,HWC44_gp075,SEA_THETABOB_75,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201217,-
2588513,55619321,76,HWC44_gp076,SEA_THETABOB_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619322,77,HWC44_gp077,SEA_THETABOB_77,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20201217,-
2588513,55619323,78,HWC44_gp078,SEA_THETABOB_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619324,79,HWC44_gp079,SEA_THETABOB_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619325,80,HWC44_gp080,SEA_THETABOB_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619326,81,HWC44_gp081,SEA_THETABOB_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619327,82,HWC44_gp082,SEA_THETABOB_82,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20200620,-
2588513,55619328,83,HWC44_gp083,SEA_THETABOB_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619329,84,HWC44_gp084,SEA_THETABOB_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619330,85,HWC44_gp085,SEA_THETABOB_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619331,86,HWC44_gp086,SEA_THETABOB_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619332,87,HWC44_gp087,SEA_THETABOB_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619333,88,HWC44_gp088,SEA_THETABOB_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619334,89,HWC44_gp089,SEA_THETABOB_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619335,90,HWC44_gp090,SEA_THETABOB_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619336,91,HWC44_gp091,SEA_THETABOB_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619337,92,HWC44_gp092,SEA_THETABOB_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619338,93,HWC44_gp093,SEA_THETABOB_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2588513,55619339,94,HWC44_gp094,SEA_THETABOB_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619340,95,HWC44_gp095,SEA_THETABOB_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619341,96,HWC44_gp096,SEA_THETABOB_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619342,97,HWC44_gp097,SEA_THETABOB_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619343,98,HWC44_gp098,SEA_THETABOB_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619344,99,HWC44_gp099,SEA_THETABOB_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619345,100,HWC44_gp100,SEA_THETABOB_100,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200620,-
2588513,55619346,101,HWC44_gp101,SEA_THETABOB_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619347,102,HWC44_gp102,SEA_THETABOB_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619348,103,HWC44_gp103,SEA_THETABOB_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2588513,55619349,104,HWC44_gp104,SEA_THETABOB_104,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20200620,-
2588513,55619350,105,HWC44_gp105,SEA_THETABOB_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201217,-
2588513,55619351,106,HWC44_gp106,SEA_THETABOB_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55619352,1,HWC44_gp001,SEA_THETABOB_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588513,55635976,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200622,-
