#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2589652,65053197,KMB86_gp02,KMB86_gp02,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210608,-
2589652,65053238,KMB86_gp43,KMB86_gp43,-,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210608,-
2589652,65053239,KMB86_gp44,KMB86_gp44,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2589652,65053240,KMB86_gp45,KMB86_gp45,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210608,-
2589652,65053241,KMB86_gp46,KMB86_gp46,-,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20210608,-
2589652,65053242,KMB86_gp47,KMB86_gp47,-,-,-,-,major head subunit precursor,protein-coding,-,-,-,major head subunit precursor,20210608,-
2589652,65053243,KMB86_gp48,KMB86_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053244,KMB86_gp49,KMB86_gp49,-,-,-,-,putative scaffolding protein,protein-coding,-,-,-,putative scaffolding protein,20210608,-
2589652,65053245,KMB86_gp50,KMB86_gp50,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2589652,65053246,KMB86_gp51,KMB86_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053247,KMB86_gp52,KMB86_gp52,-,-,-,-,putative head-tail adaptor,protein-coding,-,-,-,putative head-tail adaptor,20210608,-
2589652,65053248,KMB86_gp53,KMB86_gp53,-,-,-,-,putative ribonucleoside-triphosphate reductase,protein-coding,-,-,-,putative ribonucleoside-triphosphate reductase,20210608,-
2589652,65053249,KMB86_gp54,KMB86_gp54,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210608,-
2589652,65053250,KMB86_gp55,KMB86_gp55,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20210608,-
2589652,65053251,KMB86_gp56,KMB86_gp56,-,-,-,-,putative tape measure chaperone protein,protein-coding,-,-,-,putative tape measure chaperone protein,20210608,-
2589652,65053252,KMB86_gp57,KMB86_gp57,-,-,-,-,putative tape measure chaperone,protein-coding,-,-,-,putative tape measure chaperone,20210608,-
2589652,65053253,KMB86_gp58,KMB86_gp58,-,-,-,-,putative tail length tape-measure protein,protein-coding,-,-,-,putative tail length tape-measure protein,20210608,-
2589652,65053254,KMB86_gp59,KMB86_gp59,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2589652,65053255,KMB86_gp60,KMB86_gp60,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20210608,-
2589652,65053256,KMB86_gp61,KMB86_gp61,-,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210608,-
2589652,65053257,KMB86_gp62,KMB86_gp62,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210608,-
2589652,65053258,KMB86_gp63,KMB86_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053259,KMB86_gp64,KMB86_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053260,KMB86_gp65,KMB86_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053261,KMB86_gp66,KMB86_gp66,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20210608,-
2589652,65053262,KMB86_gp67,KMB86_gp67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65053263,KMB86_gp01,KMB86_gp01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2589652,65243167,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
