#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2713278,55818006,HYQ35_gp002,HYQ35_gp002,barely_2,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210403,-
2713278,55818097,HYQ35_gp093,HYQ35_gp093,barely_93,-,-,-,peptidoglycan binding protein,protein-coding,-,-,-,peptidoglycan binding protein,20210129,-
2713278,55818098,HYQ35_gp094,HYQ35_gp094,barely_94,-,-,-,phosphate starvation-inducible protein,protein-coding,-,-,-,phosphate starvation-inducible protein,20210129,-
2713278,55818099,HYQ35_gp095,HYQ35_gp095,barely_95,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210129,-
2713278,55818100,HYQ35_gp096,HYQ35_gp096,barely_96,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,protein-coding,-,-,-,ribonucleotide reductase of class Ia (aerobic) alpha subunit,20210129,-
2713278,55818101,HYQ35_gp097,HYQ35_gp097,barely_97,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210313,-
2713278,55818102,HYQ35_gp098,HYQ35_gp098,barely_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818103,HYQ35_gp099,HYQ35_gp099,barely_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818104,HYQ35_gp100,HYQ35_gp100,barely_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818105,HYQ35_gp101,HYQ35_gp101,barely_101,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210313,-
2713278,55818106,HYQ35_gp102,HYQ35_gp102,barely_102,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20201217,-
2713278,55818107,HYQ35_gp103,HYQ35_gp103,barely_103,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20200926,-
2713278,55818108,HYQ35_gp104,HYQ35_gp104,barely_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818109,HYQ35_gp105,HYQ35_gp105,barely_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818110,HYQ35_gp106,HYQ35_gp106,barely_106,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
2713278,55818111,HYQ35_gp107,HYQ35_gp107,barely_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818112,HYQ35_gp108,HYQ35_gp108,barely_108,-,-,-,putative regulatory protein FmdB family,protein-coding,-,-,-,putative regulatory protein FmdB family,20200926,-
2713278,55818113,HYQ35_gp109,HYQ35_gp109,barely_109,-,-,-,putative late promoter transcription factor,protein-coding,-,-,-,putative late promoter transcription factor,20200926,-
2713278,55818114,HYQ35_gp110,HYQ35_gp110,barely_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818115,HYQ35_gp111,HYQ35_gp111,barely_111,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20210129,-
2713278,55818116,HYQ35_gp112,HYQ35_gp112,barely_112,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20200910,-
2713278,55818117,HYQ35_gp113,HYQ35_gp113,barely_113,-,-,-,DNA end protector during packaging,protein-coding,-,-,-,DNA end protector during packaging,20200926,-
2713278,55818118,HYQ35_gp114,HYQ35_gp114,barely_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818119,HYQ35_gp115,HYQ35_gp115,barely_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818120,HYQ35_gp116,HYQ35_gp116,barely_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818121,HYQ35_gp117,HYQ35_gp117,barely_117,-,-,-,putative kinase,protein-coding,-,-,-,putative kinase,20210129,-
2713278,55818122,HYQ35_gp118,HYQ35_gp118,barely_118,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210129,-
2713278,55818123,HYQ35_gp119,HYQ35_gp119,barely_119,-,-,-,putative deoxynucleotide monophosphate kinase,protein-coding,-,-,-,putative deoxynucleotide monophosphate kinase,20200910,-
2713278,55818124,HYQ35_gp120,HYQ35_gp120,barely_120,-,-,-,putative dUTP diphosphatase,protein-coding,-,-,-,putative dUTP diphosphatase,20210306,-
2713278,55818125,HYQ35_gp121,HYQ35_gp121,barely_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818126,HYQ35_gp122,HYQ35_gp122,barely_122,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210123,-
2713278,55818127,HYQ35_gp123,HYQ35_gp123,barely_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818128,HYQ35_gp124,HYQ35_gp124,barely_124,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200910,-
2713278,55818129,HYQ35_gp125,HYQ35_gp125,barely_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818130,HYQ35_gp126,HYQ35_gp126,barely_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818131,HYQ35_gp127,HYQ35_gp127,barely_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818132,HYQ35_gp128,HYQ35_gp128,barely_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818133,HYQ35_gp129,HYQ35_gp129,barely_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818134,HYQ35_gp130,HYQ35_gp130,barely_130,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
2713278,55818135,HYQ35_gp131,HYQ35_gp131,barely_131,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210129,-
2713278,55818136,HYQ35_gp132,HYQ35_gp132,barely_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818137,HYQ35_gp133,HYQ35_gp133,barely_133,-,-,-,DNA helicase loader,protein-coding,-,-,-,DNA helicase loader,20200926,-
2713278,55818138,HYQ35_gp134,HYQ35_gp134,barely_134,-,-,-,putative tail length tape measure protein,protein-coding,-,-,-,putative tail length tape measure protein,20200910,-
2713278,55818139,HYQ35_gp135,HYQ35_gp135,barely_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818140,HYQ35_gp136,HYQ35_gp136,barely_136,-,-,-,baseplate wedge component,protein-coding,-,-,-,baseplate wedge component,20210129,-
2713278,55818141,HYQ35_gp137,HYQ35_gp137,barely_137,-,-,-,putative tail tube associated base plate protein,protein-coding,-,-,-,putative tail tube associated base plate protein,20200926,-
2713278,55818142,HYQ35_gp138,HYQ35_gp138,barely_138,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20210313,-
2713278,55818143,HYQ35_gp139,HYQ35_gp139,barely_139,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210129,-
2713278,55818144,HYQ35_gp140,HYQ35_gp140,barely_140,-,-,-,membrane-flanked domain protein,protein-coding,-,-,-,membrane-flanked domain protein,20210129,-
2713278,55818145,HYQ35_gp141,HYQ35_gp141,barely_141,-,-,-,putative deoxycytidylate deaminase,protein-coding,-,-,-,putative deoxycytidylate deaminase,20210129,-
2713278,55818146,HYQ35_gp142,HYQ35_gp142,barely_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818147,HYQ35_gp143,HYQ35_gp143,barely_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818148,HYQ35_gp144,HYQ35_gp144,barely_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818149,HYQ35_gp145,HYQ35_gp145,barely_145,-,-,-,putative serine/threonine protein phosphatase,protein-coding,-,-,-,putative serine/threonine protein phosphatase,20210129,-
2713278,55818150,HYQ35_gp146,HYQ35_gp146,barely_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818151,HYQ35_gp147,HYQ35_gp147,barely_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2713278,55818152,HYQ35_gp148,HYQ35_gp148,barely_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818153,HYQ35_gp149,HYQ35_gp149,barely_149,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210327,-
2713278,55818154,HYQ35_gp150,HYQ35_gp150,barely_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818155,HYQ35_gp151,HYQ35_gp151,barely_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2713278,55818156,HYQ35_gp152,HYQ35_gp152,barely_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818157,HYQ35_gp153,HYQ35_gp153,barely_153,-,-,-,calcium-binding hemolysin protein,protein-coding,-,-,-,calcium-binding hemolysin protein,20200910,-
2713278,55818158,HYQ35_gp154,HYQ35_gp154,barely_154,-,-,-,C-N hydrolase superfamily protein,protein-coding,-,-,-,C-N hydrolase superfamily protein,20200910,-
2713278,55818159,HYQ35_gp155,HYQ35_gp155,barely_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818160,HYQ35_gp156,HYQ35_gp156,barely_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818161,HYQ35_gp157,HYQ35_gp157,barely_157,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210327,-
2713278,55818162,HYQ35_gp158,HYQ35_gp158,barely_158,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20210129,-
2713278,55818163,HYQ35_gp159,HYQ35_gp159,barely_159,-,-,-,viral tegument-like protein,protein-coding,-,-,-,viral tegument-like protein,20200910,-
2713278,55818164,HYQ35_gp160,HYQ35_gp160,barely_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818165,HYQ35_gp161,HYQ35_gp161,barely_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818166,HYQ35_gp162,HYQ35_gp162,barely_162,-,-,-,putative histone-like protein,protein-coding,-,-,-,putative histone-like protein,20200919,-
2713278,55818167,HYQ35_gp163,HYQ35_gp163,barely_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818168,HYQ35_gp164,HYQ35_gp164,barely_164,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210313,-
2713278,55818169,HYQ35_gp165,HYQ35_gp165,barely_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818170,HYQ35_gp166,HYQ35_gp166,barely_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818171,HYQ35_gp167,HYQ35_gp167,barely_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818172,HYQ35_gp168,HYQ35_gp168,barely_168,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20210403,-
2713278,55818173,HYQ35_gp169,HYQ35_gp169,barely_169,-,-,-,RIIA protein,protein-coding,-,-,-,RIIA protein,20200910,-
2713278,55818174,HYQ35_gp170,HYQ35_gp170,barely_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818175,HYQ35_gp171,HYQ35_gp171,barely_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818176,HYQ35_gp172,HYQ35_gp172,barely_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818177,HYQ35_gp173,HYQ35_gp173,barely_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818178,HYQ35_gp174,HYQ35_gp174,barely_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818179,HYQ35_gp175,HYQ35_gp175,barely_175,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20210313,-
2713278,55818180,HYQ35_gp176,HYQ35_gp176,barely_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818181,HYQ35_gp177,HYQ35_gp177,barely_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818182,HYQ35_gp178,HYQ35_gp178,barely_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818183,HYQ35_gp179,HYQ35_gp179,barely_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2713278,55818184,HYQ35_gp180,HYQ35_gp180,barely_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
