#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229752,13829207,D302_gp002,D302_gp002,-,-,-,-,putative RecA-like protein,protein-coding,-,-,-,putative RecA-like protein,20200629,-
1229752,13829274,D302_gp069,D302_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829275,D302_gp070,D302_gp070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829276,D302_gp071,D302_gp071,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829277,D302_gp072,D302_gp072,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829278,D302_gp073,D302_gp073,-,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20200629,-
1229752,13829279,D302_gp074,D302_gp074,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829280,D302_gp075,D302_gp075,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1229752,13829281,D302_gp076,D302_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829282,D302_gp077,D302_gp077,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20210417,-
1229752,13829283,D302_gp078,D302_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829284,D302_gp079,D302_gp079,-,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20200629,-
1229752,13829285,D302_gp080,D302_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829286,D302_gp081,D302_gp081,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1229752,13829287,D302_gp082,D302_gp082,-,-,-,-,putative phage DNA packaging protein,protein-coding,-,-,-,putative phage DNA packaging protein,20200629,-
1229752,13829288,D302_gp083,D302_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829289,D302_gp084,D302_gp084,-,-,-,-,putative tail tube protein III,protein-coding,-,-,-,putative tail tube protein III,20210417,-
1229752,13829290,D302_gp085,D302_gp085,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829291,D302_gp086,D302_gp086,-,-,-,-,phosphatidylserine decarboxylase,protein-coding,-,-,-,phosphatidylserine decarboxylase,20200629,-
1229752,13829292,D302_gp087,D302_gp087,-,-,-,-,putative co-chaperonin GroES,protein-coding,-,-,-,putative co-chaperonin GroES,20200629,-
1229752,13829293,D302_gp088,D302_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829294,D302_gp089,D302_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829295,D302_gp090,D302_gp090,-,-,-,-,putative DEAD/DEAH box helicase,protein-coding,-,-,-,putative DEAD/DEAH box helicase,20200629,-
1229752,13829296,D302_gp091,D302_gp091,-,-,-,-,ATP-dependent DNA/RNA helicase,protein-coding,-,-,-,ATP-dependent DNA/RNA helicase,20200629,-
1229752,13829297,D302_gp092,D302_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829298,D302_gp093,D302_gp093,-,-,-,-,putative DNA repair and recombination protein,protein-coding,-,-,-,putative DNA repair and recombination protein,20200629,-
1229752,13829299,D302_gp094,D302_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829300,D302_gp095,D302_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829301,D302_gp096,D302_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829302,D302_gp097,D302_gp097,-,-,-,-,RecB family exonuclease,protein-coding,-,-,-,RecB family exonuclease,20200629,-
1229752,13829303,D302_gp098,D302_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829304,D302_gp099,D302_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829305,D302_gp100,D302_gp100,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200629,-
1229752,13829306,D302_gp101,D302_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829307,D302_gp102,D302_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829308,D302_gp103,D302_gp103,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1229752,13829309,D302_gp104,D302_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829310,D302_gp105,D302_gp105,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200629,-
1229752,13829311,D302_gp106,D302_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829312,D302_gp107,D302_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829313,D302_gp108,D302_gp108,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200629,-
1229752,13829314,D302_gp109,D302_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829315,D302_gp110,D302_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829316,D302_gp111,D302_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829317,D302_gp112,D302_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829318,D302_gp113,D302_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829319,D302_gp114,D302_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829320,D302_gp115,D302_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829321,D302_gp116,D302_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829322,D302_gp117,D302_gp117,-,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20200629,-
1229752,13829323,D302_gp118,D302_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829324,D302_gp119,D302_gp119,-,-,-,-,putative recombination endonuclease subunit,protein-coding,-,-,-,putative recombination endonuclease subunit,20200629,-
1229752,13829325,D302_gp120,D302_gp120,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200629,-
1229752,13829326,D302_gp121,D302_gp121,-,-,-,-,major head protein II,protein-coding,-,-,-,major head protein II,20200629,-
1229752,13829327,D302_gp122,D302_gp122,-,-,-,-,putative neck protein,protein-coding,-,-,-,putative neck protein,20200629,-
1229752,13829328,D302_gp123,D302_gp123,-,-,-,-,putative Hef-like homing endonuclease,protein-coding,-,-,-,putative Hef-like homing endonuclease,20200629,-
1229752,13829329,D302_gp124,D302_gp124,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200629,-
1229752,13829330,D302_gp125,D302_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829331,D302_gp126,D302_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829332,D302_gp127,D302_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829333,D302_gp128,D302_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829334,D302_gp129,D302_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829335,D302_gp130,D302_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829336,D302_gp131,D302_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829337,D302_gp132,D302_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829338,D302_gp133,D302_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829339,D302_gp134,D302_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829340,D302_gp135,D302_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829341,D302_gp136,D302_gp136,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20200629,-
1229752,13829342,D302_gp137,D302_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829343,D302_gp138,D302_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829344,D302_gp139,D302_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829345,D302_gp140,D302_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829346,D302_gp141,D302_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829347,D302_gp142,D302_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829348,D302_gp143,D302_gp143,-,-,-,-,putative sugar-phospahte nucleotidyltransferase,protein-coding,-,-,-,putative sugar-phospahte nucleotidyltransferase,20200629,-
1229752,13829349,D302_gp144,D302_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829350,D302_gp145,D302_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829351,D302_gp146,D302_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829352,D302_gp147,D302_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829353,D302_gp148,D302_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829354,D302_gp149,D302_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829355,D302_gp150,D302_gp150,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210424,-
1229752,13829356,D302_gp151,D302_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829357,D302_gp152,D302_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829358,D302_gp153,D302_gp153,-,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200629,-
1229752,13829359,D302_gp154,D302_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829360,D302_gp155,D302_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829361,D302_gp156,D302_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829362,D302_gp157,D302_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829363,D302_gp158,D302_gp158,-,-,-,-,poly A polymerase,protein-coding,-,-,-,poly A polymerase,20200629,-
1229752,13829364,D302_gp159,D302_gp159,-,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20200629,-
1229752,13829365,D302_gp160,D302_gp160,-,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20200629,-
1229752,13829366,D302_gp161,D302_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829367,D302_gp162,D302_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229752,13829368,D302_gp001,D302_gp001,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200629,-
1229752,13839483,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Campylobacter bacteriophage CP30A).,other,-,-,-,-,20200513,-
