#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250320,65114539,2,KNT98_gp02,SEA_FROKOSTDAME_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2250320,65114609,72,KNT98_gp72,SEA_FROKOSTDAME_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114610,73,KNT98_gp73,SEA_FROKOSTDAME_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114611,74,KNT98_gp74,SEA_FROKOSTDAME_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114612,75,KNT98_gp75,SEA_FROKOSTDAME_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114613,76,KNT98_gp76,SEA_FROKOSTDAME_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114614,77,KNT98_gp77,SEA_FROKOSTDAME_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114615,78,KNT98_gp78,SEA_FROKOSTDAME_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114616,79,KNT98_gp79,SEA_FROKOSTDAME_79,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2250320,65114617,80,KNT98_gp80,SEA_FROKOSTDAME_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114618,81,KNT98_gp81,SEA_FROKOSTDAME_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114619,82,KNT98_gp82,SEA_FROKOSTDAME_82,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2250320,65114620,83,KNT98_gp83,SEA_FROKOSTDAME_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2250320,65114621,84,KNT98_gp84,SEA_FROKOSTDAME_84,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2250320,65114622,1,KNT98_gp01,SEA_FROKOSTDAME_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2250320,65242844,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
