#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027903,60334767,I5H97_gp002,I5H97_gp002,SEA_WACHHUND_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027903,60334803,I5H97_gp038,I5H97_gp038,SEA_WACHHUND_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334804,I5H97_gp039,I5H97_gp039,SEA_WACHHUND_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334805,I5H97_gp040,I5H97_gp040,SEA_WACHHUND_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334806,I5H97_gp041,I5H97_gp041,SEA_WACHHUND_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334807,I5H97_gp042,I5H97_gp042,SEA_WACHHUND_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334808,I5H97_gp043,I5H97_gp043,SEA_WACHHUND_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334809,I5H97_gp044,I5H97_gp044,SEA_WACHHUND_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2027903,60334810,I5H97_gp045,I5H97_gp045,SEA_WACHHUND_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334811,I5H97_gp046,I5H97_gp046,SEA_WACHHUND_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334812,I5H97_gp047,I5H97_gp047,SEA_WACHHUND_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2027903,60334813,I5H97_gp048,I5H97_gp048,SEA_WACHHUND_48,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210424,-
2027903,60334814,I5H97_gp049,I5H97_gp049,SEA_WACHHUND_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2027903,60334815,I5H97_gp050,I5H97_gp050,SEA_WACHHUND_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334816,I5H97_gp051,I5H97_gp051,SEA_WACHHUND_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334817,I5H97_gp052,I5H97_gp052,SEA_WACHHUND_52,-,-,-,excise,protein-coding,-,-,-,excise,20201129,-
2027903,60334818,I5H97_gp053,I5H97_gp053,SEA_WACHHUND_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334819,I5H97_gp054,I5H97_gp054,SEA_WACHHUND_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334820,I5H97_gp055,I5H97_gp055,SEA_WACHHUND_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334821,I5H97_gp056,I5H97_gp056,SEA_WACHHUND_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334822,I5H97_gp057,I5H97_gp057,SEA_WACHHUND_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334823,I5H97_gp058,I5H97_gp058,SEA_WACHHUND_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2027903,60334824,I5H97_gp059,I5H97_gp059,SEA_WACHHUND_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210212,-
2027903,60334825,I5H97_gp060,I5H97_gp060,SEA_WACHHUND_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2027903,60334826,I5H97_gp061,I5H97_gp061,SEA_WACHHUND_61,-,-,-,transposase,protein-coding,-,-,-,transposase,20210424,-
2027903,60334827,I5H97_gp062,I5H97_gp062,SEA_WACHHUND_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334828,I5H97_gp063,I5H97_gp063,SEA_WACHHUND_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334829,I5H97_gp064,I5H97_gp064,SEA_WACHHUND_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027903,60334830,I5H97_gp065,I5H97_gp065,SEA_WACHHUND_65,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2027903,60334831,I5H97_gp066,I5H97_gp066,SEA_WACHHUND_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027903,60334832,I5H97_gp067,I5H97_gp067,SEA_WACHHUND_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334833,I5H97_gp068,I5H97_gp068,SEA_WACHHUND_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334834,I5H97_gp069,I5H97_gp069,SEA_WACHHUND_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2027903,60334835,I5H97_gp070,I5H97_gp070,SEA_WACHHUND_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334836,I5H97_gp071,I5H97_gp071,SEA_WACHHUND_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334837,I5H97_gp072,I5H97_gp072,SEA_WACHHUND_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334838,I5H97_gp073,I5H97_gp073,SEA_WACHHUND_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334839,I5H97_gp074,I5H97_gp074,SEA_WACHHUND_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334840,I5H97_gp075,I5H97_gp075,SEA_WACHHUND_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334841,I5H97_gp076,I5H97_gp076,SEA_WACHHUND_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334842,I5H97_gp077,I5H97_gp077,SEA_WACHHUND_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334843,I5H97_gp078,I5H97_gp078,SEA_WACHHUND_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334844,I5H97_gp079,I5H97_gp079,SEA_WACHHUND_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334845,I5H97_gp080,I5H97_gp080,SEA_WACHHUND_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334846,I5H97_gp081,I5H97_gp081,SEA_WACHHUND_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334847,I5H97_gp082,I5H97_gp082,SEA_WACHHUND_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334848,I5H97_gp083,I5H97_gp083,SEA_WACHHUND_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334849,I5H97_gp084,I5H97_gp084,SEA_WACHHUND_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334850,I5H97_gp085,I5H97_gp085,SEA_WACHHUND_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334851,I5H97_gp086,I5H97_gp086,SEA_WACHHUND_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334852,I5H97_gp087,I5H97_gp087,SEA_WACHHUND_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334853,I5H97_gp088,I5H97_gp088,SEA_WACHHUND_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334854,I5H97_gp089,I5H97_gp089,SEA_WACHHUND_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334855,I5H97_gp090,I5H97_gp090,SEA_WACHHUND_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334856,I5H97_gp091,I5H97_gp091,SEA_WACHHUND_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334857,I5H97_gp092,I5H97_gp092,SEA_WACHHUND_92,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210129,-
2027903,60334858,I5H97_gp093,I5H97_gp093,SEA_WACHHUND_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334859,I5H97_gp094,I5H97_gp094,SEA_WACHHUND_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334860,I5H97_gp095,I5H97_gp095,SEA_WACHHUND_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334861,I5H97_gp096,I5H97_gp096,SEA_WACHHUND_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334862,I5H97_gp097,I5H97_gp097,SEA_WACHHUND_97,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2027903,60334863,I5H97_gp098,I5H97_gp098,SEA_WACHHUND_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027903,60334864,I5H97_gp099,I5H97_gp099,SEA_WACHHUND_99,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210406,-
2027903,60334865,I5H97_gp100,I5H97_gp100,SEA_WACHHUND_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2027903,60334866,I5H97_gp101,I5H97_gp101,SEA_WACHHUND_101,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2027903,60334867,I5H97_gp001,I5H97_gp001,SEA_WACHHUND_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2027903,60338621,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
