#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483671,63026049,2,J1761_gp02,SEA_KROOS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2483671,63026070,23,J1761_gp23,SEA_KROOS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026071,24,J1761_gp24,SEA_KROOS_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2483671,63026072,25,J1761_gp25,SEA_KROOS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026073,26,J1761_gp26,SEA_KROOS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026074,27,J1761_gp27,SEA_KROOS_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2483671,63026075,28,J1761_gp28,SEA_KROOS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026076,29,J1761_gp29,SEA_KROOS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026077,30,J1761_gp30,SEA_KROOS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026078,31,J1761_gp31,SEA_KROOS_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2483671,63026079,32,J1761_gp32,SEA_KROOS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026080,33,J1761_gp33,SEA_KROOS_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2483671,63026081,34,J1761_gp34,SEA_KROOS_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483671,63026082,35,J1761_gp35,SEA_KROOS_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483671,63026083,36,J1761_gp36,SEA_KROOS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2483671,63026084,37,J1761_gp37,SEA_KROOS_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483671,63026085,38,J1761_gp38,SEA_KROOS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026086,39,J1761_gp39,SEA_KROOS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026087,40,J1761_gp40,SEA_KROOS_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483671,63026088,41,J1761_gp41,SEA_KROOS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026089,42,J1761_gp42,SEA_KROOS_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2483671,63026090,43,J1761_gp43,SEA_KROOS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026091,44,J1761_gp44,SEA_KROOS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026092,45,J1761_gp45,SEA_KROOS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026093,46,J1761_gp46,SEA_KROOS_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2483671,63026094,47,J1761_gp47,SEA_KROOS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026095,48,J1761_gp48,SEA_KROOS_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2483671,63026096,49,J1761_gp49,SEA_KROOS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026097,50,J1761_gp50,SEA_KROOS_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2483671,63026098,51,J1761_gp51,SEA_KROOS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026099,52,J1761_gp52,SEA_KROOS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026100,53,J1761_gp53,SEA_KROOS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2483671,63026101,54,J1761_gp54,SEA_KROOS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026102,55,J1761_gp55,SEA_KROOS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026103,56,J1761_gp56,SEA_KROOS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026104,57,J1761_gp57,SEA_KROOS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026105,58,J1761_gp58,SEA_KROOS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026106,59,J1761_gp59,SEA_KROOS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026107,60,J1761_gp60,SEA_KROOS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026108,61,J1761_gp61,SEA_KROOS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026109,62,J1761_gp62,SEA_KROOS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026110,63,J1761_gp63,SEA_KROOS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026111,64,J1761_gp64,SEA_KROOS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026112,65,J1761_gp65,SEA_KROOS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026113,66,J1761_gp66,SEA_KROOS_66,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2483671,63026114,67,J1761_gp67,SEA_KROOS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026115,68,J1761_gp68,SEA_KROOS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026116,69,J1761_gp69,SEA_KROOS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026117,70,J1761_gp70,SEA_KROOS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026118,71,J1761_gp71,SEA_KROOS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026119,72,J1761_gp72,SEA_KROOS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026120,73,J1761_gp73,SEA_KROOS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026121,74,J1761_gp74,SEA_KROOS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026122,75,J1761_gp75,SEA_KROOS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026123,76,J1761_gp76,SEA_KROOS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026124,77,J1761_gp77,SEA_KROOS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026125,78,J1761_gp78,SEA_KROOS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026126,79,J1761_gp79,SEA_KROOS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026127,80,J1761_gp80,SEA_KROOS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026128,81,J1761_gp81,SEA_KROOS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026129,82,J1761_gp82,SEA_KROOS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026130,83,J1761_gp83,SEA_KROOS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483671,63026131,84,J1761_gp84,SEA_KROOS_84,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483671,63026132,85,J1761_gp85,SEA_KROOS_85,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2483671,63026133,1,J1761_gp01,SEA_KROOS_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483671,63139667,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
