#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1566993,23680843,ArV1_002,ArV1_002,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1566993,23680875,ArV1_034,ArV1_034,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1566993,23680876,ArV1_035,ArV1_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680877,ArV1_036,ArV1_036,-,-,-,-,recombinational DNA repair ATPase,protein-coding,-,-,-,recombinational DNA repair ATPase,20201221,-
1566993,23680878,ArV1_037,ArV1_037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680879,ArV1_038,ArV1_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680880,ArV1_039,ArV1_039,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1566993,23680881,ArV1_040,ArV1_040,-,-,-,-,recombinase RecT,protein-coding,-,-,-,recombinase RecT,20201221,-
1566993,23680882,ArV1_041,ArV1_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680883,ArV1_042,ArV1_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680884,ArV1_043,ArV1_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680885,ArV1_044,ArV1_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680886,ArV1_045,ArV1_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680887,ArV1_046,ArV1_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680888,ArV1_047,ArV1_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680889,ArV1_048,ArV1_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680890,ArV1_049,ArV1_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680891,ArV1_050,ArV1_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680892,ArV1_051,ArV1_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680893,ArV1_052,ArV1_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680894,ArV1_053,ArV1_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680895,ArV1_054,ArV1_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680896,ArV1_055,ArV1_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680897,ArV1_056,ArV1_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680898,ArV1_057,ArV1_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680899,ArV1_058,ArV1_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680900,ArV1_059,ArV1_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680901,ArV1_060,ArV1_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680902,ArV1_061,ArV1_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680903,ArV1_062,ArV1_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680904,ArV1_063,ArV1_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680905,ArV1_064,ArV1_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680906,ArV1_065,ArV1_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680907,ArV1_066,ArV1_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680908,ArV1_067a,ArV1_067a,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1566993,23680909,ArV1_067b,ArV1_067b,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1566993,23680910,ArV1_068,ArV1_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680911,ArV1_069,ArV1_069,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1566993,23680912,ArV1_070,ArV1_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680913,ArV1_071,ArV1_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680914,ArV1_072,ArV1_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680915,ArV1_073,ArV1_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680916,ArV1_074,ArV1_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680917,ArV1_075,ArV1_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680918,ArV1_076,ArV1_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680919,ArV1_077,ArV1_077,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1566993,23680920,ArV1_078,ArV1_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680921,ArV1_079,ArV1_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680922,ArV1_080,ArV1_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680923,ArV1_081,ArV1_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680924,ArV1_082,ArV1_082,-,-,-,-,endodeoxyribonuclease,protein-coding,-,-,-,endodeoxyribonuclease,20201221,-
1566993,23680925,ArV1_083,ArV1_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680926,ArV1_084,ArV1_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680927,ArV1_085,ArV1_085,-,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20201221,-
1566993,23680928,ArV1_086,ArV1_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680929,ArV1_087,ArV1_087,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1566993,23680930,ArV1_088,ArV1_088,-,-,-,-,ssDNA-binding protein,protein-coding,-,-,-,ssDNA-binding protein,20201221,-
1566993,23680931,ArV1_089,ArV1_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680932,ArV1_090,ArV1_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680933,ArV1_091,ArV1_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680934,ArV1_092,ArV1_092,-,-,-,-,DNA polymerase III subunit beta,protein-coding,-,-,-,DNA polymerase III subunit beta,20201221,-
1566993,23680935,ArV1_093,ArV1_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680936,ArV1_094,ArV1_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680937,ArV1_095,ArV1_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680938,ArV1_096,ArV1_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680939,ArV1_097,ArV1_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680940,ArV1_098,ArV1_098,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20201221,-
1566993,23680941,ArV1_099,ArV1_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680942,ArV1_100,ArV1_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566993,23680943,ArV1_001,ArV1_001,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1566993,23711153,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
