#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1916701,37616877,D1Q00_gp002,D1Q00_gp002,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20180826,-
1916701,37616909,D1Q00_gp034,D1Q00_gp034,-,-,-,-,metalloproteinase,protein-coding,-,-,-,metalloproteinase,20181110,-
1916701,37616910,D1Q00_gp035,D1Q00_gp035,-,-,-,-,p13,protein-coding,-,-,-,p13,20181103,-
1916701,37616911,D1Q00_gp036,D1Q00_gp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616912,D1Q00_gp037,D1Q00_gp037,-,-,-,-,pif-2,protein-coding,-,-,-,pif-2,20181103,-
1916701,37616913,D1Q00_gp038,D1Q00_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616914,D1Q00_gp039,D1Q00_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37616915,D1Q00_gp040,D1Q00_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616916,D1Q00_gp041,D1Q00_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616917,D1Q00_gp042,D1Q00_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616918,D1Q00_gp043,D1Q00_gp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37616919,D1Q00_gp044,D1Q00_gp044,-,-,-,-,v-ubiquitin,protein-coding,-,-,-,v-ubiquitin,20181103,-
1916701,37616920,D1Q00_gp045,D1Q00_gp045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37616921,D1Q00_gp046,D1Q00_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616922,D1Q00_gp047,D1Q00_gp047,-,-,-,-,39k,protein-coding,-,-,-,39k,20181103,-
1916701,37616923,D1Q00_gp048,D1Q00_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616924,D1Q00_gp049,D1Q00_gp049,-,-,-,-,bro,protein-coding,-,-,-,bro,20181103,-
1916701,37616925,D1Q00_gp050,D1Q00_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616926,D1Q00_gp051,D1Q00_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616927,D1Q00_gp052,D1Q00_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616928,D1Q00_gp053,D1Q00_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37616929,D1Q00_gp054,D1Q00_gp054,-,-,-,-,he65,protein-coding,-,-,-,he65,20181110,-
1916701,37616930,D1Q00_gp055,D1Q00_gp055,-,-,-,-,sod,protein-coding,-,-,-,sod,20181110,-
1916701,37616931,D1Q00_gp056,D1Q00_gp056,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20181103,-
1916701,37616932,D1Q00_gp057,D1Q00_gp057,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37616933,D1Q00_gp058,D1Q00_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616934,D1Q00_gp059,D1Q00_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616935,D1Q00_gp060,D1Q00_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616936,D1Q00_gp061,D1Q00_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616937,D1Q00_gp062,D1Q00_gp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616938,D1Q00_gp063,D1Q00_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616939,D1Q00_gp064,D1Q00_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616940,D1Q00_gp065,D1Q00_gp065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616941,D1Q00_gp066,D1Q00_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616942,D1Q00_gp067,D1Q00_gp067,-,-,-,-,bro,protein-coding,-,-,-,bro,20180826,-
1916701,37616943,D1Q00_gp068,D1Q00_gp068,-,-,-,-,p74,protein-coding,-,-,-,p74,20181110,-
1916701,37616944,D1Q00_gp069,D1Q00_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616945,D1Q00_gp070,D1Q00_gp070,-,-,-,-,p47,protein-coding,-,-,-,p47,20181103,-
1916701,37616946,D1Q00_gp071,D1Q00_gp071,-,-,-,-,rlp,protein-coding,-,-,-,rlp,20181103,-
1916701,37616947,D1Q00_gp072,D1Q00_gp072,-,-,-,-,rlp,protein-coding,-,-,-,rlp,20181103,-
1916701,37616948,D1Q00_gp073,D1Q00_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616949,D1Q00_gp074,D1Q00_gp074,-,-,-,-,p24,protein-coding,-,-,-,p24,20181103,-
1916701,37616950,D1Q00_gp075,D1Q00_gp075,-,-,-,-,p38.7,protein-coding,-,-,-,p38.7,20180826,-
1916701,37616951,D1Q00_gp076,D1Q00_gp076,-,-,-,-,lef-1,protein-coding,-,-,-,lef-1,20181110,-
1916701,37616952,D1Q00_gp077,D1Q00_gp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616953,D1Q00_gp078,D1Q00_gp078,-,-,-,-,pif-1,protein-coding,-,-,-,pif-1,20181103,-
1916701,37616954,D1Q00_gp079,D1Q00_gp079,-,-,-,-,fgf-1,protein-coding,-,-,-,fgf-1,20181110,-
1916701,37616955,D1Q00_gp080,D1Q00_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616956,D1Q00_gp081,D1Q00_gp081,-,-,-,-,lef-6,protein-coding,-,-,-,lef-6,20180826,-
1916701,37616957,D1Q00_gp082,D1Q00_gp082,-,-,-,-,ssb,protein-coding,-,-,-,ssb,20181103,-
1916701,37616958,D1Q00_gp083,D1Q00_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616959,D1Q00_gp084,D1Q00_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616960,D1Q00_gp085,D1Q00_gp085,-,-,-,-,p45,protein-coding,-,-,-,p45,20181103,-
1916701,37616961,D1Q00_gp086,D1Q00_gp086,-,-,-,-,p12,protein-coding,-,-,-,p12,20181110,-
1916701,37616962,D1Q00_gp087,D1Q00_gp087,-,-,-,-,p40,protein-coding,-,-,-,p40,20181103,-
1916701,37616963,D1Q00_gp088,D1Q00_gp088,-,-,-,-,lef-5,protein-coding,-,-,-,lef-5,20181103,-
1916701,37616964,D1Q00_gp089,D1Q00_gp089,-,-,-,-,38k,protein-coding,-,-,-,38k,20181110,-
1916701,37616965,D1Q00_gp090,D1Q00_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616966,D1Q00_gp091,D1Q00_gp091,-,-,-,-,helicase-1,protein-coding,-,-,-,helicase-1,20181103,-
1916701,37616967,D1Q00_gp092,D1Q00_gp092,-,-,-,-,p6.3,protein-coding,-,-,-,p6.3,20180826,-
1916701,37616968,D1Q00_gp093,D1Q00_gp093,-,-,-,-,p14.2,protein-coding,-,-,-,p14.2,20180826,-
1916701,37616969,D1Q00_gp094,D1Q00_gp094,-,-,-,-,odv-e25,protein-coding,-,-,-,odv-e25,20181103,-
1916701,37616970,D1Q00_gp095,D1Q00_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37616971,D1Q00_gp096,D1Q00_gp096,-,-,-,-,p33,protein-coding,-,-,-,p33,20181103,-
1916701,37616972,D1Q00_gp097,D1Q00_gp097,-,-,-,-,chaB,protein-coding,-,-,-,chaB,20181103,-
1916701,37616973,D1Q00_gp098,D1Q00_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616974,D1Q00_gp099,D1Q00_gp099,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20181103,-
1916701,37616975,D1Q00_gp100,D1Q00_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616976,D1Q00_gp101,D1Q00_gp101,-,-,-,-,gp37,protein-coding,-,-,-,gp37,20181110,-
1916701,37616977,D1Q00_gp102,D1Q00_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616978,D1Q00_gp103,D1Q00_gp103,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37616979,D1Q00_gp104,D1Q00_gp104,-,-,-,-,lef-4,protein-coding,-,-,-,lef-4,20181110,-
1916701,37616980,D1Q00_gp105,D1Q00_gp105,-,-,-,-,vp39,protein-coding,-,-,-,vp39,20181110,-
1916701,37616981,D1Q00_gp106,D1Q00_gp106,-,-,-,-,odv-ec27,protein-coding,-,-,-,odv-ec27,20181103,-
1916701,37616982,D1Q00_gp107,D1Q00_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616983,D1Q00_gp108,D1Q00_gp108,-,-,-,-,bro,protein-coding,-,-,-,bro,20181103,-
1916701,37616984,D1Q00_gp109,D1Q00_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616985,D1Q00_gp110,D1Q00_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616986,D1Q00_gp111,D1Q00_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616987,D1Q00_gp112,D1Q00_gp112,-,-,-,-,vp91,protein-coding,-,-,-,vp91,20181110,-
1916701,37616988,D1Q00_gp113,D1Q00_gp113,-,-,-,-,tlp-20,protein-coding,-,-,-,tlp-20,20181103,-
1916701,37616989,D1Q00_gp114,D1Q00_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616990,D1Q00_gp115,D1Q00_gp115,-,-,-,-,gp41,protein-coding,-,-,-,gp41,20181103,-
1916701,37616991,D1Q00_gp116,D1Q00_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616992,D1Q00_gp117,D1Q00_gp117,-,-,-,-,vlf-1,protein-coding,-,-,-,vlf-1,20181103,-
1916701,37616993,D1Q00_gp118,D1Q00_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616994,D1Q00_gp119,D1Q00_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37616995,D1Q00_gp120,D1Q00_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616996,D1Q00_gp121,D1Q00_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616997,D1Q00_gp122,D1Q00_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37616998,D1Q00_gp123,D1Q00_gp123,-,-,-,-,lef-7,protein-coding,-,-,-,lef-7,20180826,-
1916701,37616999,D1Q00_gp124,D1Q00_gp124,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37617000,D1Q00_gp125,D1Q00_gp125,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37617001,D1Q00_gp126,D1Q00_gp126,-,-,-,-,bro,protein-coding,-,-,-,bro,20180826,-
1916701,37617002,D1Q00_gp127,D1Q00_gp127,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37617003,D1Q00_gp128,D1Q00_gp128,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20181110,-
1916701,37617004,D1Q00_gp129,D1Q00_gp129,-,-,-,-,desmoplakin,protein-coding,-,-,-,desmoplakin,20181110,-
1916701,37617005,D1Q00_gp130,D1Q00_gp130,-,-,-,-,lef-3,protein-coding,-,-,-,lef-3,20180826,-
1916701,37617006,D1Q00_gp131,D1Q00_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37617007,D1Q00_gp132,D1Q00_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617008,D1Q00_gp133,D1Q00_gp133,-,-,-,-,iap-3,protein-coding,-,-,-,iap-3,20181110,-
1916701,37617009,D1Q00_gp134,D1Q00_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617010,D1Q00_gp135,D1Q00_gp135,-,-,-,-,lef-9,protein-coding,-,-,-,lef-9,20181103,-
1916701,37617011,D1Q00_gp136,D1Q00_gp136,-,-,-,-,fpp,protein-coding,-,-,-,fpp,20181110,-
1916701,37617012,D1Q00_gp137,D1Q00_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617013,D1Q00_gp138,D1Q00_gp138,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20181103,-
1916701,37617014,D1Q00_gp139,D1Q00_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617015,D1Q00_gp140,D1Q00_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617016,D1Q00_gp141,D1Q00_gp141,-,-,-,-,fgf-lp,protein-coding,-,-,-,fgf-lp,20181110,-
1916701,37617017,D1Q00_gp142,D1Q00_gp142,-,-,-,-,alk-exo,protein-coding,-,-,-,alk-exo,20181103,-
1916701,37617018,D1Q00_gp143,D1Q00_gp143,-,-,-,-,helicase-2,protein-coding,-,-,-,helicase-2,20181110,-
1916701,37617019,D1Q00_gp144,D1Q00_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37617020,D1Q00_gp145,D1Q00_gp145,-,-,-,-,lef-8,protein-coding,-,-,-,lef-8,20181110,-
1916701,37617021,D1Q00_gp146,D1Q00_gp146,-,-,-,-,odv-e66,protein-coding,-,-,-,odv-e66,20181110,-
1916701,37617022,D1Q00_gp147,D1Q00_gp147,-,-,-,-,enhancin-1,protein-coding,-,-,-,enhancin-1,20180826,-
1916701,37617023,D1Q00_gp148,D1Q00_gp148,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37617024,D1Q00_gp149,D1Q00_gp149,-,-,-,-,enhancin-3,protein-coding,-,-,-,enhancin-3,20181110,-
1916701,37617025,D1Q00_gp150,D1Q00_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617026,D1Q00_gp151,D1Q00_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617027,D1Q00_gp152,D1Q00_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
1916701,37617028,D1Q00_gp153,D1Q00_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617029,D1Q00_gp154,D1Q00_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617030,D1Q00_gp155,D1Q00_gp155,-,-,-,-,bro,protein-coding,-,-,-,bro,20181110,-
1916701,37617031,D1Q00_gp156,D1Q00_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617032,D1Q00_gp157,D1Q00_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617033,D1Q00_gp158,D1Q00_gp158,-,-,-,-,enhancin-4,protein-coding,-,-,-,enhancin-4,20181110,-
1916701,37617034,D1Q00_gp159,D1Q00_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617035,D1Q00_gp160,D1Q00_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617036,D1Q00_gp161,D1Q00_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617037,D1Q00_gp162,D1Q00_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
1916701,37617038,D1Q00_gp163,D1Q00_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617039,D1Q00_gp164,D1Q00_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617040,D1Q00_gp165,D1Q00_gp165,-,-,-,-,lef-10,protein-coding,-,-,-,lef-10,20181103,-
1916701,37617041,D1Q00_gp166,D1Q00_gp166,-,-,-,-,vp1054,protein-coding,-,-,-,vp1054,20181103,-
1916701,37617042,D1Q00_gp167,D1Q00_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617043,D1Q00_gp168,D1Q00_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617044,D1Q00_gp169,D1Q00_gp169,-,-,-,-,fgf-3,protein-coding,-,-,-,fgf-3,20181110,-
1916701,37617045,D1Q00_gp170,D1Q00_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617046,D1Q00_gp171,D1Q00_gp171,-,-,-,-,me53,protein-coding,-,-,-,me53,20181103,-
1916701,37617047,D1Q00_gp172,D1Q00_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180826,-
1916701,37617048,D1Q00_gp001,D1Q00_gp001,-,-,-,-,granulin,protein-coding,-,-,-,granulin,20181103,-
1916701,37630519,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210531,-
