#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662331,40080134,FDH88_gp02,FDH88_gp02,RCSPARTAN_2,-,-,-,peptidase M15,protein-coding,-,-,-,peptidase M15,20201221,-
1662331,40080148,FDH88_gp16,FDH88_gp16,RCSPARTAN_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1662331,40080149,FDH88_gp17,FDH88_gp17,RCSPARTAN_17,-,-,-,major tail tube,protein-coding,-,-,-,major tail tube,20201221,-
1662331,40080150,FDH88_gp18,FDH88_gp18,RCSPARTAN_18,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1662331,40080151,FDH88_gp19,FDH88_gp19,RCSPARTAN_19,-,-,-,tail chaperonin,protein-coding,-,-,-,tail chaperonin,20201221,-
1662331,40080152,FDH88_gp20,FDH88_gp20,RCSPARTAN_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080153,FDH88_gp21,FDH88_gp21,RCSPARTAN_21,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1662331,40080154,FDH88_gp22,FDH88_gp22,RCSPARTAN_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080155,FDH88_gp23,FDH88_gp23,RCSPARTAN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080156,FDH88_gp24,FDH88_gp24,RCSPARTAN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080157,FDH88_gp25,FDH88_gp25,RCSPARTAN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080158,FDH88_gp26,FDH88_gp26,RCSPARTAN_26,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1662331,40080159,FDH88_gp27,FDH88_gp27,RCSPARTAN_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080160,FDH88_gp28,FDH88_gp28,RCSPARTAN_28,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1662331,40080161,FDH88_gp29,FDH88_gp29,RCSPARTAN_29,-,-,-,replicative clamp,protein-coding,-,-,-,replicative clamp,20201221,-
1662331,40080162,FDH88_gp30,FDH88_gp30,RCSPARTAN_30,-,-,-,DEAD box helicase,protein-coding,-,-,-,DEAD box helicase,20201221,-
1662331,40080163,FDH88_gp31,FDH88_gp31,RCSPARTAN_31,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1662331,40080164,FDH88_gp32,FDH88_gp32,RCSPARTAN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080165,FDH88_gp33,FDH88_gp33,RCSPARTAN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080166,FDH88_gp34,FDH88_gp34,RCSPARTAN_34,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
1662331,40080167,FDH88_gp35,FDH88_gp35,RCSPARTAN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080168,FDH88_gp36,FDH88_gp36,RCSPARTAN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080169,FDH88_gp37,FDH88_gp37,RCSPARTAN_37,-,-,-,replicative primase/helicase,protein-coding,-,-,-,replicative primase/helicase,20201221,-
1662331,40080170,FDH88_gp38,FDH88_gp38,RCSPARTAN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080171,FDH88_gp39,FDH88_gp39,RCSPARTAN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080172,FDH88_gp40,FDH88_gp40,RCSPARTAN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080173,FDH88_gp41,FDH88_gp41,RCSPARTAN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080174,FDH88_gp42,FDH88_gp42,RCSPARTAN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080175,FDH88_gp43,FDH88_gp43,RCSPARTAN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080176,FDH88_gp44,FDH88_gp44,RCSPARTAN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080177,FDH88_gp45,FDH88_gp45,RCSPARTAN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080178,FDH88_gp46,FDH88_gp46,RCSPARTAN_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080179,FDH88_gp47,FDH88_gp47,RCSPARTAN_47,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1662331,40080180,FDH88_gp48,FDH88_gp48,RCSPARTAN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080181,FDH88_gp49,FDH88_gp49,RCSPARTAN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080182,FDH88_gp50,FDH88_gp50,RCSPARTAN_50,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
1662331,40080183,FDH88_gp51,FDH88_gp51,RCSPARTAN_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080184,FDH88_gp52,FDH88_gp52,RCSPARTAN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080185,FDH88_gp53,FDH88_gp53,RCSPARTAN_53,-,-,-,nuclease,protein-coding,-,-,-,nuclease,20201221,-
1662331,40080186,FDH88_gp54,FDH88_gp54,RCSPARTAN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080187,FDH88_gp55,FDH88_gp55,RCSPARTAN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080188,FDH88_gp56,FDH88_gp56,RCSPARTAN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080189,FDH88_gp57,FDH88_gp57,RCSPARTAN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080190,FDH88_gp58,FDH88_gp58,RCSPARTAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080191,FDH88_gp59,FDH88_gp59,RCSPARTAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080192,FDH88_gp60,FDH88_gp60,RCSPARTAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080193,FDH88_gp61,FDH88_gp61,RCSPARTAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40080194,FDH88_gp01,FDH88_gp01,RCSPARTAN_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662331,40120202,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
