#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5325,19488566,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bjerkandera versicolor; Boletus versicolor; Coriolus versicolor; Microporus versicolor; Poria versicolor).,other,-,-,-,-,20181022,-
5325,63652971,nad1,J6772_mgp20,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210529,-
5325,63652972,trnI(gat),J6772_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652973,cob,J6772_mgp19,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210529,-
5325,63652974,atp6,J6772_mgp18,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210529,-
5325,63652975,nad6,J6772_mgp17,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210529,-
5325,63652976,rps3,J6772_mgp16,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20210418,-
5325,63652977,cox2,J6772_mgp15,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210529,-
5325,63652978,trnR(tcg),J6772_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652979,trnL(tag),J6772_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652980,trnV(tac),J6772_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652981,rns,J6772_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20210418,-
5325,63652982,trnM(cat),J6772_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652983,trnH(gtg),J6772_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652984,trnP(tgg),J6772_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652985,trnN(gtt),J6772_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652986,trnL(taa),J6772_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652987,trnM(cat),J6772_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652988,trnE(ttc),J6772_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20210418,-
5325,63652989,cox1,J6772_mgp01,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210529,-
