#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1028375,54969966,HOQ69_gp001,HOQ69_gp001,-,-,-,-,terminase large subunit family protein,protein-coding,-,-,-,terminase large subunit family protein,20210130,-
1028375,54970052,HOQ69_gp083,HOQ69_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970053,HOQ69_gp084,HOQ69_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970054,HOQ69_gp085,HOQ69_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970055,HOQ69_gp086,HOQ69_gp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970056,HOQ69_gp087,HOQ69_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970057,HOQ69_gp088,HOQ69_gp088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970058,HOQ69_gp089,HOQ69_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970059,HOQ69_gp090,HOQ69_gp090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970060,HOQ69_gp091,HOQ69_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970061,HOQ69_gp092,HOQ69_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970062,HOQ69_gp093,HOQ69_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970063,HOQ69_gp094,HOQ69_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970064,HOQ69_gp095,HOQ69_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970065,HOQ69_gp096,HOQ69_gp096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970066,HOQ69_gp097,HOQ69_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970067,HOQ69_gp098,HOQ69_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970068,HOQ69_gp099,HOQ69_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970069,HOQ69_gp100,HOQ69_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970070,HOQ69_gp101,HOQ69_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970071,HOQ69_gp102,HOQ69_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970072,HOQ69_gp103,HOQ69_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970073,HOQ69_gp104,HOQ69_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970074,HOQ69_gp105,HOQ69_gp105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970075,HOQ69_gp106,HOQ69_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970076,HOQ69_gp107,HOQ69_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1028375,54970077,HOQ69_gp108,HOQ69_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970078,HOQ69_gp109,HOQ69_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970079,HOQ69_gp110,HOQ69_gp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970080,HOQ69_gp111,HOQ69_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970081,HOQ69_gp112,HOQ69_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970082,HOQ69_gp113,HOQ69_gp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970083,HOQ69_gp114,HOQ69_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970084,HOQ69_gp115,HOQ69_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970085,HOQ69_gp116,HOQ69_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970086,HOQ69_gp117,HOQ69_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970087,HOQ69_gp118,HOQ69_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970088,HOQ69_gp119,HOQ69_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970089,HOQ69_gp120,HOQ69_gp120,-,-,-,-,putative ribose-phosphate pyrophosphokinase,protein-coding,-,-,-,putative ribose-phosphate pyrophosphokinase,20201220,-
1028375,54970090,HOQ69_gp121,HOQ69_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970091,HOQ69_gp122,HOQ69_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970092,HOQ69_gp123,HOQ69_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970093,HOQ69_gp124,HOQ69_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970094,HOQ69_gp125,HOQ69_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970095,HOQ69_gp126,HOQ69_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970096,HOQ69_gp127,HOQ69_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970097,HOQ69_gp128,HOQ69_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970098,HOQ69_gp129,HOQ69_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970099,HOQ69_gp130,HOQ69_gp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970100,HOQ69_gp131,HOQ69_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970101,HOQ69_gp132,HOQ69_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970102,HOQ69_gp133,HOQ69_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970103,HOQ69_gp134,HOQ69_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970104,HOQ69_gp135,HOQ69_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970105,HOQ69_gp136,HOQ69_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970106,HOQ69_gp137,HOQ69_gp137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970107,HOQ69_gp138,HOQ69_gp138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970108,HOQ69_gp139,HOQ69_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970109,HOQ69_gp140,HOQ69_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970110,HOQ69_gp141,HOQ69_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970111,HOQ69_gp142,HOQ69_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970112,HOQ69_gp143,HOQ69_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970113,HOQ69_gp144,HOQ69_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970114,HOQ69_gp145,HOQ69_gp145,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
1028375,54970115,HOQ69_gp146,HOQ69_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970116,HOQ69_gp147,HOQ69_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970117,HOQ69_gp148,HOQ69_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970118,HOQ69_gp149,HOQ69_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970119,HOQ69_gp150,HOQ69_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970120,HOQ69_gp151,HOQ69_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970121,HOQ69_gp152,HOQ69_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970122,HOQ69_gp153,HOQ69_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970123,HOQ69_gp154,HOQ69_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970124,HOQ69_gp155,HOQ69_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970125,HOQ69_gp156,HOQ69_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970126,HOQ69_gp157,HOQ69_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970127,HOQ69_gp158,HOQ69_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970128,HOQ69_gp159,HOQ69_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970129,HOQ69_gp160,HOQ69_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970130,HOQ69_gp161,HOQ69_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970131,HOQ69_gp162,HOQ69_gp162,-,-,-,-,NADAR family protein,protein-coding,-,-,-,NADAR family protein,20201220,-
1028375,54970132,HOQ69_gp163,HOQ69_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970133,HOQ69_gp164,HOQ69_gp164,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201220,-
1028375,54970134,HOQ69_gp165,HOQ69_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970135,HOQ69_gp166,HOQ69_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970136,tRNA-Met,HOQ69_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1028375,54970137,HOQ69_gp214,HOQ69_gp214,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970138,HOQ69_gp213,HOQ69_gp213,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970139,HOQ69_gp212,HOQ69_gp212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970140,HOQ69_gp211,HOQ69_gp211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970141,HOQ69_gp210,HOQ69_gp210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970142,HOQ69_gp209,HOQ69_gp209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970143,HOQ69_gp208,HOQ69_gp208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970144,HOQ69_gp207,HOQ69_gp207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970145,HOQ69_gp206,HOQ69_gp206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970146,HOQ69_gp205,HOQ69_gp205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970147,HOQ69_gp204,HOQ69_gp204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970148,HOQ69_gp203,HOQ69_gp203,-,-,-,-,ORF163,protein-coding,-,-,-,ORF163,20201220,-
1028375,54970149,HOQ69_gp202,HOQ69_gp202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970150,HOQ69_gp201,HOQ69_gp201,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201220,-
1028375,54970151,HOQ69_gp200,HOQ69_gp200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970152,HOQ69_gp199,HOQ69_gp199,-,-,-,-,DUF3310 domain-containing protein,protein-coding,-,-,-,DUF3310 domain-containing protein,20210130,-
1028375,54970153,HOQ69_gp198,HOQ69_gp198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970154,HOQ69_gp197,HOQ69_gp197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970155,HOQ69_gp196,HOQ69_gp196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1028375,54970156,HOQ69_gp195,HOQ69_gp195,-,-,-,-,PcfJ domain-containing protein,protein-coding,-,-,-,PcfJ domain-containing protein,20210130,-
1028375,54970157,HOQ69_gp194,HOQ69_gp194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
