#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
151528,932723,P60_gp26,P60_gp26,-,-,-,-,head-to-tail connector (portal),protein-coding,-,-,-,head-to-tail connector (portal),20201220,-
151528,932760,P60_gp14,P60_gp14,-,-,-,-,primase/helicase,protein-coding,-,-,-,primase/helicase,20201220,-
151528,932761,P60_gp38,P60_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,932763,P60_gp16,P60_gp16,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
151528,932767,P60_gp36,P60_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,932777,P60_gp04,P60_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,932779,P60_gp17,P60_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,932782,P60_gp15,P60_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,932785,P60_gp18,P60_gp18,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201220,-
151528,932786,P60_gp19,P60_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,2830259,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cyanophage P60; Synechococcus phage P60).,other,-,-,-,-,20200513,-
151528,26066743,P60_gp02,P60_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066744,P60_gp03,P60_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066745,P60_gp05,P60_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066746,P60_gp06,P60_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066747,P60_gp07,P60_gp07,-,-,-,-,RNA polymerase,protein-coding,-,-,-,RNA polymerase,20201220,-
151528,26066748,P60_gp08,P60_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066749,P60_gp09,P60_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066750,P60_gp10,P60_gp10,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20201220,-
151528,26066751,P60_gp12,P60_gp12,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201220,-
151528,26066752,P60_gp13,P60_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066753,P60_gp20,P60_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066754,P60_gp21,P60_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066755,P60_gp22,P60_gp22,-,-,-,-,MazG nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG nucleotide pyrophosphohydrolase,20201220,-
151528,26066756,P60_gp23,P60_gp23,-,-,-,-,class II ribonucleoside reductase,protein-coding,-,-,-,class II ribonucleoside reductase,20201220,-
151528,26066757,P60_gp27,P60_gp27,-,-,-,-,capsid assembly protein (scaffold),protein-coding,-,-,-,capsid assembly protein (scaffold),20201220,-
151528,26066758,P60_gp28,P60_gp28,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
151528,26066759,P60_gp29,P60_gp29,-,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20201220,-
151528,26066760,P60_gp30,P60_gp30,-,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20201220,-
151528,26066761,P60_gp31,P60_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066762,P60_gp32,P60_gp32,-,-,-,-,internal virion protein,protein-coding,-,-,-,internal virion protein,20201220,-
151528,26066763,P60_gp33,P60_gp33,-,-,-,-,internal virion protein,protein-coding,-,-,-,internal virion protein,20201220,-
151528,26066764,P60_gp34,P60_gp34,-,-,-,-,internal virion protein,protein-coding,-,-,-,internal virion protein,20201220,-
151528,26066765,P60_gp35,P60_gp35,-,-,-,-,tail fiber,protein-coding,-,-,-,tail fiber,20201220,-
151528,26066766,P60_gp39,P60_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066767,P60_gp42,P60_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066768,P60_gp43,P60_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066769,P60_gp46,P60_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066770,P60_gp47,P60_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066771,P60_gp48,P60_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066772,P60_gp49,P60_gp49,-,-,-,-,DNA maturase B (terminase),protein-coding,-,-,-,DNA maturase B (terminase),20201220,-
151528,26066773,P60_gp51,P60_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
151528,26066774,P60_gp53,P60_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
