#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2014434,58571995,H7U15_gp004,H7U15_gp004,D6_4,-,-,-,late gene transcriptional activator,protein-coding,-,-,-,late gene transcriptional activator,20201221,-
2014434,58572015,H7U15_gp093,H7U15_gp093,D6_34,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210424,-
2014434,58572016,H7U15_gp092,H7U15_gp092,D6_35,-,-,-,long tail fiber protein,protein-coding,-,-,-,long tail fiber protein,20210424,-
2014434,58572017,H7U15_gp091,H7U15_gp091,D6_36,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20200910,-
2014434,58572018,H7U15_gp090,H7U15_gp090,D6_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572019,H7U15_gp089,H7U15_gp089,D6_38,-,-,-,baseplate J wedge protein,protein-coding,-,-,-,baseplate J wedge protein,20210417,-
2014434,58572020,H7U15_gp088,H7U15_gp088,D6_39,-,-,-,morphogenetic protein,protein-coding,-,-,-,morphogenetic protein,20200910,-
2014434,58572021,H7U15_gp087,H7U15_gp087,D6_40,-,-,-,putative tail injection transglycosylase,protein-coding,-,-,-,putative tail injection transglycosylase,20210417,-
2014434,58572022,H7U15_gp086,H7U15_gp086,D6_41,-,-,-,putative morphogenetic function protein,protein-coding,-,-,-,putative morphogenetic function protein,20200910,-
2014434,58572023,H7U15_gp085,H7U15_gp085,D6_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2014434,58572024,H7U15_gp084,H7U15_gp084,D6_43,-,-,-,major tail tube structural protein,protein-coding,-,-,-,major tail tube structural protein,20200910,-
2014434,58572025,H7U15_gp083,H7U15_gp083,D6_44,-,-,-,putative morphogenetic function protein,protein-coding,-,-,-,putative morphogenetic function protein,20200910,-
2014434,58572026,H7U15_gp082,H7U15_gp082,D6_45,-,-,-,putative baseplate structural protein,protein-coding,-,-,-,putative baseplate structural protein,20200910,-
2014434,58572027,H7U15_gp081,H7U15_gp081,D6_46,-,-,-,putative morphogenetic function protein,protein-coding,-,-,-,putative morphogenetic function protein,20200910,-
2014434,58572028,H7U15_gp079,H7U15_gp079,D6_48,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20200910,-
2014434,58572029,H7U15_gp078,H7U15_gp078,D6_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572030,H7U15_gp075,H7U15_gp075,D6_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572031,H7U15_gp068,H7U15_gp068,D6_59,-,-,-,StbB type plasmid stability protein,protein-coding,-,-,-,StbB type plasmid stability protein,20200912,-
2014434,58572032,H7U15_gp066,H7U15_gp066,D6_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572033,H7U15_gp064,H7U15_gp064,D6_63,-,-,-,site-specific DNA-adenine methylase,protein-coding,-,-,-,site-specific DNA-adenine methylase,20210123,-
2014434,58572034,H7U15_gp063,H7U15_gp063,D6_64,-,-,-,putative DNA-cytosine methylase,protein-coding,-,-,-,putative DNA-cytosine methylase,20200910,-
2014434,58572035,H7U15_gp061,H7U15_gp061,D6_66,-,-,-,baseplate,protein-coding,-,-,-,baseplate,20210123,-
2014434,58572036,H7U15_gp060,H7U15_gp060,D6_67,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200910,-
2014434,58572037,H7U15_gp058,H7U15_gp058,D6_69,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
2014434,58572038,H7U15_gp057,H7U15_gp057,D6_70,-,-,-,RelE family mRNA endonuclease addiction module toxin,protein-coding,-,-,-,RelE family mRNA endonuclease addiction module toxin,20210123,-
2014434,58572039,H7U15_gp056,H7U15_gp056,D6_71,-,-,-,HigA family addiction module anti-toxin,protein-coding,-,-,-,HigA family addiction module anti-toxin,20200912,-
2014434,58572040,H7U15_gp055,H7U15_gp055,D6_72,-,-,-,HigA family addiction module anti-toxin,protein-coding,-,-,-,HigA family addiction module anti-toxin,20210424,-
2014434,58572041,H7U15_gp054,H7U15_gp054,D6_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2014434,58572042,H7U15_gp052,H7U15_gp052,D6_75,-,-,-,baseplate,protein-coding,-,-,-,baseplate,20200910,-
2014434,58572043,H7U15_gp048,H7U15_gp048,D6_79,-,-,-,putative superimmunity accessory function protein,protein-coding,-,-,-,putative superimmunity accessory function protein,20200910,-
2014434,58572044,H7U15_gp047,H7U15_gp047,D6_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572045,H7U15_gp045,H7U15_gp045,D6_82,-,-,-,putative anti-repressor,protein-coding,-,-,-,putative anti-repressor,20210417,-
2014434,58572046,H7U15_gp044,H7U15_gp044,D6_83,-,-,-,inhibition of cell division,protein-coding,-,-,-,inhibition of cell division,20210406,-
2014434,58572047,H7U15_gp043,H7U15_gp043,D6_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572048,H7U15_gp039,H7U15_gp039,D6_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572049,H7U15_gp029,H7U15_gp029,D6_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2014434,58572050,H7U15_gp022,H7U15_gp022,D6_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572051,H7U15_gp019,H7U15_gp019,D6_108,-,-,-,DNA polymerase V umuD-like protein,protein-coding,-,-,-,DNA polymerase V umuD-like protein,20210116,-
2014434,58572052,H7U15_gp016,H7U15_gp016,D6_111,-,-,-,toxin of addiction system,protein-coding,-,-,-,toxin of addiction system,20200912,-
2014434,58572053,H7U15_gp015,H7U15_gp015,D6_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572054,H7U15_gp011,H7U15_gp011,D6_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572055,H7U15_gp006,H7U15_gp006,D6_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572056,H7U15_gp007,H7U15_gp007,D6_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572057,H7U15_gp115,H7U15_gp115,D6_12,-,-,-,putative morphogenetic function protein,protein-coding,-,-,-,putative morphogenetic function protein,20210417,-
2014434,58572058,H7U15_gp109,H7U15_gp109,D6_18,-,-,-,putative anti-repressor,protein-coding,-,-,-,putative anti-repressor,20210417,-
2014434,58572059,H7U15_gp113,H7U15_gp113,D6_14,-,-,-,defense against restriction,protein-coding,-,-,-,defense against restriction,20200910,-
2014434,58572060,H7U15_gp106,H7U15_gp106,D6_21,-,-,-,head processing protease,protein-coding,-,-,-,head processing protease,20200910,-
2014434,58572061,H7U15_gp103,H7U15_gp103,D6_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572062,H7U15_gp102,H7U15_gp102,D6_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2014434,58572063,H7U15_gp101,H7U15_gp101,D6_26,-,-,-,defense against restriction,protein-coding,-,-,-,defense against restriction,20200910,-
2014434,58572064,H7U15_gp077,H7U15_gp077,D6_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572065,H7U15_gp076,H7U15_gp076,D6_51,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2014434,58572066,H7U15_gp074,H7U15_gp074,D6_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572067,H7U15_gp072,H7U15_gp072,D6_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572068,H7U15_gp071,H7U15_gp071,D6_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572069,H7U15_gp070,H7U15_gp070,D6_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572070,H7U15_gp069,H7U15_gp069,D6_58,-,-,-,StbA type plasmid stability protein,protein-coding,-,-,-,StbA type plasmid stability protein,20210406,-
2014434,58572071,H7U15_gp065,H7U15_gp065,D6_62,-,-,-,glutaminyl-tRNA synthetase,protein-coding,-,-,-,glutaminyl-tRNA synthetase,20210417,-
2014434,58572072,H7U15_gp051,H7U15_gp051,D6_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572073,H7U15_gp053,H7U15_gp053,D6_74,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200910,-
2014434,58572074,H7U15_gp050,H7U15_gp050,D6_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572075,H7U15_gp049,H7U15_gp049,D6_78,-,-,-,maturation of virion,protein-coding,-,-,-,maturation of virion,20200910,-
2014434,58572076,H7U15_gp042,H7U15_gp042,D6_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572077,H7U15_gp041,H7U15_gp041,D6_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572078,H7U15_gp040,H7U15_gp040,D6_87,-,-,-,RecA-dependent endonuclease,protein-coding,-,-,-,RecA-dependent endonuclease,20210116,-
2014434,58572079,H7U15_gp038,H7U15_gp038,D6_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2014434,58572080,H7U15_gp036,H7U15_gp036,D6_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572081,H7U15_gp033,H7U15_gp033,D6_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572082,H7U15_gp031,H7U15_gp031,D6_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572083,H7U15_gp030,H7U15_gp030,D6_97,-,-,-,serine/threonine protein phosphatase,protein-coding,-,-,-,serine/threonine protein phosphatase,20210123,-
2014434,58572084,H7U15_gp028,H7U15_gp028,D6_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572085,H7U15_gp026,H7U15_gp026,D6_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572086,H7U15_gp021,H7U15_gp021,D6_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572087,H7U15_gp017,H7U15_gp017,D6_110,-,-,-,anti-toxin of addiction system,protein-coding,-,-,-,anti-toxin of addiction system,20210129,-
2014434,58572088,H7U15_gp014,H7U15_gp014,D6_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572089,H7U15_gp013,H7U15_gp013,D6_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2014434,58572090,H7U15_gp012,H7U15_gp012,D6_115,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200910,-
2014434,58572091,H7U15_gp010,H7U15_gp010,D6_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572092,H7U15_gp009,H7U15_gp009,D6_118,-,-,-,tyrosine recombinase,protein-coding,-,-,-,tyrosine recombinase,20210417,-
2014434,58572093,H7U15_gp005,H7U15_gp005,D6_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572094,H7U15_gp110,H7U15_gp110,D6_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572095,H7U15_gp095,H7U15_gp095,D6_32,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
2014434,58572096,H7U15_gp080,H7U15_gp080,D6_47,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20200910,-
2014434,58572097,H7U15_gp073,H7U15_gp073,D6_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572098,H7U15_gp067,H7U15_gp067,D6_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572099,H7U15_gp062,H7U15_gp062,D6_65,-,-,-,recombination associated protein of RdgC family,protein-coding,-,-,-,recombination associated protein of RdgC family,20200912,-
2014434,58572100,H7U15_gp059,H7U15_gp059,D6_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572101,H7U15_gp046,H7U15_gp046,D6_81,-,-,-,putative morphogenetic function protein,protein-coding,-,-,-,putative morphogenetic function protein,20200910,-
2014434,58572102,H7U15_gp037,H7U15_gp037,D6_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572103,H7U15_gp035,H7U15_gp035,D6_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2014434,58572104,H7U15_gp034,H7U15_gp034,D6_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2014434,58572105,H7U15_gp032,H7U15_gp032,D6_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572106,H7U15_gp027,H7U15_gp027,D6_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572107,H7U15_gp025,H7U15_gp025,D6_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572108,H7U15_gp024,H7U15_gp024,D6_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572109,H7U15_gp023,H7U15_gp023,D6_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572110,H7U15_gp020,H7U15_gp020,D6_107,-,-,-,DNA polymerase III theta subunit-like protein,protein-coding,-,-,-,DNA polymerase III theta subunit-like protein,20210123,-
2014434,58572111,H7U15_gp018,H7U15_gp018,D6_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572112,H7U15_gp008,H7U15_gp008,D6_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2014434,58572113,H7U15_gt002,H7U15_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2014434,58572114,H7U15_gt003,H7U15_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2014434,58572115,H7U15_gp118,H7U15_gp118,D6_9,-,-,-,putative prohead scaffolding protein,protein-coding,-,-,-,putative prohead scaffolding protein,20210424,-
2014434,58729603,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Enterobacteria phage D6).,other,-,-,-,-,20200819,-
