#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2592659,60327651,2,I5H29_gp02,SEA_DOUG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210406,-
2592659,60327672,23,I5H29_gp23,SEA_DOUG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327673,24,I5H29_gp24,SEA_DOUG_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327674,25,I5H29_gp25,SEA_DOUG_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327675,26,I5H29_gp26,SEA_DOUG_26,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2592659,60327676,27,I5H29_gp27,SEA_DOUG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327677,28,I5H29_gp28,SEA_DOUG_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327678,29,I5H29_gp29,SEA_DOUG_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327679,30,I5H29_gp30,SEA_DOUG_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327680,31,I5H29_gp31,SEA_DOUG_31,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2592659,60327681,32,I5H29_gp32,SEA_DOUG_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2592659,60327682,33,I5H29_gp33,SEA_DOUG_33,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2592659,60327683,34,I5H29_gp34,SEA_DOUG_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2592659,60327684,35,I5H29_gp35,SEA_DOUG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327685,36,I5H29_gp36,SEA_DOUG_36,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2592659,60327686,37,I5H29_gp37,SEA_DOUG_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327687,38,I5H29_gp38,SEA_DOUG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327688,39,I5H29_gp39,SEA_DOUG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327689,40,I5H29_gp40,SEA_DOUG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327690,41,I5H29_gp41,SEA_DOUG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327691,42,I5H29_gp42,SEA_DOUG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327692,43,I5H29_gp43,SEA_DOUG_43,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2592659,60327693,44,I5H29_gp44,SEA_DOUG_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327694,45,I5H29_gp45,SEA_DOUG_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201129,-
2592659,60327695,46,I5H29_gp46,SEA_DOUG_46,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210424,-
2592659,60327696,47,I5H29_gp47,SEA_DOUG_47,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2592659,60327697,48,I5H29_gp48,SEA_DOUG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327698,50,I5H29_gp50,SEA_DOUG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327699,51,I5H29_gp51,SEA_DOUG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327700,52,I5H29_gp52,SEA_DOUG_52,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2592659,60327701,53,I5H29_gp53,SEA_DOUG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2592659,60327702,54,I5H29_gp54,SEA_DOUG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327703,55,I5H29_gp55,SEA_DOUG_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327704,56,I5H29_gp56,SEA_DOUG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327705,57,I5H29_gp57,SEA_DOUG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327706,58,I5H29_gp58,SEA_DOUG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2592659,60327707,59,I5H29_gp59,SEA_DOUG_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2592659,60327708,60,I5H29_gp60,SEA_DOUG_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2592659,60327709,61,I5H29_gp61,SEA_DOUG_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2592659,60327710,62,I5H29_gp62,SEA_DOUG_62,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2592659,60327711,63,I5H29_gp63,SEA_DOUG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327712,64,I5H29_gp64,SEA_DOUG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327713,65,I5H29_gp65,SEA_DOUG_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327714,66,I5H29_gp66,SEA_DOUG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2592659,60327715,67,I5H29_gp67,SEA_DOUG_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2592659,60327716,68,I5H29_gp68,SEA_DOUG_68,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2592659,60327717,69,I5H29_gp69,SEA_DOUG_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327718,70,I5H29_gp70,SEA_DOUG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327719,71,I5H29_gp71,SEA_DOUG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327720,72,I5H29_gp72,SEA_DOUG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327721,73,I5H29_gp73,SEA_DOUG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327722,74,I5H29_gp74,SEA_DOUG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327723,75,I5H29_gp75,SEA_DOUG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327724,76,I5H29_gp76,SEA_DOUG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327725,77,I5H29_gp77,SEA_DOUG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327726,78,I5H29_gp78,SEA_DOUG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327727,79,I5H29_gp79,SEA_DOUG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327728,80,I5H29_gp80,SEA_DOUG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327729,81,I5H29_gp81,SEA_DOUG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327730,82,I5H29_gp82,SEA_DOUG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327731,83,I5H29_gp83,SEA_DOUG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327732,84,I5H29_gp84,SEA_DOUG_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327733,85,I5H29_gp85,SEA_DOUG_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327734,86,I5H29_gp86,SEA_DOUG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327735,87,I5H29_gp87,SEA_DOUG_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327736,88,I5H29_gp88,SEA_DOUG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327737,89,I5H29_gp89,SEA_DOUG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327738,90,I5H29_gp90,SEA_DOUG_90,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210424,-
2592659,60327739,91,I5H29_gp91,SEA_DOUG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327740,92,I5H29_gp92,SEA_DOUG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327741,93,I5H29_gp93,SEA_DOUG_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327742,94,I5H29_gp94,SEA_DOUG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327743,95,I5H29_gp95,SEA_DOUG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327744,96,I5H29_gp96,SEA_DOUG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327745,97,I5H29_gp97,SEA_DOUG_97,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2592659,60327746,98,I5H29_gp98,SEA_DOUG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327747,99,I5H29_gp99,SEA_DOUG_99,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2592659,60327748,49,I5H29_gp49,SEA_DOUG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2592659,60327749,1,I5H29_gp01,SEA_DOUG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2592659,60338773,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
