#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2762400,63026135,2,J1762_gp02,SEA_JKSYNGBOY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210529,-
2762400,63026156,23,J1762_gp23,SEA_JKSYNGBOY_23,-,-,-,esterase,protein-coding,-,-,-,esterase,20210529,-
2762400,63026157,24,J1762_gp24,SEA_JKSYNGBOY_24,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2762400,63026158,25,J1762_gp25,SEA_JKSYNGBOY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026159,26,J1762_gp26,SEA_JKSYNGBOY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026160,27,J1762_gp27,SEA_JKSYNGBOY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762400,63026161,28,J1762_gp28,SEA_JKSYNGBOY_28,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2762400,63026162,29,J1762_gp29,SEA_JKSYNGBOY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026163,30,J1762_gp30,SEA_JKSYNGBOY_30,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2762400,63026164,31,J1762_gp31,SEA_JKSYNGBOY_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762400,63026165,32,J1762_gp32,SEA_JKSYNGBOY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762400,63026166,33,J1762_gp33,SEA_JKSYNGBOY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762400,63026167,34,J1762_gp34,SEA_JKSYNGBOY_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762400,63026168,35,J1762_gp35,SEA_JKSYNGBOY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026169,36,J1762_gp36,SEA_JKSYNGBOY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026170,37,J1762_gp37,SEA_JKSYNGBOY_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2762400,63026171,38,J1762_gp38,SEA_JKSYNGBOY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026172,39,J1762_gp39,SEA_JKSYNGBOY_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
2762400,63026173,40,J1762_gp40,SEA_JKSYNGBOY_40,-,-,-,holin,protein-coding,-,-,-,holin,20210309,-
2762400,63026174,41,J1762_gp41,SEA_JKSYNGBOY_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762400,63026175,42,J1762_gp42,SEA_JKSYNGBOY_42,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762400,63026176,43,J1762_gp43,SEA_JKSYNGBOY_43,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2762400,63026177,44,J1762_gp44,SEA_JKSYNGBOY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026178,45,J1762_gp45,SEA_JKSYNGBOY_45,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210529,-
2762400,63026179,46,J1762_gp46,SEA_JKSYNGBOY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026180,47,J1762_gp47,SEA_JKSYNGBOY_47,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210529,-
2762400,63026181,48,J1762_gp48,SEA_JKSYNGBOY_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210529,-
2762400,63026182,49,J1762_gp49,SEA_JKSYNGBOY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026183,50,J1762_gp50,SEA_JKSYNGBOY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026184,51,J1762_gp51,SEA_JKSYNGBOY_51,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210529,-
2762400,63026185,52,J1762_gp52,SEA_JKSYNGBOY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026186,53,J1762_gp53,SEA_JKSYNGBOY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762400,63026187,54,J1762_gp54,SEA_JKSYNGBOY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026188,55,J1762_gp55,SEA_JKSYNGBOY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026189,56,J1762_gp56,SEA_JKSYNGBOY_56,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762400,63026190,57,J1762_gp57,SEA_JKSYNGBOY_57,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210309,-
2762400,63026191,58,J1762_gp58,SEA_JKSYNGBOY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
2762400,63026192,59,J1762_gp59,SEA_JKSYNGBOY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026193,60,J1762_gp60,SEA_JKSYNGBOY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026194,61,J1762_gp61,SEA_JKSYNGBOY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026195,62,J1762_gp62,SEA_JKSYNGBOY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026196,63,J1762_gp63,SEA_JKSYNGBOY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026197,64,J1762_gp64,SEA_JKSYNGBOY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026198,65,J1762_gp65,SEA_JKSYNGBOY_65,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210529,-
2762400,63026199,66,J1762_gp66,SEA_JKSYNGBOY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026200,67,J1762_gp67,SEA_JKSYNGBOY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026201,68,J1762_gp68,SEA_JKSYNGBOY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026202,69,J1762_gp69,SEA_JKSYNGBOY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026203,70,J1762_gp70,SEA_JKSYNGBOY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026204,71,J1762_gp71,SEA_JKSYNGBOY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026205,72,J1762_gp72,SEA_JKSYNGBOY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026206,73,J1762_gp73,SEA_JKSYNGBOY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026207,74,J1762_gp74,SEA_JKSYNGBOY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026208,75,J1762_gp75,SEA_JKSYNGBOY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026209,76,J1762_gp76,SEA_JKSYNGBOY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026210,77,J1762_gp77,SEA_JKSYNGBOY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026211,78,J1762_gp78,SEA_JKSYNGBOY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026212,79,J1762_gp79,SEA_JKSYNGBOY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026213,80,J1762_gp80,SEA_JKSYNGBOY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2762400,63026214,81,J1762_gp81,SEA_JKSYNGBOY_81,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210309,-
2762400,63026215,82,J1762_gp82,SEA_JKSYNGBOY_82,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210529,-
2762400,63026216,1,J1762_gp01,SEA_JKSYNGBOY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210309,-
2762400,63139687,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
