#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2201444,54993685,2,HOT46_gp02,SEA_ZETA1847_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210129,-
2201444,54993706,23,HOT46_gp23,SEA_ZETA1847_23,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210129,-
2201444,54993707,24,HOT46_gp24,SEA_ZETA1847_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993708,25,HOT46_gp25,SEA_ZETA1847_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993709,26,HOT46_gp26,SEA_ZETA1847_26,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20200910,-
2201444,54993710,27,HOT46_gp27,SEA_ZETA1847_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993711,28,HOT46_gp28,SEA_ZETA1847_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993712,29,HOT46_gp29,SEA_ZETA1847_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993713,30,HOT46_gp30,SEA_ZETA1847_30,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200910,-
2201444,54993714,31,HOT46_gp31,SEA_ZETA1847_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993715,32,HOT46_gp32,SEA_ZETA1847_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993716,33,HOT46_gp33,SEA_ZETA1847_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201444,54993717,34,HOT46_gp34,SEA_ZETA1847_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993718,35,HOT46_gp35,SEA_ZETA1847_35,-,-,-,arsenate reductase,protein-coding,-,-,-,arsenate reductase,20210129,-
2201444,54993719,36,HOT46_gp36,SEA_ZETA1847_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993720,37,HOT46_gp37,SEA_ZETA1847_37,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210129,-
2201444,54993721,38,HOT46_gp38,SEA_ZETA1847_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993722,39,HOT46_gp39,SEA_ZETA1847_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993723,40,HOT46_gp40,SEA_ZETA1847_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2201444,54993724,41,HOT46_gp41,SEA_ZETA1847_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993725,42,HOT46_gp42,SEA_ZETA1847_42,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210129,-
2201444,54993726,43,HOT46_gp43,SEA_ZETA1847_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993727,44,HOT46_gp44,SEA_ZETA1847_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993728,45,HOT46_gp45,SEA_ZETA1847_45,-,-,-,SprT-like protease,protein-coding,-,-,-,SprT-like protease,20210129,-
2201444,54993729,46,HOT46_gp46,SEA_ZETA1847_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993730,47,HOT46_gp47,SEA_ZETA1847_47,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210129,-
2201444,54993731,48,HOT46_gp48,SEA_ZETA1847_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993732,49,HOT46_gp49,SEA_ZETA1847_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993733,50,HOT46_gp50,SEA_ZETA1847_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993734,51,HOT46_gp51,SEA_ZETA1847_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993735,52,HOT46_gp52,SEA_ZETA1847_52,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
2201444,54993736,53,HOT46_gp53,SEA_ZETA1847_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993737,54,HOT46_gp54,SEA_ZETA1847_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993738,55,HOT46_gp55,SEA_ZETA1847_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993739,56,HOT46_gp56,SEA_ZETA1847_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993740,57,HOT46_gp57,SEA_ZETA1847_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993741,58,HOT46_gp58,SEA_ZETA1847_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993742,59,HOT46_gp59,SEA_ZETA1847_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993743,60,HOT46_gp60,SEA_ZETA1847_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993744,61,HOT46_gp61,SEA_ZETA1847_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993745,62,HOT46_gp62,SEA_ZETA1847_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993746,63,HOT46_gp63,SEA_ZETA1847_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993747,64,HOT46_gp64,SEA_ZETA1847_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993748,65,HOT46_gp65,SEA_ZETA1847_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993749,66,HOT46_gp66,SEA_ZETA1847_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993750,67,HOT46_gp67,SEA_ZETA1847_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993751,68,HOT46_gp68,SEA_ZETA1847_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993752,69,HOT46_gp69,SEA_ZETA1847_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993753,70,HOT46_gp70,SEA_ZETA1847_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993754,71,HOT46_gp71,SEA_ZETA1847_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993755,72,HOT46_gp72,SEA_ZETA1847_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993756,73,HOT46_gp73,SEA_ZETA1847_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993757,74,HOT46_gp74,SEA_ZETA1847_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2201444,54993758,75,HOT46_gt01,SEA_ZETA1847_75,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2201444,54993759,76,HOT46_gp75,SEA_ZETA1847_76,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210129,-
2201444,54993760,1,HOT46_gp01,SEA_ZETA1847_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210129,-
2201444,55153997,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
