#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2775045,63911359,2,KDJ10_gp02,PHIT46-1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210605,-
2775045,63911415,58,KDJ10_gp58,PHIT46-1_58,-,-,-,PAPS reductase-like domain protein,protein-coding,-,-,-,PAPS reductase-like domain protein,20210515,-
2775045,63911416,59,KDJ10_gp59,PHIT46-1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911417,60,KDJ10_gp60,PHIT46-1_60,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210529,-
2775045,63911418,61,KDJ10_gp61,PHIT46-1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911419,62,KDJ10_gp62,PHIT46-1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911420,63,KDJ10_gp63,PHIT46-1_63,-,-,-,replication initiator,protein-coding,-,-,-,replication initiator,20210420,-
2775045,63911421,64,KDJ10_gp64,PHIT46-1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911422,65,KDJ10_gp65,PHIT46-1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911423,66,KDJ10_gp66,PHIT46-1_66,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210420,-
2775045,63911424,67,KDJ10_gp67,PHIT46-1_67,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210529,-
2775045,63911425,68,KDJ10_gp68,PHIT46-1_68,-,-,-,Dna-J like chaperonin,protein-coding,-,-,-,Dna-J like chaperonin,20210420,-
2775045,63911426,69,KDJ10_gp69,PHIT46-1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911427,70,KDJ10_gp70,PHIT46-1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911428,71,KDJ10_gp71,PHIT46-1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911429,72,KDJ10_gp72,PHIT46-1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911430,73,KDJ10_gp73,PHIT46-1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911431,74,KDJ10_gp74,PHIT46-1_74,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210420,-
2775045,63911432,75,KDJ10_gp75,PHIT46-1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911433,76,KDJ10_gp76,PHIT46-1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911434,77,KDJ10_gp77,PHIT46-1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911435,78,KDJ10_gp78,PHIT46-1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210420,-
2775045,63911436,1,KDJ10_gp01,PHIT46-1_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210420,-
2775045,64409781,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
