#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1086800,18560283,2,VIOLET_2,-,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1086800,18560304,21,VIOLET_21,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1086800,18560305,24,VIOLET_24,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1086800,18560306,25,VIOLET_25,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1086800,18560307,26,VIOLET_26,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1086800,18560308,27,VIOLET_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560309,28,VIOLET_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560310,29,VIOLET_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560311,30,VIOLET_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560312,31,VIOLET_31,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20201220,-
1086800,18560313,32,VIOLET_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560314,33,VIOLET_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560315,34,VIOLET_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560316,35,VIOLET_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560317,36,VIOLET_36,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1086800,18560318,37,VIOLET_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560319,88,VIOLET_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560320,89,VIOLET_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560321,90,VIOLET_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560322,87,VIOLET_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560323,86,VIOLET_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560324,84,VIOLET_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560325,83,VIOLET_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560326,82,VIOLET_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560327,81,VIOLET_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560328,79,VIOLET_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560329,78,VIOLET_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560330,77,VIOLET_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560331,76,VIOLET_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560332,75,VIOLET_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560333,74,VIOLET_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560334,73,VIOLET_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560335,72,VIOLET_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560336,71,VIOLET_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560337,70,VIOLET_70,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1086800,18560338,69,VIOLET_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560339,68,VIOLET_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560340,67,VIOLET_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560341,66,VIOLET_66,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201220,-
1086800,18560342,65,VIOLET_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560343,64,VIOLET_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560344,63,VIOLET_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560345,62,VIOLET_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560346,61,VIOLET_61,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210417,-
1086800,18560347,60,VIOLET_60,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20201220,-
1086800,18560348,59,VIOLET_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560349,58,VIOLET_58,-,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20201220,-
1086800,18560350,57,VIOLET_57,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1086800,18560351,56,VIOLET_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560352,55,VIOLET_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560353,54,VIOLET_54,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
1086800,18560354,53,VIOLET_53,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1086800,18560355,52,VIOLET_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560356,51,VIOLET_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560357,50,VIOLET_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560358,49,VIOLET_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560359,48,VIOLET_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560360,47,VIOLET_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560361,46,VIOLET_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560362,45,VIOLET_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560363,44,VIOLET_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560364,43,VIOLET_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560365,42,VIOLET_42,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201220,-
1086800,18560366,41,VIOLET_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560367,40,VIOLET_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560368,39,VIOLET_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560369,38,VIOLET_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560370,80,VIOLET_80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560371,85,VIOLET_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18560372,1,VIOLET_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086800,18669575,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Violet).,other,-,-,-,-,20200513,-
