#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
48586,64673043,DFJ58DRAFT_100404,DFJ58DRAFT_100404,-,-,Unknown,-,ankyrin repeat-containing domain protein,protein-coding,-,-,-,ankyrin repeat-containing domain protein,20210605,-
48586,64673081,DFJ58DRAFT_105081,DFJ58DRAFT_105081,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673082,DFJ58DRAFT_105171,DFJ58DRAFT_105171,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673083,DFJ58DRAFT_105273,DFJ58DRAFT_105273,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673084,DFJ58DRAFT_105290,DFJ58DRAFT_105290,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673085,DFJ58DRAFT_105323,DFJ58DRAFT_105323,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673086,DFJ58DRAFT_105574,DFJ58DRAFT_105574,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673087,DFJ58DRAFT_105632,DFJ58DRAFT_105632,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673088,DFJ58DRAFT_105817,DFJ58DRAFT_105817,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673089,DFJ58DRAFT_105855,DFJ58DRAFT_105855,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673090,DFJ58DRAFT_106010,DFJ58DRAFT_106010,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673091,DFJ58DRAFT_10628,DFJ58DRAFT_10628,-,-,Unknown,-,PAP2-domain-containing protein,protein-coding,-,-,-,PAP2-domain-containing protein,20210605,-
48586,64673092,DFJ58DRAFT_10637,DFJ58DRAFT_10637,-,-,Unknown,-,PPP4R2-domain-containing protein,protein-coding,-,-,-,PPP4R2-domain-containing protein,20210605,-
48586,64673093,DFJ58DRAFT_106557,DFJ58DRAFT_106557,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673094,DFJ58DRAFT_106573,DFJ58DRAFT_106573,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673095,DFJ58DRAFT_10710,DFJ58DRAFT_10710,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673096,DFJ58DRAFT_10735,DFJ58DRAFT_10735,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
48586,64673097,DFJ58DRAFT_107483,DFJ58DRAFT_107483,-,-,Unknown,-,pali-domain-containing protein,protein-coding,-,-,-,pali-domain-containing protein,20210605,-
48586,64673098,DFJ58DRAFT_107497,DFJ58DRAFT_107497,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673099,DFJ58DRAFT_107711,DFJ58DRAFT_107711,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673100,DFJ58DRAFT_107783,DFJ58DRAFT_107783,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673101,DFJ58DRAFT_108052,DFJ58DRAFT_108052,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673102,DFJ58DRAFT_108062,DFJ58DRAFT_108062,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673103,DFJ58DRAFT_108159,DFJ58DRAFT_108159,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673104,DFJ58DRAFT_10919,DFJ58DRAFT_10919,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673105,DFJ58DRAFT_109209,DFJ58DRAFT_109209,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673106,DFJ58DRAFT_109246,DFJ58DRAFT_109246,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
48586,64673107,DFJ58DRAFT_109570,DFJ58DRAFT_109570,-,-,Unknown,-,Sec1-like protein,protein-coding,-,-,-,Sec1-like protein,20210605,-
48586,64673108,DFJ58DRAFT_109607,DFJ58DRAFT_109607,-,-,Unknown,-,WD40 repeat-like protein,protein-coding,-,-,-,WD40 repeat-like protein,20210605,-
48586,64673109,DFJ58DRAFT_109699,DFJ58DRAFT_109699,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673110,DFJ58DRAFT_109765,DFJ58DRAFT_109765,-,-,Unknown,-,WW domain binding protein 11-domain-containing protein,protein-coding,-,-,-,WW domain binding protein 11-domain-containing protein,20210605,-
48586,64673111,DFJ58DRAFT_109807,DFJ58DRAFT_109807,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673112,DFJ58DRAFT_10999,DFJ58DRAFT_10999,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673113,DFJ58DRAFT_110075,DFJ58DRAFT_110075,-,-,Unknown,-,ARM repeat-containing protein,protein-coding,-,-,-,ARM repeat-containing protein,20210605,-
48586,64673114,DFJ58DRAFT_110158,DFJ58DRAFT_110158,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673115,DFJ58DRAFT_110399,DFJ58DRAFT_110399,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673116,DFJ58DRAFT_110415,DFJ58DRAFT_110415,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673117,DFJ58DRAFT_110510,DFJ58DRAFT_110510,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673118,DFJ58DRAFT_110523,DFJ58DRAFT_110523,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673119,DFJ58DRAFT_110735,DFJ58DRAFT_110735,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673120,DFJ58DRAFT_110900,DFJ58DRAFT_110900,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673121,DFJ58DRAFT_110976,DFJ58DRAFT_110976,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
48586,64673122,DFJ58DRAFT_111023,DFJ58DRAFT_111023,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673123,DFJ58DRAFT_111165,DFJ58DRAFT_111165,-,-,Unknown,-,Fet3 protein,protein-coding,-,-,-,Fet3 protein,20210605,-
48586,64673124,DFJ58DRAFT_111200,DFJ58DRAFT_111200,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673125,DFJ58DRAFT_11134,DFJ58DRAFT_11134,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673126,DFJ58DRAFT_111991,DFJ58DRAFT_111991,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673127,DFJ58DRAFT_112627,DFJ58DRAFT_112627,-,-,Unknown,-,thioesterase-like superfamily-domain-containing protein,protein-coding,-,-,-,thioesterase-like superfamily-domain-containing protein,20210605,-
48586,64673128,DFJ58DRAFT_112703,DFJ58DRAFT_112703,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673129,DFJ58DRAFT_113070,DFJ58DRAFT_113070,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673130,DFJ58DRAFT_113340,DFJ58DRAFT_113340,-,-,Unknown,-,NPL4 family-domain-containing protein,protein-coding,-,-,-,NPL4 family-domain-containing protein,20210605,-
48586,64673131,DFJ58DRAFT_113551,DFJ58DRAFT_113551,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673132,DFJ58DRAFT_113565,DFJ58DRAFT_113565,-,-,Unknown,-,Rieske [2Fe-2S] iron-sulfur domain-containing protein,protein-coding,-,-,-,Rieske [2Fe-2S] iron-sulfur domain-containing protein,20210605,-
48586,64673133,DFJ58DRAFT_113593,DFJ58DRAFT_113593,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
48586,64673134,DFJ58DRAFT_113648,DFJ58DRAFT_113648,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
48586,64673135,DFJ58DRAFT_113652,DFJ58DRAFT_113652,-,-,Unknown,-,SprT-like family-domain-containing protein,protein-coding,-,-,-,SprT-like family-domain-containing protein,20210605,-
48586,64673136,DFJ58DRAFT_113828,DFJ58DRAFT_113828,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673137,DFJ58DRAFT_11400,DFJ58DRAFT_11400,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673138,DFJ58DRAFT_114123,DFJ58DRAFT_114123,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673139,DFJ58DRAFT_115131,DFJ58DRAFT_115131,-,-,Unknown,-,acyltransferase-domain-containing protein,protein-coding,-,-,-,acyltransferase-domain-containing protein,20210605,-
48586,64673140,DFJ58DRAFT_115136,DFJ58DRAFT_115136,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673141,DFJ58DRAFT_115253,DFJ58DRAFT_115253,-,-,Unknown,-,TPR-like protein,protein-coding,-,-,-,TPR-like protein,20210605,-
48586,64673142,DFJ58DRAFT_115498,DFJ58DRAFT_115498,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673143,DFJ58DRAFT_115615,DFJ58DRAFT_115615,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673144,DFJ58DRAFT_115760,DFJ58DRAFT_115760,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673145,DFJ58DRAFT_115761,DFJ58DRAFT_115761,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673146,DFJ58DRAFT_115812,DFJ58DRAFT_115812,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
48586,64673147,DFJ58DRAFT_115988,DFJ58DRAFT_115988,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673148,DFJ58DRAFT_116406,DFJ58DRAFT_116406,-,-,Unknown,-,complex 1 protein-domain-containing protein,protein-coding,-,-,-,complex 1 protein-domain-containing protein,20210605,-
48586,64673149,DFJ58DRAFT_117311,DFJ58DRAFT_117311,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673150,DFJ58DRAFT_117324,DFJ58DRAFT_117324,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673151,DFJ58DRAFT_11751,DFJ58DRAFT_11751,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673152,DFJ58DRAFT_11780,DFJ58DRAFT_11780,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673153,DFJ58DRAFT_117970,DFJ58DRAFT_117970,-,-,Unknown,-,peptidase M22 glycoprotease,protein-coding,-,-,-,peptidase M22 glycoprotease,20210605,-
48586,64673154,DFJ58DRAFT_118078,DFJ58DRAFT_118078,-,-,Unknown,-,N-terminal domain of NEFA-interacting nuclear protein NIP30-domain-containing protein,protein-coding,-,-,-,N-terminal domain of NEFA-interacting nuclear protein NIP30-domain-containing protein,20210605,-
48586,64673155,DFJ58DRAFT_118111,DFJ58DRAFT_118111,-,-,Unknown,-,nuclear protein DGCR14,protein-coding,-,-,-,nuclear protein DGCR14,20210605,-
48586,64673156,DFJ58DRAFT_118244,DFJ58DRAFT_118244,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673157,DFJ58DRAFT_118260,DFJ58DRAFT_118260,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673158,DFJ58DRAFT_118347,DFJ58DRAFT_118347,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673159,DFJ58DRAFT_119304,DFJ58DRAFT_119304,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673160,DFJ58DRAFT_119479,DFJ58DRAFT_119479,-,-,Unknown,-,carbohydrate esterase family 9 protein,protein-coding,-,-,-,carbohydrate esterase family 9 protein,20210605,-
48586,64673161,DFJ58DRAFT_11948,DFJ58DRAFT_11948,-,-,Unknown,-,CK1/CK1/CK1-G protein kinase,protein-coding,-,-,-,CK1/CK1/CK1-G protein kinase,20210605,-
48586,64673162,DFJ58DRAFT_119505,DFJ58DRAFT_119505,-,-,Unknown,-,histone deacetylase clr3,protein-coding,-,-,-,histone deacetylase clr3,20210605,-
48586,64673163,DFJ58DRAFT_119581,DFJ58DRAFT_119581,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673164,DFJ58DRAFT_119611,DFJ58DRAFT_119611,-,-,Unknown,-,DUF1168-domain-containing protein,protein-coding,-,-,-,DUF1168-domain-containing protein,20210605,-
48586,64673165,DFJ58DRAFT_119969,DFJ58DRAFT_119969,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673166,DFJ58DRAFT_119975,DFJ58DRAFT_119975,-,-,Unknown,-,SNF2 family N-terminal domain-containing protein,protein-coding,-,-,-,SNF2 family N-terminal domain-containing protein,20210605,-
48586,64673167,DFJ58DRAFT_119978,DFJ58DRAFT_119978,-,-,Unknown,-,snare-like protein,protein-coding,-,-,-,snare-like protein,20210605,-
48586,64673168,DFJ58DRAFT_120019,DFJ58DRAFT_120019,-,-,Unknown,-,mitochondrial carrier,protein-coding,-,-,-,mitochondrial carrier,20210605,-
48586,64673169,DFJ58DRAFT_120268,DFJ58DRAFT_120268,-,-,Unknown,-,"DNA-directed RNA polymerase II, subunit 3",protein-coding,-,-,-,"DNA-directed RNA polymerase II, subunit 3",20210605,-
48586,64673170,DFJ58DRAFT_120491,DFJ58DRAFT_120491,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673171,DFJ58DRAFT_120818,DFJ58DRAFT_120818,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673172,DFJ58DRAFT_120860,DFJ58DRAFT_120860,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673173,DFJ58DRAFT_120881,DFJ58DRAFT_120881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673174,DFJ58DRAFT_120895,DFJ58DRAFT_120895,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673175,DFJ58DRAFT_120945,DFJ58DRAFT_120945,-,-,Unknown,-,ribosomal protein S5 domain 2-type protein,protein-coding,-,-,-,ribosomal protein S5 domain 2-type protein,20210605,-
48586,64673176,DFJ58DRAFT_12128,DFJ58DRAFT_12128,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673177,DFJ58DRAFT_121297,DFJ58DRAFT_121297,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673178,DFJ58DRAFT_121339,DFJ58DRAFT_121339,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673179,DFJ58DRAFT_121365,DFJ58DRAFT_121365,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673180,DFJ58DRAFT_121449,DFJ58DRAFT_121449,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673181,DFJ58DRAFT_121539,DFJ58DRAFT_121539,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673182,DFJ58DRAFT_121541,DFJ58DRAFT_121541,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673183,DFJ58DRAFT_12202,DFJ58DRAFT_12202,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673184,DFJ58DRAFT_122363,DFJ58DRAFT_122363,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673185,DFJ58DRAFT_122422,DFJ58DRAFT_122422,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673186,DFJ58DRAFT_122682,DFJ58DRAFT_122682,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673187,DFJ58DRAFT_123487,DFJ58DRAFT_123487,-,-,Unknown,-,armadillo-type protein,protein-coding,-,-,-,armadillo-type protein,20210507,-
48586,64673188,DFJ58DRAFT_123848,DFJ58DRAFT_123848,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673189,DFJ58DRAFT_124053,DFJ58DRAFT_124053,-,-,Unknown,-,regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,protein-coding,-,-,-,regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II,20210605,-
48586,64673190,DFJ58DRAFT_124631,DFJ58DRAFT_124631,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673191,DFJ58DRAFT_124665,DFJ58DRAFT_124665,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673192,DFJ58DRAFT_124683,DFJ58DRAFT_124683,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673193,DFJ58DRAFT_124857,DFJ58DRAFT_124857,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673194,DFJ58DRAFT_124969,DFJ58DRAFT_124969,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
48586,64673195,DFJ58DRAFT_125006,DFJ58DRAFT_125006,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673196,DFJ58DRAFT_125179,DFJ58DRAFT_125179,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673197,DFJ58DRAFT_125239,DFJ58DRAFT_125239,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
48586,64673198,DFJ58DRAFT_125776,DFJ58DRAFT_125776,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673199,DFJ58DRAFT_125787,DFJ58DRAFT_125787,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
48586,64673200,DFJ58DRAFT_125894,DFJ58DRAFT_125894,-,-,Unknown,-,glycoside hydrolase family 61 protein,protein-coding,-,-,-,glycoside hydrolase family 61 protein,20210605,-
