#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
445688,10329367,gp33,PSSM7_241,-,-,-,-,late promoter transcription accessory protein,protein-coding,-,-,-,late promoter transcription accessory protein,20200909,-
445688,10329393,hli03,PSSM7_215,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445688,10329394,hli03,PSSM7_214,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445688,10329395,hli03,PSSM7_213,-,-,-,-,high light inducible protein,protein-coding,-,-,-,high light inducible protein,20200909,-
445688,10329396,PSSM7_212,PSSM7_212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329397,PSSM7_211,PSSM7_211,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329398,PSSM7_210,PSSM7_210,-,-,-,-,NAD synthetase,protein-coding,-,-,-,NAD synthetase,20200909,-
445688,10329399,PSSM7_209,PSSM7_209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329400,PSSM7_208,PSSM7_208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329401,talC,PSSM7_207,-,-,-,-,transaldolase-like protein,protein-coding,-,-,-,transaldolase-like protein,20200909,-
445688,10329402,PSSM7_206,PSSM7_206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329403,PSSM7_205,PSSM7_205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329404,PSSM7_204,PSSM7_204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329405,PSSM7_203,PSSM7_203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329406,nrdB,PSSM7_202,-,-,-,-,ribonucleotide reductase class Ia beta subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia beta subunit,20200909,-
445688,10329407,nrdA,PSSM7_201,-,-,-,-,ribonucleotide reductase class Ia alpha subunit,protein-coding,-,-,-,ribonucleotide reductase class Ia alpha subunit,20200909,-
445688,10329408,gp61,PSSM7_200,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200909,-
445688,10329409,PSSM7_199,PSSM7_199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329410,PSSM7_198,PSSM7_198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329411,PSSM7_197,PSSM7_197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329412,PSSM7_196,PSSM7_196,-,-,-,-,S-layer domain protein,protein-coding,-,-,-,S-layer domain protein,20200909,-
445688,10329413,PSSM7_195,PSSM7_195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329414,PSSM7_194,PSSM7_194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329415,PSSM7_193,PSSM7_193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329416,PSSM7_192,PSSM7_192,-,-,-,-,possible cytitidyltransferase,protein-coding,-,-,-,possible cytitidyltransferase,20200909,-
445688,10329417,PSSM7_191,PSSM7_191,-,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20200909,-
445688,10329418,PSSM7_190,PSSM7_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329419,PSSM7_189,PSSM7_189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329420,denV,PSSM7_188,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445688,10329421,PSSM7_187,PSSM7_187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329422,PSSM7_186,PSSM7_186,-,-,-,-,Rnf-Nqr,protein-coding,-,-,-,Rnf-Nqr,20200909,-
445688,10329423,PSSM7_185,PSSM7_185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329424,purH2,PSSM7_184,-,-,-,-,PurH2,protein-coding,-,-,-,PurH2,20200909,-
445688,10329425,mazG,PSSM7_183,-,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20200909,-
445688,10329426,gp41,PSSM7_182,-,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20200909,-
445688,10329427,PSSM7_181,PSSM7_181,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445688,10329428,uvsX,PSSM7_180,-,-,-,-,UvsX RecA-like protein,protein-coding,-,-,-,UvsX RecA-like protein,20200909,-
445688,10329429,PSSM7_179,PSSM7_179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329430,gp43,PSSM7_178,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200909,-
445688,10329431,PSSM7_177,PSSM7_177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329432,PSSM7_176,PSSM7_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329433,pstS,PSSM7_175,-,-,-,-,phosphate transporter subunit,protein-coding,-,-,-,phosphate transporter subunit,20200909,-
445688,10329434,PSSM7_174,PSSM7_174,-,-,-,-,DUF680 domain-containing protein,protein-coding,-,-,-,DUF680 domain-containing protein,20200909,-
445688,10329435,hsp20,PSSM7_173,-,-,-,-,heat shock protein,protein-coding,-,-,-,heat shock protein,20200909,-
445688,10329436,PSSM7_172,PSSM7_172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329437,PSSM7_171,PSSM7_171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329438,PSSM7_170,PSSM7_170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329439,PSSM7_169,PSSM7_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329440,PSSM7_168,PSSM7_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329441,PSSM7_167,PSSM7_167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329442,PSSM7_166,PSSM7_166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329443,regA,PSSM7_165,-,-,-,-,translational repressor,protein-coding,-,-,-,translational repressor,20200909,-
445688,10329444,gp62,PSSM7_164,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445688,10329445,PSSM7_163,PSSM7_163,-,-,-,-,ferrochelatase,protein-coding,-,-,-,ferrochelatase,20200909,-
445688,10329446,dam,PSSM7_162,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445688,10329447,PSSM7_161,PSSM7_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329448,PSSM7_160,PSSM7_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329449,PSSM7_159,PSSM7_159,-,-,-,-,orotate phosphoribosyltransferase,protein-coding,-,-,-,orotate phosphoribosyltransferase,20200909,-
445688,10329450,gp44,PSSM7_158,-,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200909,-
445688,10329451,gp45,PSSM7_157,-,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200909,-
445688,10329452,PSSM7_156,PSSM7_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329453,cobS,PSSM7_155,-,-,-,-,putative cobalt chelatase subunit CobS,protein-coding,-,-,-,putative cobalt chelatase subunit CobS,20200909,-
445688,10329454,PSSM7_154,PSSM7_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329455,PSSM7_153,PSSM7_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329456,PSSM7_152,PSSM7_152,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20200909,-
445688,10329457,PSSM7_151,PSSM7_151,-,-,-,-,PRGA-formyltransferase,protein-coding,-,-,-,PRGA-formyltransferase,20200909,-
445688,10329458,PSSM7_150,PSSM7_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329459,PSSM7_149,PSSM7_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329460,nrdC,PSSM7_148,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20200909,-
445688,10329461,PSSM7_147,PSSM7_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329462,PSSM7_146,PSSM7_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329463,PSSM7_145,PSSM7_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329464,PSSM7_144,PSSM7_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329465,PSSM7_143,PSSM7_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329466,PSSM7_142,PSSM7_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329467,gp46,PSSM7_141,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445688,10329468,PSSM7_140,PSSM7_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329469,gp47,PSSM7_139,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200909,-
445688,10329470,gp55,PSSM7_138,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20200909,-
445688,10329471,PSSM7_137,PSSM7_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329472,PSSM7_136,PSSM7_136,-,-,-,-,methylamine utilization protein,protein-coding,-,-,-,methylamine utilization protein,20200909,-
445688,10329473,uvsW,PSSM7_135,-,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20200909,-
445688,10329474,PSSM7_134,PSSM7_134,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445688,10329475,uvsY,PSSM7_133,-,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20200909,-
445688,10329476,gp3,PSSM7_132,-,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,protein-coding,-,-,-,head-proximal tip of tail tube tail completion + sheath stabilizer protein,20200909,-
445688,10329477,PSSM7_001,PSSM7_001,-,-,-,-,DUF1825 domain-containing protein,protein-coding,-,-,-,DUF1825 domain-containing protein,20200909,-
445688,10329478,PSSM7_130,PSSM7_130,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445688,10329479,PSSM7_127,PSSM7_127,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445688,10329480,PSSM7_125,PSSM7_125,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
445688,10329481,gp23,PSSM7_124,-,-,-,-,precursor of major head subunit,protein-coding,-,-,-,precursor of major head subunit,20200909,-
445688,10329482,gp22,PSSM7_123,-,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20200909,-
445688,10329483,gp21,PSSM7_122,-,-,-,-,prohead core scaffold and protease,protein-coding,-,-,-,prohead core scaffold and protease,20200909,-
445688,10329484,PSSM7_121,PSSM7_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329485,gp20,PSSM7_120,-,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20200909,-
445688,10329486,gp19,PSSM7_119,-,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20200909,-
445688,10329487,PSSM7_118,PSSM7_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329488,gp18,PSSM7_117,-,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200909,-
445688,10329489,gp17,PSSM7_116,-,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200909,-
445688,10329490,PSSM7_115,PSSM7_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329491,PSSM7_114,PSSM7_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329492,PSSM7_113,PSSM7_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329493,PSSM7_112,PSSM7_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329494,PSSM7_111,PSSM7_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329495,PSSM7_110,PSSM7_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329496,purM,PSSM7_109,-,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20200909,-
445688,10329497,gp7,PSSM7_108,-,-,-,-,gp7,protein-coding,-,-,-,gp7,20200909,-
445688,10329498,PSSM7_107,PSSM7_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329499,PSSM7_106,PSSM7_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329500,PSSM7_105,PSSM7_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329501,PSSM7_104,PSSM7_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329502,gp16,PSSM7_103,-,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200909,-
445688,10329503,PSSM7_102,PSSM7_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329504,gp15,PSSM7_101,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20200909,-
445688,10329505,gp14,PSSM7_100,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445688,10329506,gp13,PSSM7_099,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200909,-
445688,10329507,PSSM7_098,PSSM7_098,-,-,-,-,YadA domain-containing structural protein,protein-coding,-,-,-,YadA domain-containing structural protein,20200909,-
445688,10329508,PSSM7_097,PSSM7_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329509,PSSM7_096,PSSM7_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329510,PSSM7_095,PSSM7_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329511,PSSM7_094,PSSM7_094,-,-,-,-,VrlC protein,protein-coding,-,-,-,VrlC protein,20200909,-
445688,10329512,gp8,PSSM7_093,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445688,10329513,PSSM7_092,PSSM7_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329514,gp9,PSSM7_091,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200909,-
445688,10329515,PSSM7_090,PSSM7_090,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445688,10329516,gp6,PSSM7_089,-,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20200909,-
445688,10329517,gp25,PSSM7_088,-,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20200909,-
445688,10329518,PSSM7_087,PSSM7_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329519,PSSM7_086,PSSM7_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329520,PSSM7_085,PSSM7_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329521,PSSM7_084,PSSM7_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329522,PSSM7_083,PSSM7_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329523,PSSM7_082,PSSM7_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329524,PSSM7_081,PSSM7_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329525,PSSM7_080,PSSM7_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329526,PSSM7_079,PSSM7_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329527,PSSM7_078,PSSM7_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329528,PSSM7_077,PSSM7_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329529,PSSM7_076,PSSM7_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329530,PSSM7_075,PSSM7_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329531,PSSM7_074,PSSM7_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329532,PSSM7_073,PSSM7_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329533,PSSM7_072,PSSM7_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329534,PSSM7_071,PSSM7_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329535,PSSM7_070,PSSM7_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329536,PSSM7_069,PSSM7_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329537,PSSM7_068,PSSM7_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329538,PSSM7_067,PSSM7_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329539,PSSM7_066,PSSM7_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329540,PSSM7_065,PSSM7_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329541,PSSM7_064,PSSM7_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329542,PSSM7_063,PSSM7_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329543,PSSM7_062,PSSM7_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329544,PSSM7_061,PSSM7_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329545,PSSM7_060,PSSM7_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329546,PSSM7_059,PSSM7_059,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20200909,-
445688,10329547,PSSM7_058,PSSM7_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329548,PSSM7_057,PSSM7_057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329549,dam,PSSM7_056,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445688,10329550,dam,PSSM7_055,-,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20200909,-
445688,10329551,PSSM7_054,PSSM7_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329552,PSSM7_053,PSSM7_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329553,PSSM7_052,PSSM7_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329554,PSSM7_051,PSSM7_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329555,PSSM7_050,PSSM7_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329556,PSSM7_049,PSSM7_049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329557,PSSM7_048,PSSM7_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329558,PSSM7_047,PSSM7_047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329559,PSSM7_046,PSSM7_046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329560,PSSM7_045,PSSM7_045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329561,PSSM7_044,PSSM7_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329562,PSSM7_043,PSSM7_043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329563,PSSM7_042,PSSM7_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329564,PSSM7_041,PSSM7_041,-,-,-,-,sericin 1 precursor-like protein,protein-coding,-,-,-,sericin 1 precursor-like protein,20200909,-
445688,10329565,PSSM7_040,PSSM7_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329566,PSSM7_039,PSSM7_039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329567,PSSM7_038,PSSM7_038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329568,PSSM7_037,PSSM7_037,-,-,-,-,fiber,protein-coding,-,-,-,fiber,20200909,-
445688,10329569,PSSM7_036,PSSM7_036,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200909,-
445688,10329570,PSSM7_035,PSSM7_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
445688,10329571,denV,PSSM7_034,-,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20200909,-
445688,10329572,PSSM7_033,PSSM7_033,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
445688,10329573,PSSM7_032,PSSM7_032,-,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20200909,-
