#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1264700,14515932,G428_gp02,G428_gp02,-,-,-,-,"putative terminase, large subunit",protein-coding,-,-,-,"putative terminase, large subunit",20201221,-
1264700,14515946,G428_gp16,G428_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515947,G428_gp17,G428_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515948,G428_gp18,G428_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515949,G428_gp19,G428_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515950,G428_gp20,G428_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515951,G428_gp21,G428_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515952,G428_gp22,G428_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515953,G428_gp23,G428_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515954,G428_gp24,G428_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515955,G428_gp25,G428_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515956,G428_gp26,G428_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515957,G428_gp27,G428_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515958,G428_gp28,G428_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515959,G428_gp29,G428_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515960,G428_gp30,G428_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515961,G428_gp31,G428_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515962,G428_gp32,G428_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515963,G428_gp33,G428_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515964,G428_gp34,G428_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515965,G428_gp35,G428_gp35,-,-,-,-,putative tail-fiber/lysozyme protein,protein-coding,-,-,-,putative tail-fiber/lysozyme protein,20201221,-
1264700,14515966,G428_gp36,G428_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515967,G428_gp37,G428_gp37,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201221,-
1264700,14515968,G428_gp38,G428_gp38,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201221,-
1264700,14515969,G428_gp39,G428_gp39,-,-,-,-,putative baseplate protein,protein-coding,-,-,-,putative baseplate protein,20201221,-
1264700,14515970,G428_gp40,G428_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515971,G428_gp41,G428_gp41,-,-,-,-,putative tail-fiber protein,protein-coding,-,-,-,putative tail-fiber protein,20201221,-
1264700,14515972,G428_gp42,G428_gp42,-,-,-,-,putative tail assembly chaperone,protein-coding,-,-,-,putative tail assembly chaperone,20201221,-
1264700,14515973,G428_gp43,G428_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515974,G428_gp44,G428_gp44,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20201221,-
1264700,14515975,G428_gp45,G428_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515976,G428_gp46,G428_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515977,G428_gp47,G428_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515978,G428_gp48,G428_gp48,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1264700,14515979,G428_gp49,G428_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515980,G428_gp50,G428_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515981,G428_gp51,G428_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515982,G428_gp52,G428_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515983,G428_gp53,G428_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515984,G428_gp54,G428_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515985,G428_gp55,G428_gp55,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1264700,14515986,G428_gp56,G428_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515987,G428_gp57,G428_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515988,G428_gp58,G428_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515989,G428_gp59,G428_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515990,G428_gp60,G428_gp60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515991,G428_gp61,G428_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515992,G428_gp62,G428_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515993,G428_gp63,G428_gp63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515994,G428_gp64,G428_gp64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515995,G428_gp65,G428_gp65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515996,G428_gp66,G428_gp66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1264700,14515997,G428_gp01,G428_gp01,-,-,-,-,"putative terminase, small subunit",protein-coding,-,-,-,"putative terminase, small subunit",20201221,-
1264700,14564116,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Edwardsiella tarda phage MSW-3).,other,-,-,-,-,20200513,-
