#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391431,17776931,2,X823_gp02,CONSPIRACY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200622,-
1391431,17776954,26,X823_gp67,CONSPIRACY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776955,27,X823_gp66,CONSPIRACY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776956,28,X823_gp65,CONSPIRACY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776957,29,X823_gp64,CONSPIRACY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776958,30,X823_gp63,CONSPIRACY_30,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20200622,-
1391431,17776959,31,X823_gp62,CONSPIRACY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776960,32,X823_gp61,CONSPIRACY_32,-,-,-,cytidine deaminase,protein-coding,-,-,-,cytidine deaminase,20200905,-
1391431,17776961,33,X823_gp60,CONSPIRACY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776962,34,X823_gp59,CONSPIRACY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776963,35,X823_gp58,CONSPIRACY_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776964,36,X823_gp57,CONSPIRACY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776965,37,X823_gp56,CONSPIRACY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776966,38,X823_gp55,CONSPIRACY_38,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201026,-
1391431,17776967,39,X823_gp54,CONSPIRACY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776968,40,X823_gp53,CONSPIRACY_40,-,-,-,HTH domain protein,protein-coding,-,-,-,HTH domain protein,20200622,-
1391431,17776969,41,X823_gp52,CONSPIRACY_41,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200622,-
1391431,17776970,42,X823_gp51,CONSPIRACY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776971,43,X823_gp50,CONSPIRACY_43,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20200622,-
1391431,17776972,44,X823_gp49,CONSPIRACY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776973,45,X823_gp48,CONSPIRACY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776974,46,X823_gp47,CONSPIRACY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776975,47,X823_gp46,CONSPIRACY_47,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200622,-
1391431,17776976,48,X823_gp45,CONSPIRACY_48,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20200905,-
1391431,17776977,49,X823_gp44,CONSPIRACY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776978,50,X823_gp43,CONSPIRACY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776979,51,X823_gp42,CONSPIRACY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776980,52,X823_gp41,CONSPIRACY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776981,53,X823_gp40,CONSPIRACY_53,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1391431,17776982,54,X823_gp39,CONSPIRACY_54,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200622,-
1391431,17776983,55,X823_gp38,CONSPIRACY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776984,56,X823_gp37,CONSPIRACY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776985,57,X823_gp36,CONSPIRACY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776986,58,X823_gp35,CONSPIRACY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776987,59,X823_gp34,CONSPIRACY_59,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20200905,-
1391431,17776988,60,X823_gp33,CONSPIRACY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776989,61,X823_gp32,CONSPIRACY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776990,62,X823_gp31,CONSPIRACY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776991,63,X823_gp30,CONSPIRACY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776992,64,X823_gp29,CONSPIRACY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776993,65,X823_gp28,CONSPIRACY_65,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200905,-
1391431,17776994,66,X823_gp27,CONSPIRACY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776995,67,X823_gp26,CONSPIRACY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776996,68,X823_gp25,CONSPIRACY_68,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200905,-
1391431,17776997,69,X823_gp24,CONSPIRACY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17776998,70,X823_gp23,CONSPIRACY_70,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200622,-
1391431,17776999,71,X823_gp22,CONSPIRACY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777000,72,X823_gp21,CONSPIRACY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777001,73,X823_gp20,CONSPIRACY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777002,74,X823_gp19,CONSPIRACY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777003,75,X823_gp18,CONSPIRACY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777004,76,X823_gp17,CONSPIRACY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777005,77,X823_gp16,CONSPIRACY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777006,78,X823_gp15,CONSPIRACY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777007,79,X823_gp14,CONSPIRACY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777008,80,X823_gp13,CONSPIRACY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777009,81,X823_gp12,CONSPIRACY_81,-,-,-,ArdA-like antirestriction protein,protein-coding,-,-,-,ArdA-like antirestriction protein,20200622,-
1391431,17777010,82,X823_gp11,CONSPIRACY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777011,83,X823_gp10,CONSPIRACY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777012,84,X823_gp09,CONSPIRACY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777013,85,X823_gp08,CONSPIRACY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777014,86,X823_gp07,CONSPIRACY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777015,87,X823_gp06,CONSPIRACY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17777016,1,X823_gp01,CONSPIRACY_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200905,-
1391431,17777017,3,X823_gp03,CONSPIRACY_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391431,17849486,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Conspiracy).,other,-,-,-,-,20200513,-
