#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656586,62361503,2,JMN69_gp02,SEA_KILLIGREW_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210123,-
2656586,62361527,26,JMN69_gp26,SEA_KILLIGREW_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656586,62361528,27,JMN69_gp27,SEA_KILLIGREW_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361529,28,JMN69_gp28,SEA_KILLIGREW_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361530,29,JMN69_gp29,SEA_KILLIGREW_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2656586,62361531,30,JMN69_gp30,SEA_KILLIGREW_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2656586,62361532,31,JMN69_gp31,SEA_KILLIGREW_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361533,32,JMN69_gp32,SEA_KILLIGREW_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361534,33,JMN69_gp33,SEA_KILLIGREW_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361535,34,JMN69_gp34,SEA_KILLIGREW_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361536,35,JMN69_gp35,SEA_KILLIGREW_35,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20210424,-
2656586,62361537,36,JMN69_gp36,SEA_KILLIGREW_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361538,37,JMN69_gp37,SEA_KILLIGREW_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361539,38,JMN69_gp38,SEA_KILLIGREW_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361540,39,JMN69_gp39,SEA_KILLIGREW_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361541,40,JMN69_gp40,SEA_KILLIGREW_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361542,42,JMN69_gp42,SEA_KILLIGREW_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361543,43,JMN69_gp43,SEA_KILLIGREW_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361544,44,JMN69_gp44,SEA_KILLIGREW_44,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
2656586,62361545,45,JMN69_gp45,SEA_KILLIGREW_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361546,46,JMN69_gp46,SEA_KILLIGREW_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361547,47,JMN69_gp47,SEA_KILLIGREW_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361548,48,JMN69_gp48,SEA_KILLIGREW_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656586,62361549,49,JMN69_gp49,SEA_KILLIGREW_49,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20210123,-
2656586,62361550,50,JMN69_gp50,SEA_KILLIGREW_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361551,51,JMN69_gp51,SEA_KILLIGREW_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361552,52,JMN69_gp52,SEA_KILLIGREW_52,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210406,-
2656586,62361553,53,JMN69_gp53,SEA_KILLIGREW_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361554,54,JMN69_gp54,SEA_KILLIGREW_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361555,55,JMN69_gp55,SEA_KILLIGREW_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2656586,62361556,56,JMN69_gp56,SEA_KILLIGREW_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210403,-
2656586,62361557,58,JMN69_gp58,SEA_KILLIGREW_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656586,62361558,59,JMN69_gp59,SEA_KILLIGREW_59,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
2656586,62361559,60,JMN69_gp60,SEA_KILLIGREW_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361560,62,JMN69_gp62,SEA_KILLIGREW_62,-,-,-,DnaB-like DNA helicase,protein-coding,-,-,-,DnaB-like DNA helicase,20210417,-
2656586,62361561,63,JMN69_gp63,SEA_KILLIGREW_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361562,64,JMN69_gp64,SEA_KILLIGREW_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2656586,62361563,65,JMN69_gp65,SEA_KILLIGREW_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361564,66,JMN69_gp66,SEA_KILLIGREW_66,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,MerR-like helix-turn-helix DNA binding domain protein,20210212,-
2656586,62361565,67,JMN69_gp67,SEA_KILLIGREW_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361566,68,JMN69_gp68,SEA_KILLIGREW_68,-,-,-,cas4 family exonuclease,protein-coding,-,-,-,cas4 family exonuclease,20210424,-
2656586,62361567,69,JMN69_gp69,SEA_KILLIGREW_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361568,70,JMN69_gp70,SEA_KILLIGREW_70,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2656586,62361569,71,JMN69_gp71,SEA_KILLIGREW_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361570,72,JMN69_gp72,SEA_KILLIGREW_72,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2656586,62361571,73,JMN69_gp73,SEA_KILLIGREW_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361572,74,JMN69_gp74,SEA_KILLIGREW_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361573,75,JMN69_gp75,SEA_KILLIGREW_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361574,76,JMN69_gp76,SEA_KILLIGREW_76,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2656586,62361575,77,JMN69_gp77,SEA_KILLIGREW_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361576,78,JMN69_gp78,SEA_KILLIGREW_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361577,79,JMN69_gp79,SEA_KILLIGREW_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361578,80,JMN69_gp80,SEA_KILLIGREW_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361579,81,JMN69_gp81,SEA_KILLIGREW_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361580,82,JMN69_gp82,SEA_KILLIGREW_82,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2656586,62361581,83,JMN69_gp83,SEA_KILLIGREW_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361582,84,JMN69_gp84,SEA_KILLIGREW_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361583,85,JMN69_gp85,SEA_KILLIGREW_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361584,86,JMN69_gp86,SEA_KILLIGREW_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361585,87,JMN69_gp87,SEA_KILLIGREW_87,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210424,-
2656586,62361586,61,JMN69_gp61,SEA_KILLIGREW_61,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2656586,62361587,41,JMN69_gp41,SEA_KILLIGREW_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2656586,62361588,57,JMN69_gp57,SEA_KILLIGREW_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210123,-
2656586,62361589,1,JMN69_gp01,SEA_KILLIGREW_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210123,-
2656586,62369045,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
