#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2039780,65099774,2L,KM509_gp002,-,-,-,-,DNA-binding packing protein,protein-coding,-,-,-,DNA-binding packing protein,20210607,-
2039780,65099794,22R,KM509_gp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099795,23R,KM509_gp023,-,-,-,-,XRN1 5 -3 exoribonuclease,protein-coding,-,-,-,XRN1 5 -3 exoribonuclease,20210607,-
2039780,65099796,24R,KM509_gp024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099797,25R,KM509_gp025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099798,26L,KM509_gp026,-,-,-,-,thioredoxin 2,protein-coding,-,-,-,thioredoxin 2,20210607,-
2039780,65099799,27L,KM509_gp027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099800,28L,KM509_gp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099801,29R,KM509_gp029,-,-,-,-,Ca2+-binding RTX toxin-related protein,protein-coding,-,-,-,Ca2+-binding RTX toxin-related protein,20210607,-
2039780,65099802,30R,KM509_gp030,-,-,-,-,group I intron endonuclease,protein-coding,-,-,-,group I intron endonuclease,20210607,-
2039780,65099803,31L,KM509_gp031,-,-,-,-,DNA repair RAD2,protein-coding,-,-,-,DNA repair RAD2,20210607,-
2039780,65099804,32L,KM509_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099805,33R,KM509_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099806,34L,KM509_gp034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099807,35R,KM509_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099808,36L,KM509_gp036,-,-,-,-,deoxynucleoside kinase,protein-coding,-,-,-,deoxynucleoside kinase,20210607,-
2039780,65099809,37L,KM509_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099810,38R,KM509_gp038,-,-,-,-,DNA double-strand break repair rad50 ATPase-like protein,protein-coding,-,-,-,DNA double-strand break repair rad50 ATPase-like protein,20210607,-
2039780,65099811,39R,KM509_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099812,40R,KM509_gp040,-,-,-,-,proliferating cell nuclear antigen,protein-coding,-,-,-,proliferating cell nuclear antigen,20210607,-
2039780,65099813,41R,KM509_gp041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099814,42R,KM509_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099815,43L,KM509_gp043,-,-,-,-,serpentine type 7TM GPCR chemoreceptor Srd,protein-coding,-,-,-,serpentine type 7TM GPCR chemoreceptor Srd,20210607,-
2039780,65099816,44L,KM509_gp044,-,-,-,-,DNA repair exonuclease D subunit,protein-coding,-,-,-,DNA repair exonuclease D subunit,20210607,-
2039780,65099817,45L,KM509_gp045,-,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20210607,-
2039780,65099818,46R,KM509_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099819,47R,KM509_gp047,-,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20210607,-
2039780,65099820,48L,KM509_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099821,49L,KM509_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099822,50L,KM509_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099823,51R,KM509_gp051,-,-,-,-,papainase,protein-coding,-,-,-,papainase,20210607,-
2039780,65099824,52R,KM509_gp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099825,53R,KM509_gp053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099826,54R,KM509_gp054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099827,55R,KM509_gp055,-,-,-,-,NAD-dependent DNA ligase,protein-coding,-,-,-,NAD-dependent DNA ligase,20210607,-
2039780,65099828,56R,KM509_gp056,-,-,-,-,DNA-directed RNA polymerase II largest subunit,protein-coding,-,-,-,DNA-directed RNA polymerase II largest subunit,20210607,-
2039780,65099829,57R,KM509_gp057,-,-,-,-,DNA-dependent RNA polymerase II largest subunit,protein-coding,-,-,-,DNA-dependent RNA polymerase II largest subunit,20210607,-
2039780,65099830,58R,KM509_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099831,59L,KM509_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099832,60R,KM509_gp060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099833,61R,KM509_gp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099834,62L,KM509_gp062,-,-,-,-,phytanoyl dioxygenase,protein-coding,-,-,-,phytanoyl dioxygenase,20210607,-
2039780,65099835,63R,KM509_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099836,64R,KM509_gp064,-,-,-,-,NTPase helicase,protein-coding,-,-,-,NTPase helicase,20210607,-
2039780,65099837,65R,KM509_gp065,-,-,-,-,NAD-dependent DNA ligase,protein-coding,-,-,-,NAD-dependent DNA ligase,20210607,-
2039780,65099838,66R,KM509_gp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099839,67R,KM509_gp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099840,68R,KM509_gp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099841,69R,KM509_gp069,-,-,-,-,DNA-directed RNA polymerase II second largest subunit,protein-coding,-,-,-,DNA-directed RNA polymerase II second largest subunit,20210607,-
2039780,65099842,70R,KM509_gp070,-,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20210607,-
2039780,65099843,71L,KM509_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099844,72R,KM509_gp072,-,-,-,-,NUDIX family protein,protein-coding,-,-,-,NUDIX family protein,20210607,-
2039780,65099845,73R,KM509_gp073,-,-,-,-,immediate early ICP-46,protein-coding,-,-,-,immediate early ICP-46,20210607,-
2039780,65099846,74L,KM509_gp074,-,-,-,-,ubiquitin,protein-coding,-,-,-,ubiquitin,20210607,-
2039780,65099847,75R,KM509_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099848,76R,KM509_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099849,77R,KM509_gp077,-,-,-,-,DNA topoisomerase II,protein-coding,-,-,-,DNA topoisomerase II,20210607,-
2039780,65099850,78R,KM509_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099851,79L,KM509_gp079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099852,80L,KM509_gp080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099853,81L,KM509_gp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099854,82L,KM509_gp082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099855,83R,KM509_gp083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099856,84L,KM509_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099857,85L,KM509_gp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099858,86R,KM509_gp086,-,-,-,-,DNA-directed RNA polymerases II and IV subunit 5A,protein-coding,-,-,-,DNA-directed RNA polymerases II and IV subunit 5A,20210607,-
2039780,65099859,87R,KM509_gp087,-,-,-,-,neurofilament triplet H1,protein-coding,-,-,-,neurofilament triplet H1,20210607,-
2039780,65099860,88R,KM509_gp088,-,-,-,-,transcription elongation factor SII,protein-coding,-,-,-,transcription elongation factor SII,20210607,-
2039780,65099861,89R,KM509_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099862,90R,KM509_gp090,-,-,-,-,tyrosine kinase,protein-coding,-,-,-,tyrosine kinase,20210607,-
2039780,65099863,91R,KM509_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099864,92R,KM509_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099865,93R,KM509_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099866,94L,KM509_gp094,-,-,-,-,serine threonine kinase,protein-coding,-,-,-,serine threonine kinase,20210607,-
2039780,65099867,95L,KM509_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099868,96R,KM509_gp096,-,-,-,-,thymidylate kinase,protein-coding,-,-,-,thymidylate kinase,20210607,-
2039780,65099869,97R,KM509_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099870,98R,KM509_gp098,-,-,-,-,N1R p28,protein-coding,-,-,-,N1R p28,20210607,-
2039780,65099871,99R,KM509_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099872,100R,KM509_gp100,-,-,-,-,BRO-like protein,protein-coding,-,-,-,BRO-like protein,20210607,-
2039780,65099873,101R,KM509_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099874,102R,KM509_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099875,103L,KM509_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099876,104R,KM509_gp104,-,-,-,-,Uvr REP helicase,protein-coding,-,-,-,Uvr REP helicase,20210607,-
2039780,65099877,105R,KM509_gp105,-,-,-,-,patatin-like phospholipase,protein-coding,-,-,-,patatin-like phospholipase,20210607,-
2039780,65099878,106R,KM509_gp106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099879,107L,KM509_gp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099880,108L,KM509_gp108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099881,109L,KM509_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099882,110R,KM509_gp110,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210607,-
2039780,65099883,111R,KM509_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099884,112R,KM509_gp112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099885,113L,KM509_gp113,-,-,-,-,haloacid dehalogenase-like hydrolase,protein-coding,-,-,-,haloacid dehalogenase-like hydrolase,20210607,-
2039780,65099886,114R,KM509_gp114,-,-,-,-,D5 family NTPase ATPase,protein-coding,-,-,-,D5 family NTPase ATPase,20210607,-
2039780,65099887,115L,KM509_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099888,116L,KM509_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099889,117R,KM509_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099890,118R,KM509_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099891,119L,KM509_gp119,-,-,-,-,ATpase 3,protein-coding,-,-,-,ATpase 3,20210607,-
2039780,65099892,120R,KM509_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099893,121R,KM509_gp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099894,122L,KM509_gp122,-,-,-,-,thiol reductase thioredoxin,protein-coding,-,-,-,thiol reductase thioredoxin,20210607,-
2039780,65099895,123L,KM509_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099896,124R,KM509_gp124,-,-,-,-,cell surface protein,protein-coding,-,-,-,cell surface protein,20210607,-
2039780,65099897,125R,KM509_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099898,126L,KM509_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099899,127R,KM509_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099900,128R,KM509_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099901,129L,KM509_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099902,130R,KM509_gp130,-,-,-,-,membrane-associated phosphatidylinositol transfer 1,protein-coding,-,-,-,membrane-associated phosphatidylinositol transfer 1,20210607,-
2039780,65099903,131R,KM509_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099904,132R,KM509_gp132,-,-,-,-,nucleolar preribosomal assembly protein,protein-coding,-,-,-,nucleolar preribosomal assembly protein,20210607,-
2039780,65099905,133L,KM509_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099906,134L,KM509_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099907,135L,KM509_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099908,136L,KM509_gp136,-,-,-,-,N-acetylmuramoyl-L-alanine amidase,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase,20210607,-
2039780,65099909,137R,KM509_gp137,-,-,-,-,RING finger 148-like protein,protein-coding,-,-,-,RING finger 148-like protein,20210607,-
2039780,65099910,138R,KM509_gp138,-,-,-,-,deoxyuridine 5 -triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5 -triphosphate nucleotidohydrolase,20210607,-
2039780,65099911,139R,KM509_gp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099912,140R,KM509_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099913,141R,KM509_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099914,142R,KM509_gp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099915,143R,KM509_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099916,144L,KM509_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099917,145L,KM509_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099918,146R,KM509_gp146,-,-,-,-,NTPase,protein-coding,-,-,-,NTPase,20210607,-
2039780,65099919,147R,KM509_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099920,148L,KM509_gp148,-,-,-,-,major capsid Protein,protein-coding,-,-,-,major capsid Protein,20210607,-
2039780,65099921,149L,KM509_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099922,150R,KM509_gp150,-,-,-,-,rgv late protein,protein-coding,-,-,-,rgv late protein,20210607,-
2039780,65099923,151R,KM509_gp151,-,-,-,-,high mobility group protein,protein-coding,-,-,-,high mobility group protein,20210607,-
2039780,65099924,152L,KM509_gp152,-,-,-,-,NTPase helicase,protein-coding,-,-,-,NTPase helicase,20210607,-
2039780,65099925,153L,KM509_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099926,154L,KM509_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099927,155L,KM509_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099928,156R,KM509_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099929,157L,KM509_gp157,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
2039780,65099930,158L,KM509_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099931,159R,KM509_gp159,-,-,-,-,lipid membrane protein,protein-coding,-,-,-,lipid membrane protein,20210607,-
2039780,65099932,160R,KM509_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099933,161R,KM509_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099934,162R,KM509_gp162,-,-,-,-,putative PPE family PPE16-like protein,protein-coding,-,-,-,putative PPE family PPE16-like protein,20210607,-
2039780,65099935,163R,KM509_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099936,164R,KM509_gp164,-,-,-,-,Appr-1-p processing protein,protein-coding,-,-,-,Appr-1-p processing protein,20210607,-
2039780,65099937,165L,KM509_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099938,166L,KM509_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099939,167R,KM509_gp167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099940,168L,KM509_gp168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099941,169R,KM509_gp169,-,-,-,-,myristylated membrane,protein-coding,-,-,-,myristylated membrane,20210607,-
2039780,65099942,170R,KM509_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65099943,1R,KM509_gp001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2039780,65242648,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
