#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1552735,23681205,VC66_gp02,VC66_gp02,LDL_002,-,-,-,DNA repair protein family protein,protein-coding,-,-,-,DNA repair protein family protein,20201221,-
1552735,23681223,VC66_gp20,VC66_gp20,LDL_020,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1552735,23681224,VC66_gp21,VC66_gp21,LDL_021,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1552735,23681225,VC66_gp22,VC66_gp22,LDL_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681226,VC66_gp23,VC66_gp23,LDL_023,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1552735,23681227,VC66_gp24,VC66_gp24,LDL_024,-,-,-,distal tail protein,protein-coding,-,-,-,distal tail protein,20201221,-
1552735,23681228,VC66_gp25,VC66_gp25,LDL_025,-,-,-,baseplate protein tal-like protein,protein-coding,-,-,-,baseplate protein tal-like protein,20201221,-
1552735,23681229,VC66_gp26,VC66_gp26,LDL_026,-,-,-,adsorption protein,protein-coding,-,-,-,adsorption protein,20201221,-
1552735,23681230,VC66_gp27,VC66_gp27,LDL_027,-,-,-,adsorption protein,protein-coding,-,-,-,adsorption protein,20201221,-
1552735,23681231,VC66_gp28,VC66_gp28,LDL_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681232,VC66_gp29,VC66_gp29,LDL_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681233,VC66_gp30,VC66_gp30,LDL_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681234,VC66_gp31,VC66_gp31,LDL_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681235,VC66_gp32,VC66_gp32,LDL_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681236,VC66_gp33,VC66_gp33,LDL_033,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1552735,23681237,VC66_gp34,VC66_gp34,LDL_034,-,-,-,lysin,protein-coding,-,-,-,lysin,20201221,-
1552735,23681238,VC66_gp35,VC66_gp35,LDL_035,-,-,-,recombinase/integrase,protein-coding,-,-,-,recombinase/integrase,20201221,-
1552735,23681239,VC66_gp36,VC66_gp36,LDL_036,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1552735,23681240,VC66_gp37,VC66_gp37,LDL_037,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1552735,23681241,VC66_gp38,VC66_gp38,LDL_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681242,VC66_gp39,VC66_gp39,LDL_039,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1552735,23681243,VC66_gp40,VC66_gp40,LDL_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681244,VC66_gp41,VC66_gp41,LDL_041,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201221,-
1552735,23681245,VC66_gp42,VC66_gp42,LDL_042,-,-,-,extracellular transglycosylase,protein-coding,-,-,-,extracellular transglycosylase,20201221,-
1552735,23681246,VC66_gp43,VC66_gp43,LDL_043,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1552735,23681247,VC66_gp44,VC66_gp44,LDL_044,-,-,-,growth inhibitor,protein-coding,-,-,-,growth inhibitor,20201221,-
1552735,23681248,VC66_gp45,VC66_gp45,LDL_045,-,-,-,single-stranded-DNA-specific exonuclease,protein-coding,-,-,-,single-stranded-DNA-specific exonuclease,20201221,-
1552735,23681249,VC66_gp46,VC66_gp46,LDL_046,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1552735,23681250,VC66_gp47,VC66_gp47,LDL_047,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20201221,-
1552735,23681251,VC66_gp48,VC66_gp48,LDL_048,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201221,-
1552735,23681252,VC66_gp49,VC66_gp49,LDL_049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681253,VC66_gp50,VC66_gp50,LDL_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681254,VC66_gp51,VC66_gp51,LDL_051,-,-,-,deoxynucleoside kinase,protein-coding,-,-,-,deoxynucleoside kinase,20201221,-
1552735,23681255,VC66_gp52,VC66_gp52,LDL_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681256,VC66_gp53,VC66_gp53,LDL_053,-,-,-,phosphatidylglycerophosphatase A,protein-coding,-,-,-,phosphatidylglycerophosphatase A,20201221,-
1552735,23681257,VC66_gp54,VC66_gp54,LDL_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681258,VC66_gp55,VC66_gp55,LDL_055,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1552735,23681259,VC66_gp56,VC66_gp56,LDL_056,-,-,-,ATP binding cassette transporter,protein-coding,-,-,-,ATP binding cassette transporter,20201221,-
1552735,23681260,VC66_gp57,VC66_gp57,LDL_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681261,VC66_gp58,VC66_gp58,LDL_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681262,VC66_gp59,VC66_gp59,LDL_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681263,VC66_gp60,VC66_gp60,LDL_060,-,-,-,nucleoside deoxyribosyltransferase,protein-coding,-,-,-,nucleoside deoxyribosyltransferase,20201221,-
1552735,23681264,VC66_gp61,VC66_gp61,LDL_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681265,VC66_gp62,VC66_gp62,LDL_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681266,VC66_gp63,VC66_gp63,LDL_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681267,VC66_gp64,VC66_gp64,LDL_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681268,VC66_gp65,VC66_gp65,LDL_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681269,VC66_gp66,VC66_gp66,LDL_066,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1552735,23681270,VC66_gp67,VC66_gp67,LDL_067,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1552735,23681271,VC66_gp68,VC66_gp68,LDL_068,-,-,-,ATP GTP binding protein,protein-coding,-,-,-,ATP GTP binding protein,20201221,-
1552735,23681272,VC66_gp69,VC66_gp69,LDL_069,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1552735,23681273,VC66_gp70,VC66_gp70,LDL_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681274,VC66_gp71,VC66_gp71,LDL_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681275,VC66_gp72,VC66_gp72,LDL_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681276,VC66_gp73,VC66_gp73,LDL_073,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1552735,23681277,VC66_gp74,VC66_gp74,LDL_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681278,VC66_gp75,VC66_gp75,LDL_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23681279,VC66_gp76,VC66_gp76,LDL_076,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1552735,23681280,VC66_gp77,VC66_gp77,LDL_077,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1552735,23681281,VC66_gp78,VC66_gp78,LDL_078,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1552735,23681282,VC66_gp79,VC66_gp79,LDL_079,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20201221,-
1552735,23681283,VC66_gp01,VC66_gp01,LDL_001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1552735,23711145,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200516,-
