#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2801574,62682281,sppA,JT349_gp02,COFMJEFH_00002,-,-,-,putative signal peptide peptidase,protein-coding,-,-,-,putative signal peptide peptidase,20210424,-
2801574,62682331,JT349_gp52,JT349_gp52,COFMJEFH_00052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682332,JT349_gp53,JT349_gp53,COFMJEFH_00053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682333,JT349_gp54,JT349_gp54,COFMJEFH_00054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682334,JT349_gp55,JT349_gp55,COFMJEFH_00055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682335,JT349_gp56,JT349_gp56,COFMJEFH_00056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682336,JT349_gp57,JT349_gp57,COFMJEFH_00057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682337,JT349_gp58,JT349_gp58,COFMJEFH_00058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2801574,62682338,JT349_gp59,JT349_gp59,COFMJEFH_00059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2801574,62682339,JT349_gp60,JT349_gp60,COFMJEFH_00060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682340,JT349_gp61,JT349_gp61,COFMJEFH_00061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682341,JT349_gp62,JT349_gp62,COFMJEFH_00062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2801574,62682342,JT349_gp63,JT349_gp63,COFMJEFH_00063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682343,smc,JT349_gp64,COFMJEFH_00064,-,-,-,chromosome partition protein,protein-coding,-,-,-,chromosome partition protein,20210424,-
2801574,62682344,JT349_gp65,JT349_gp65,COFMJEFH_00065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682345,JT349_gp66,JT349_gp66,COFMJEFH_00066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682346,JT349_gp67,JT349_gp67,COFMJEFH_00067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682347,JT349_gp68,JT349_gp68,COFMJEFH_00068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682348,JT349_gp69,JT349_gp69,COFMJEFH_00069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682349,JT349_gp70,JT349_gp70,COFMJEFH_00070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2801574,62682350,JT349_gp71,JT349_gp71,COFMJEFH_00071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2801574,62682351,JT349_gp01,JT349_gp01,COFMJEFH_00001,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210605,-
2801574,62755371,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage ER6).,other,-,-,-,-,20210306,-
