#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2599838,55813765,2,HYQ00_gp02,PBI_TRIPLEJ_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200704,-
2599838,55813823,60,HYQ00_gp60,PBI_TRIPLEJ_60,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201217,-
2599838,55813824,61,HYQ00_gp61,PBI_TRIPLEJ_61,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201217,-
2599838,55813825,62,HYQ00_gp62,PBI_TRIPLEJ_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813826,63,HYQ00_gp63,PBI_TRIPLEJ_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813827,64,HYQ00_gp64,PBI_TRIPLEJ_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813828,65,HYQ00_gp65,PBI_TRIPLEJ_65,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200704,-
2599838,55813829,66,HYQ00_gp66,PBI_TRIPLEJ_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813830,67,HYQ00_gp67,PBI_TRIPLEJ_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813831,68,HYQ00_gp68,PBI_TRIPLEJ_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813832,69,HYQ00_gp69,PBI_TRIPLEJ_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813833,70,HYQ00_gp70,PBI_TRIPLEJ_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813834,71,HYQ00_gp71,PBI_TRIPLEJ_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813835,72,HYQ00_gp72,PBI_TRIPLEJ_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813836,73,HYQ00_gp73,PBI_TRIPLEJ_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813837,74,HYQ00_gp74,PBI_TRIPLEJ_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813838,75,HYQ00_gp75,PBI_TRIPLEJ_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813839,76,HYQ00_gp76,PBI_TRIPLEJ_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813840,77,HYQ00_gp77,PBI_TRIPLEJ_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813841,78,HYQ00_gp78,PBI_TRIPLEJ_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813842,79,HYQ00_gp79,PBI_TRIPLEJ_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813843,80,HYQ00_gp80,PBI_TRIPLEJ_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813844,81,HYQ00_gp81,PBI_TRIPLEJ_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2599838,55813845,82,HYQ00_gp82,PBI_TRIPLEJ_82,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2599838,55813846,1,HYQ00_gp01,PBI_TRIPLEJ_1,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2599838,55863598,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
