#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419756,64469035,KGB40_gp02,KGB40_gp02,Segz_2,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20210502,-
2419756,64469057,KGB40_gp24,KGB40_gp24,Segz_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469058,KGB40_gp25,KGB40_gp25,Segz_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469059,KGB40_gp26,KGB40_gp26,Segz_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469060,KGB40_gp27,KGB40_gp27,Segz_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469061,KGB40_gp28,KGB40_gp28,Segz_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469062,KGB40_gp29,KGB40_gp29,Segz_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469063,KGB40_gp30,KGB40_gp30,Segz_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469064,KGB40_gp31,KGB40_gp31,Segz_31,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210502,-
2419756,64469065,KGB40_gp32,KGB40_gp32,Segz_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469066,KGB40_gp33,KGB40_gp33,Segz_33,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20210502,-
2419756,64469067,KGB40_gp34,KGB40_gp34,Segz_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469068,KGB40_gp35,KGB40_gp35,Segz_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469069,KGB40_gp36,KGB40_gp36,Segz_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469070,KGB40_gp37,KGB40_gp37,Segz_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469071,KGB40_gp38,KGB40_gp38,Segz_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469072,KGB40_gp39,KGB40_gp39,Segz_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469073,KGB40_gp40,KGB40_gp40,Segz_40,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210502,-
2419756,64469074,KGB40_gp41,KGB40_gp41,Segz_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469075,KGB40_gp42,KGB40_gp42,Segz_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469076,KGB40_gp43,KGB40_gp43,Segz_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469077,KGB40_gp44,KGB40_gp44,Segz_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469078,KGB40_gp45,KGB40_gp45,Segz_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469079,KGB40_gp46,KGB40_gp46,Segz_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469080,KGB40_gp47,KGB40_gp47,Segz_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469081,KGB40_gp48,KGB40_gp48,Segz_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469082,KGB40_gp49,KGB40_gp49,Segz_49,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20210502,-
2419756,64469083,KGB40_gp50,KGB40_gp50,Segz_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469084,KGB40_gp51,KGB40_gp51,Segz_51,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210502,-
2419756,64469085,KGB40_gp52,KGB40_gp52,Segz_52,-,-,-,bacterial type single-stranded DNA-binding protein,protein-coding,-,-,-,bacterial type single-stranded DNA-binding protein,20210502,-
2419756,64469086,KGB40_gp53,KGB40_gp53,Segz_53,-,-,-,putative recombination protein,protein-coding,-,-,-,putative recombination protein,20210502,-
2419756,64469087,KGB40_gp54,KGB40_gp54,Segz_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469088,KGB40_gp55,KGB40_gp55,Segz_55,-,-,-,-,other,-,-,-,-,20210502,-
2419756,64469089,KGB40_gp56,KGB40_gp56,Segz_56,-,-,-,helicase,protein-coding,-,-,-,helicase,20210502,-
2419756,64469090,KGB40_gp57,KGB40_gp57,Segz_57,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20210502,-
2419756,64469091,KGB40_gp58,KGB40_gp58,Segz_58,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20210502,-
2419756,64469092,KGB40_gp59,KGB40_gp59,Segz_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469093,KGB40_gp60,KGB40_gp60,Segz_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469094,KGB40_gp61,KGB40_gp61,Segz_61,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210502,-
2419756,64469095,KGB40_gp62,KGB40_gp62,Segz_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469096,KGB40_gp63,KGB40_gp63,Segz_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469097,KGB40_gp64,KGB40_gp64,Segz_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469098,KGB40_gp65,KGB40_gp65,Segz_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469099,KGB40_gp66,KGB40_gp66,Segz_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469100,KGB40_gp67,KGB40_gp67,Segz_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469101,KGB40_gp68,KGB40_gp68,Segz_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469102,KGB40_gp69,KGB40_gp69,Segz_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469103,KGB40_gp70,KGB40_gp70,Segz_70,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210502,-
2419756,64469104,KGB40_gp71,KGB40_gp71,Segz_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469105,KGB40_gp72,KGB40_gp72,Segz_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469106,KGB40_gp73,KGB40_gp73,Segz_73,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20210502,-
2419756,64469107,KGB40_gp74,KGB40_gp74,Segz_74,-,-,-,putative head assembly protein,protein-coding,-,-,-,putative head assembly protein,20210502,-
2419756,64469108,KGB40_gp75,KGB40_gp75,Segz_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469109,KGB40_gp76,KGB40_gp76,Segz_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419756,64469110,KGB40_gp77,KGB40_gp77,Segz_77,-,-,-,-,other,-,-,-,-,20210502,-
2419756,64469111,KGB40_gp01,KGB40_gp01,Segz_1,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20210502,-
2419756,64470449,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210503,-
