#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
877240,10351221,ssb,AV949_gp06,-,-,-,-,single-stranded binding protein,protein-coding,-,-,-,single-stranded binding protein,20201220,-
877240,10379900,AV949_gp46,AV949_gp46,-,-,-,-,phage structural protein,protein-coding,-,-,-,phage structural protein,20201220,-
877240,10379901,AV949_gp37,AV949_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379902,AV949_gp31,AV949_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379903,AV949_gp29,AV949_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379904,AV949_gp38,AV949_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379905,AV949_gp44,AV949_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379906,AV949_gp21,AV949_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379907,AV949_gp28,AV949_gp28,-,-,-,-,conserved phage structural protein,protein-coding,-,-,-,conserved phage structural protein,20201220,-
877240,10379908,AV949_gp05,AV949_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379909,AV949_gp50,AV949_gp50,-,-,-,-,carboxypeptidase,protein-coding,-,-,-,carboxypeptidase,20201220,-
877240,10379910,AV949_gp23,AV949_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379911,AV949_gp22,AV949_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379912,AV949_gp04,AV949_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379913,AV949_gp42,AV949_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379914,AV949_gp13,AV949_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379915,AV949_gp33,AV949_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379916,AV949_gp32,AV949_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379917,AV949_gp40,AV949_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379918,AV949_gp30,AV949_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379919,AV949_gp45,AV949_gp45,-,-,-,-,phage tail fiber adhesin,protein-coding,-,-,-,phage tail fiber adhesin,20201220,-
877240,10379920,AV949_gp39,AV949_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379921,AV949_gp09,AV949_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379922,AV949_gp07,AV949_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379923,AV949_gp51,AV949_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379924,AV949_gp34,AV949_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379925,AV949_gp16,AV949_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379926,AV949_gp48,AV949_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379927,AV949_gp27,AV949_gp27,-,-,-,-,phage minor structural protein,protein-coding,-,-,-,phage minor structural protein,20201220,-
877240,10379928,AV949_gp02,AV949_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379929,AV949_gp12,AV949_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379930,AV949_gp24,AV949_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379931,AV949_gp15,AV949_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379932,AV949_gp25,AV949_gp25,-,-,-,-,adenine-specific DNA methyltransferase,protein-coding,-,-,-,adenine-specific DNA methyltransferase,20201220,-
877240,10379933,AV949_gp03,AV949_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10379934,AV949_gp41,AV949_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
877240,10415116,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
