#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301563,60327966,2,I5H32_gp002,SEA_ELEANORGEORGE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2301563,60327990,26,I5H32_gp026,SEA_ELEANORGEORGE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327991,27,I5H32_gp027,SEA_ELEANORGEORGE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327992,28,I5H32_gp028,SEA_ELEANORGEORGE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327993,29,I5H32_gp029,SEA_ELEANORGEORGE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327994,30,I5H32_gp030,SEA_ELEANORGEORGE_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2301563,60327995,31,I5H32_gp031,SEA_ELEANORGEORGE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60327996,32,I5H32_gp032,SEA_ELEANORGEORGE_32,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2301563,60327997,33,I5H32_gp033,SEA_ELEANORGEORGE_33,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2301563,60327998,34,I5H32_gp034,SEA_ELEANORGEORGE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301563,60327999,35,I5H32_gp035,SEA_ELEANORGEORGE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328000,36,I5H32_gp036,SEA_ELEANORGEORGE_36,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201129,-
2301563,60328001,37,I5H32_gp037,SEA_ELEANORGEORGE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328002,38,I5H32_gp038,SEA_ELEANORGEORGE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328003,39,I5H32_gp039,SEA_ELEANORGEORGE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328004,40,I5H32_gp040,SEA_ELEANORGEORGE_40,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2301563,60328005,41,I5H32_gp041,SEA_ELEANORGEORGE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328006,42,I5H32_gp042,SEA_ELEANORGEORGE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328007,43,I5H32_gp043,SEA_ELEANORGEORGE_43,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2301563,60328008,44,I5H32_gp044,SEA_ELEANORGEORGE_44,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210417,-
2301563,60328009,45,I5H32_gp045,SEA_ELEANORGEORGE_45,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2301563,60328010,46,I5H32_gp046,SEA_ELEANORGEORGE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328011,47,I5H32_gp047,SEA_ELEANORGEORGE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328012,48,I5H32_gp048,SEA_ELEANORGEORGE_48,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
2301563,60328013,49,I5H32_gp049,SEA_ELEANORGEORGE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328014,50,I5H32_gp050,SEA_ELEANORGEORGE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328015,51,I5H32_gp051,SEA_ELEANORGEORGE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328016,52,I5H32_gp052,SEA_ELEANORGEORGE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328017,53,I5H32_gp053,SEA_ELEANORGEORGE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328018,54,I5H32_gp054,SEA_ELEANORGEORGE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328019,55,I5H32_gp055,SEA_ELEANORGEORGE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328020,56,I5H32_gp056,SEA_ELEANORGEORGE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328021,57,I5H32_gp057,SEA_ELEANORGEORGE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301563,60328022,58,I5H32_gp058,SEA_ELEANORGEORGE_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301563,60328023,59,I5H32_gp059,SEA_ELEANORGEORGE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301563,60328024,60,I5H32_gp060,SEA_ELEANORGEORGE_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301563,60328025,61,I5H32_gp061,SEA_ELEANORGEORGE_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2301563,60328026,62,I5H32_gp062,SEA_ELEANORGEORGE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328027,63,I5H32_gp063,SEA_ELEANORGEORGE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328028,64,I5H32_gp064,SEA_ELEANORGEORGE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328029,65,I5H32_gp065,SEA_ELEANORGEORGE_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2301563,60328030,66,I5H32_gp066,SEA_ELEANORGEORGE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2301563,60328031,67,I5H32_gp067,SEA_ELEANORGEORGE_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2301563,60328032,68,I5H32_gp068,SEA_ELEANORGEORGE_68,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301563,60328033,69,I5H32_gp069,SEA_ELEANORGEORGE_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301563,60328034,70,I5H32_gp070,SEA_ELEANORGEORGE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301563,60328035,71,I5H32_gp071,SEA_ELEANORGEORGE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328036,72,I5H32_gp072,SEA_ELEANORGEORGE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328037,73,I5H32_gp073,SEA_ELEANORGEORGE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328038,74,I5H32_gp074,SEA_ELEANORGEORGE_74,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301563,60328039,75,I5H32_gp075,SEA_ELEANORGEORGE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328040,76,I5H32_gp076,SEA_ELEANORGEORGE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328041,77,I5H32_gp077,SEA_ELEANORGEORGE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328042,78,I5H32_gp078,SEA_ELEANORGEORGE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328043,79,I5H32_gp079,SEA_ELEANORGEORGE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328044,80,I5H32_gp080,SEA_ELEANORGEORGE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328045,81,I5H32_gp081,SEA_ELEANORGEORGE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328046,82,I5H32_gp082,SEA_ELEANORGEORGE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328047,83,I5H32_gp083,SEA_ELEANORGEORGE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328048,84,I5H32_gp084,SEA_ELEANORGEORGE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328049,85,I5H32_gp085,SEA_ELEANORGEORGE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328050,86,I5H32_gp086,SEA_ELEANORGEORGE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301563,60328051,87,I5H32_gp087,SEA_ELEANORGEORGE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328052,88,I5H32_gp088,SEA_ELEANORGEORGE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328053,89,I5H32_gp089,SEA_ELEANORGEORGE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328054,90,I5H32_gp090,SEA_ELEANORGEORGE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328055,91,I5H32_gp091,SEA_ELEANORGEORGE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328056,92,I5H32_gp092,SEA_ELEANORGEORGE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328057,93,I5H32_gp093,SEA_ELEANORGEORGE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328058,94,I5H32_gp094,SEA_ELEANORGEORGE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328059,95,I5H32_gp095,SEA_ELEANORGEORGE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328060,96,I5H32_gp096,SEA_ELEANORGEORGE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328061,97,I5H32_gp097,SEA_ELEANORGEORGE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328062,98,I5H32_gp098,SEA_ELEANORGEORGE_98,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2301563,60328063,99,I5H32_gp099,SEA_ELEANORGEORGE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328064,100,I5H32_gp100,SEA_ELEANORGEORGE_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328065,101,I5H32_gp101,SEA_ELEANORGEORGE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328066,102,I5H32_gp102,SEA_ELEANORGEORGE_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328067,103,I5H32_gp103,SEA_ELEANORGEORGE_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328068,104,I5H32_gp104,SEA_ELEANORGEORGE_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328069,105,I5H32_gp105,SEA_ELEANORGEORGE_105,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301563,60328070,106,I5H32_gp106,SEA_ELEANORGEORGE_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301563,60328071,107,I5H32_gp107,SEA_ELEANORGEORGE_107,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301563,60328072,108,I5H32_gp108,SEA_ELEANORGEORGE_108,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2301563,60328073,1,I5H32_gp001,SEA_ELEANORGEORGE_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301563,60338699,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
