#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2801895,65133296,2,KNV76_gp002,SEA_OHSHAGHENNESSY_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2801895,65133308,15,KNV76_gp014,SEA_OHSHAGHENNESSY_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2801895,65133309,16,KNV76_gp016,SEA_OHSHAGHENNESSY_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2801895,65133310,14,KNV76_gp015,SEA_OHSHAGHENNESSY_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2801895,65133311,17,KNV76_gp017,SEA_OHSHAGHENNESSY_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2801895,65133312,18,KNV76_gp018,SEA_OHSHAGHENNESSY_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2801895,65133313,19,KNV76_gp019,SEA_OHSHAGHENNESSY_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2801895,65133314,20,KNV76_gp020,SEA_OHSHAGHENNESSY_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2801895,65133315,21,KNV76_gp021,SEA_OHSHAGHENNESSY_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2801895,65133316,22,KNV76_gp022,SEA_OHSHAGHENNESSY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133317,23,KNV76_gp023,SEA_OHSHAGHENNESSY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133318,24,KNV76_gp024,SEA_OHSHAGHENNESSY_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133319,25,KNV76_gp025,SEA_OHSHAGHENNESSY_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2801895,65133320,26,KNV76_gp026,SEA_OHSHAGHENNESSY_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2801895,65133321,27,KNV76_gp027,SEA_OHSHAGHENNESSY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133322,28,KNV76_gp028,SEA_OHSHAGHENNESSY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133323,29,KNV76_gp029,SEA_OHSHAGHENNESSY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133324,30,KNV76_gp030,SEA_OHSHAGHENNESSY_30,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210608,-
2801895,65133325,31,KNV76_gp031,SEA_OHSHAGHENNESSY_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133326,32,KNV76_gp032,SEA_OHSHAGHENNESSY_32,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210608,-
2801895,65133327,33,KNV76_gp033,SEA_OHSHAGHENNESSY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133328,34,KNV76_gp034,SEA_OHSHAGHENNESSY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133329,35,KNV76_gp035,SEA_OHSHAGHENNESSY_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210608,-
2801895,65133330,36,KNV76_gp036,SEA_OHSHAGHENNESSY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133331,37,KNV76_gp037,SEA_OHSHAGHENNESSY_37,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210608,-
2801895,65133332,38,KNV76_gp038,SEA_OHSHAGHENNESSY_38,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210608,-
2801895,65133333,39,KNV76_gp039,SEA_OHSHAGHENNESSY_39,-,-,-,excise,protein-coding,-,-,-,excise,20210608,-
2801895,65133334,40,KNV76_gp040,SEA_OHSHAGHENNESSY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133335,41,KNV76_gp041,SEA_OHSHAGHENNESSY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133336,42,KNV76_gp042,SEA_OHSHAGHENNESSY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133337,43,KNV76_gp043,SEA_OHSHAGHENNESSY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133338,44,KNV76_gp044,SEA_OHSHAGHENNESSY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133339,45,KNV76_gp045,SEA_OHSHAGHENNESSY_45,-,-,-,esterase,protein-coding,-,-,-,esterase,20210608,-
2801895,65133340,46,KNV76_gp046,SEA_OHSHAGHENNESSY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133341,47,KNV76_gp047,SEA_OHSHAGHENNESSY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133342,48,KNV76_gp048,SEA_OHSHAGHENNESSY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133343,49,KNV76_gp049,SEA_OHSHAGHENNESSY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133344,50,KNV76_gp050,SEA_OHSHAGHENNESSY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133345,51,KNV76_gp051,SEA_OHSHAGHENNESSY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133346,52,KNV76_gp052,SEA_OHSHAGHENNESSY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133347,53,KNV76_gp053,SEA_OHSHAGHENNESSY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133348,54,KNV76_gp054,SEA_OHSHAGHENNESSY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133349,55,KNV76_gp055,SEA_OHSHAGHENNESSY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133350,56,KNV76_gp056,SEA_OHSHAGHENNESSY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133351,57,KNV76_gp057,SEA_OHSHAGHENNESSY_57,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210608,-
2801895,65133352,58,KNV76_gp058,SEA_OHSHAGHENNESSY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133353,59,KNV76_gp059,SEA_OHSHAGHENNESSY_59,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210608,-
2801895,65133354,60,KNV76_gp060,SEA_OHSHAGHENNESSY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133355,61,KNV76_gp061,SEA_OHSHAGHENNESSY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133356,62,KNV76_gp062,SEA_OHSHAGHENNESSY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133357,63,KNV76_gp063,SEA_OHSHAGHENNESSY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133358,64,KNV76_gp064,SEA_OHSHAGHENNESSY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133359,65,KNV76_gp065,SEA_OHSHAGHENNESSY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133360,66,KNV76_gp066,SEA_OHSHAGHENNESSY_66,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210608,-
2801895,65133361,67,KNV76_gp067,SEA_OHSHAGHENNESSY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133362,68,KNV76_gp068,SEA_OHSHAGHENNESSY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133363,69,KNV76_gp069,SEA_OHSHAGHENNESSY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133364,70,KNV76_gp070,SEA_OHSHAGHENNESSY_70,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210608,-
2801895,65133365,71,KNV76_gp071,SEA_OHSHAGHENNESSY_71,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210608,-
2801895,65133366,72,KNV76_gp072,SEA_OHSHAGHENNESSY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133367,73,KNV76_gp073,SEA_OHSHAGHENNESSY_73,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210608,-
2801895,65133368,74,KNV76_gp074,SEA_OHSHAGHENNESSY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133369,75,KNV76_gp075,SEA_OHSHAGHENNESSY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133370,76,KNV76_gp076,SEA_OHSHAGHENNESSY_76,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210608,-
2801895,65133371,77,KNV76_gp077,SEA_OHSHAGHENNESSY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133372,78,KNV76_gp078,SEA_OHSHAGHENNESSY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133373,79,KNV76_gp079,SEA_OHSHAGHENNESSY_79,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210608,-
2801895,65133374,80,KNV76_gp080,SEA_OHSHAGHENNESSY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133375,81,KNV76_gp081,SEA_OHSHAGHENNESSY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133376,82,KNV76_gp082,SEA_OHSHAGHENNESSY_82,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
2801895,65133377,83,KNV76_gp083,SEA_OHSHAGHENNESSY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133378,84,KNV76_gp084,SEA_OHSHAGHENNESSY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133379,85,KNV76_gp085,SEA_OHSHAGHENNESSY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133380,86,KNV76_gp086,SEA_OHSHAGHENNESSY_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133381,87,KNV76_gp087,SEA_OHSHAGHENNESSY_87,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2801895,65133382,88,KNV76_gp088,SEA_OHSHAGHENNESSY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133383,89,KNV76_gp089,SEA_OHSHAGHENNESSY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133384,90,KNV76_gp090,SEA_OHSHAGHENNESSY_90,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210608,-
2801895,65133385,91,KNV76_gp091,SEA_OHSHAGHENNESSY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133386,92,KNV76_gp092,SEA_OHSHAGHENNESSY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133387,93,KNV76_gp093,SEA_OHSHAGHENNESSY_93,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210608,-
2801895,65133388,94,KNV76_gp094,SEA_OHSHAGHENNESSY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133389,95,KNV76_gp095,SEA_OHSHAGHENNESSY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133390,96,KNV76_gp096,SEA_OHSHAGHENNESSY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133391,97,KNV76_gp097,SEA_OHSHAGHENNESSY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133392,98,KNV76_gt001,SEA_OHSHAGHENNESSY_98,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133393,99,KNV76_gt002,SEA_OHSHAGHENNESSY_99,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133394,100,KNV76_gp118,SEA_OHSHAGHENNESSY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133395,101,KNV76_gt003,SEA_OHSHAGHENNESSY_101,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133396,102,KNV76_gt004,SEA_OHSHAGHENNESSY_102,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133397,103,KNV76_gt005,SEA_OHSHAGHENNESSY_103,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133398,104,KNV76_gt006,SEA_OHSHAGHENNESSY_104,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133399,105,KNV76_gp117,SEA_OHSHAGHENNESSY_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133400,106,KNV76_gp116,SEA_OHSHAGHENNESSY_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133401,107,KNV76_gt007,SEA_OHSHAGHENNESSY_107,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2801895,65133402,108,KNV76_gp115,SEA_OHSHAGHENNESSY_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133403,1,KNV76_gp001,SEA_OHSHAGHENNESSY_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133404,110,KNV76_gp113,SEA_OHSHAGHENNESSY_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133405,111,KNV76_gp112,SEA_OHSHAGHENNESSY_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133406,112,KNV76_gp111,SEA_OHSHAGHENNESSY_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133407,113,KNV76_gp110,SEA_OHSHAGHENNESSY_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133408,114,KNV76_gp109,SEA_OHSHAGHENNESSY_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133409,115,KNV76_gp108,SEA_OHSHAGHENNESSY_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133410,116,KNV76_gp107,SEA_OHSHAGHENNESSY_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133411,118,KNV76_gp105,SEA_OHSHAGHENNESSY_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133412,119,KNV76_gp104,SEA_OHSHAGHENNESSY_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133413,120,KNV76_gp103,SEA_OHSHAGHENNESSY_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133414,121,KNV76_gp102,SEA_OHSHAGHENNESSY_121,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210608,-
2801895,65133415,122,KNV76_gp101,SEA_OHSHAGHENNESSY_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133416,123,KNV76_gp100,SEA_OHSHAGHENNESSY_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133417,124,KNV76_gp099,SEA_OHSHAGHENNESSY_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133418,125,KNV76_gp098,SEA_OHSHAGHENNESSY_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133419,109,KNV76_gp114,SEA_OHSHAGHENNESSY_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65133420,117,KNV76_gp106,SEA_OHSHAGHENNESSY_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2801895,65243606,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
