#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1673877,26634811,SEA_AMELA_2,SEA_AMELA_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1673877,26634824,SEA_AMELA_15,SEA_AMELA_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634825,SEA_AMELA_17,SEA_AMELA_17,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1673877,26634826,SEA_AMELA_18,SEA_AMELA_18,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20201221,-
1673877,26634827,SEA_AMELA_16,SEA_AMELA_16,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1673877,26634828,SEA_AMELA_19,SEA_AMELA_19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634829,SEA_AMELA_20,SEA_AMELA_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634830,SEA_AMELA_21,SEA_AMELA_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634831,SEA_AMELA_22,SEA_AMELA_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634832,SEA_AMELA_23,SEA_AMELA_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634833,SEA_AMELA_24,SEA_AMELA_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634834,SEA_AMELA_25,SEA_AMELA_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634835,SEA_AMELA_26,SEA_AMELA_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634836,SEA_AMELA_27,SEA_AMELA_27,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20201221,-
1673877,26634837,SEA_AMELA_28,SEA_AMELA_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634838,SEA_AMELA_29,SEA_AMELA_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634839,SEA_AMELA_30,SEA_AMELA_30,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1673877,26634840,SEA_AMELA_31,SEA_AMELA_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634841,SEA_AMELA_32,SEA_AMELA_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634842,SEA_AMELA_33,SEA_AMELA_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634843,SEA_AMELA_34,SEA_AMELA_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634844,SEA_AMELA_35,SEA_AMELA_35,-,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20201221,-
1673877,26634845,SEA_AMELA_36,SEA_AMELA_36,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201221,-
1673877,26634846,SEA_AMELA_37,SEA_AMELA_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634847,SEA_AMELA_38,SEA_AMELA_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634848,SEA_AMELA_39,SEA_AMELA_39,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1673877,26634849,SEA_AMELA_40,SEA_AMELA_40,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1673877,26634850,SEA_AMELA_41,SEA_AMELA_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634851,SEA_AMELA_42,SEA_AMELA_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634852,SEA_AMELA_43,SEA_AMELA_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634853,SEA_AMELA_44,SEA_AMELA_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634854,SEA_AMELA_45,SEA_AMELA_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634855,SEA_AMELA_46,SEA_AMELA_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634856,SEA_AMELA_47,SEA_AMELA_47,-,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201221,-
1673877,26634857,SEA_AMELA_48,SEA_AMELA_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634858,SEA_AMELA_49,SEA_AMELA_49,-,-,-,-,Lsr2-like protein,protein-coding,-,-,-,Lsr2-like protein,20201221,-
1673877,26634859,SEA_AMELA_50,SEA_AMELA_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634860,SEA_AMELA_51,SEA_AMELA_51,-,-,-,-,serine integrase,protein-coding,-,-,-,serine integrase,20201221,-
1673877,26634861,SEA_AMELA_52,SEA_AMELA_52,-,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20201221,-
1673877,26634862,SEA_AMELA_53,SEA_AMELA_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634863,SEA_AMELA_54,SEA_AMELA_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634864,SEA_AMELA_55,SEA_AMELA_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634865,SEA_AMELA_56,SEA_AMELA_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634866,SEA_AMELA_57,SEA_AMELA_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634867,SEA_AMELA_58,SEA_AMELA_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634868,SEA_AMELA_59,SEA_AMELA_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634869,SEA_AMELA_60,SEA_AMELA_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634870,SEA_AMELA_61,SEA_AMELA_61,-,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20201221,-
1673877,26634871,SEA_AMELA_62,SEA_AMELA_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634872,SEA_AMELA_63,SEA_AMELA_63,-,-,-,-,HNH domain protein,protein-coding,-,-,-,HNH domain protein,20201221,-
1673877,26634873,SEA_AMELA_64,SEA_AMELA_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634874,SEA_AMELA_65,SEA_AMELA_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634875,SEA_AMELA_66,SEA_AMELA_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634876,SEA_AMELA_67,SEA_AMELA_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634877,SEA_AMELA_68,SEA_AMELA_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634878,SEA_AMELA_69,SEA_AMELA_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634879,SEA_AMELA_70,SEA_AMELA_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634880,SEA_AMELA_71,SEA_AMELA_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634881,SEA_AMELA_72,SEA_AMELA_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634882,SEA_AMELA_73,SEA_AMELA_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634883,SEA_AMELA_74,SEA_AMELA_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634884,SEA_AMELA_75,SEA_AMELA_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26634885,SEA_AMELA_1,SEA_AMELA_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1673877,26680863,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
