#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448311,37205778,BO88DRAFT_100227,BO88DRAFT_100227,-,-,Unknown,-,prenyltransferase,protein-coding,-,-,-,prenyltransferase,20200919,-
1448311,37205867,BO88DRAFT_111937,BO88DRAFT_111937,-,-,Unknown,-,fatty acid synthase beta subunit,protein-coding,-,-,-,fatty acid synthase beta subunit,20210424,-
1448311,37205868,BO88DRAFT_112077,BO88DRAFT_112077,-,-,Unknown,-,histone-lysine N-methyltransferase,protein-coding,-,-,-,histone-lysine N-methyltransferase,20200919,-
1448311,37205869,BO88DRAFT_1126,BO88DRAFT_1126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205870,BO88DRAFT_112626,BO88DRAFT_112626,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205871,BO88DRAFT_112721,BO88DRAFT_112721,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205872,BO88DRAFT_112847,BO88DRAFT_112847,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205873,BO88DRAFT_112896,BO88DRAFT_112896,-,-,Unknown,-,allergen Asp F4-like protein,protein-coding,-,-,-,allergen Asp F4-like protein,20200919,-
1448311,37205874,BO88DRAFT_112958,BO88DRAFT_112958,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205875,BO88DRAFT_113107,BO88DRAFT_113107,-,-,Unknown,-,ankyrin,protein-coding,-,-,-,ankyrin,20200919,-
1448311,37205876,BO88DRAFT_113140,BO88DRAFT_113140,-,-,Unknown,-,short-chain dehydrogenase,protein-coding,-,-,-,short-chain dehydrogenase,20200919,-
1448311,37205877,BO88DRAFT_113141,BO88DRAFT_113141,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205878,BO88DRAFT_113327,BO88DRAFT_113327,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205879,BO88DRAFT_113369,BO88DRAFT_113369,-,-,Unknown,-,"alpha,alpha-trehalose glucohydrolase TreA/Ath1",protein-coding,-,-,-,"alpha,alpha-trehalose glucohydrolase TreA/Ath1",20200919,-
1448311,37205880,BO88DRAFT_113630,BO88DRAFT_113630,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20200919,-
1448311,37205881,BO88DRAFT_113751,BO88DRAFT_113751,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205882,BO88DRAFT_113831,BO88DRAFT_113831,-,-,Unknown,-,C6 zinc finger domain protein,protein-coding,-,-,-,C6 zinc finger domain protein,20200919,-
1448311,37205883,BO88DRAFT_113897,BO88DRAFT_113897,-,-,Unknown,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20200919,-
1448311,37205884,BO88DRAFT_113975,BO88DRAFT_113975,-,-,Unknown,-,thiamine pyrophosphokinase-related protein,protein-coding,-,-,-,thiamine pyrophosphokinase-related protein,20200919,-
1448311,37205885,BO88DRAFT_114221,BO88DRAFT_114221,-,-,Unknown,-,glial factor naturation factor,protein-coding,-,-,-,glial factor naturation factor,20200919,-
1448311,37205886,BO88DRAFT_114764,BO88DRAFT_114764,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205887,BO88DRAFT_114769,BO88DRAFT_114769,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205888,BO88DRAFT_114775,BO88DRAFT_114775,-,-,Unknown,-,6-phosphofructo-2-kinase 1,protein-coding,-,-,-,6-phosphofructo-2-kinase 1,20200919,-
1448311,37205889,BO88DRAFT_114849,BO88DRAFT_114849,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205890,BO88DRAFT_11508,BO88DRAFT_11508,-,-,Unknown,-,glutamate carboxypeptidase Tre2,protein-coding,-,-,-,glutamate carboxypeptidase Tre2,20200919,-
1448311,37205891,BO88DRAFT_115091,BO88DRAFT_115091,-,-,Unknown,-,export control protein CHS7-like protein,protein-coding,-,-,-,export control protein CHS7-like protein,20200919,-
1448311,37205892,BO88DRAFT_1152,BO88DRAFT_1152,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205893,BO88DRAFT_115260,BO88DRAFT_115260,-,-,Unknown,-,cyclin-dependent protein kinase regulator Pho80,protein-coding,-,-,-,cyclin-dependent protein kinase regulator Pho80,20200919,-
1448311,37205894,BO88DRAFT_11531,BO88DRAFT_11531,-,-,Unknown,-,DUF1765-domain-containing protein,protein-coding,-,-,-,DUF1765-domain-containing protein,20200919,-
1448311,37205895,BO88DRAFT_115313,BO88DRAFT_115313,-,-,Unknown,-,armadillo repeat protein,protein-coding,-,-,-,armadillo repeat protein,20200919,-
1448311,37205896,BO88DRAFT_115314,BO88DRAFT_115314,-,-,Unknown,-,Ketosamine-3-kinase,protein-coding,-,-,-,Ketosamine-3-kinase,20200919,-
1448311,37205897,BO88DRAFT_115336,BO88DRAFT_115336,-,-,Unknown,-,phosphatidate cytidylyltransferase,protein-coding,-,-,-,phosphatidate cytidylyltransferase,20210424,-
1448311,37205898,BO88DRAFT_115542,BO88DRAFT_115542,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205899,BO88DRAFT_115681,BO88DRAFT_115681,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205900,BO88DRAFT_115790,BO88DRAFT_115790,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205901,BO88DRAFT_115846,BO88DRAFT_115846,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205902,BO88DRAFT_115996,BO88DRAFT_115996,-,-,Unknown,-,40S ribosomal protein S8,protein-coding,-,-,-,40S ribosomal protein S8,20210424,-
1448311,37205903,BO88DRAFT_11603,BO88DRAFT_11603,-,-,Unknown,-,transcription initiation protein,protein-coding,-,-,-,transcription initiation protein,20200919,-
1448311,37205904,BO88DRAFT_116037,BO88DRAFT_116037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205905,BO88DRAFT_116137,BO88DRAFT_116137,-,-,Unknown,-,F-box domain protein,protein-coding,-,-,-,F-box domain protein,20200919,-
1448311,37205906,BO88DRAFT_116213,BO88DRAFT_116213,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205907,BO88DRAFT_116418,BO88DRAFT_116418,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205908,BO88DRAFT_116533,BO88DRAFT_116533,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20200919,-
1448311,37205909,BO88DRAFT_11676,BO88DRAFT_11676,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205910,BO88DRAFT_117174,BO88DRAFT_117174,-,-,Unknown,-,peptidase,protein-coding,-,-,-,peptidase,20200919,-
1448311,37205911,BO88DRAFT_117197,BO88DRAFT_117197,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205912,BO88DRAFT_11739,BO88DRAFT_11739,-,-,Unknown,-,cytosolic branched-chain amino acid aminotransferase,protein-coding,-,-,-,cytosolic branched-chain amino acid aminotransferase,20200919,-
1448311,37205913,BO88DRAFT_117472,BO88DRAFT_117472,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205914,BO88DRAFT_117473,BO88DRAFT_117473,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205915,BO88DRAFT_117489,BO88DRAFT_117489,-,-,Unknown,-,UvrD-helicase-domain-containing protein,protein-coding,-,-,-,UvrD-helicase-domain-containing protein,20200919,-
1448311,37205916,BO88DRAFT_117503,BO88DRAFT_117503,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205917,BO88DRAFT_117908,BO88DRAFT_117908,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205918,BO88DRAFT_1180,BO88DRAFT_1180,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205919,BO88DRAFT_118849,BO88DRAFT_118849,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205920,BO88DRAFT_118938,BO88DRAFT_118938,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205921,BO88DRAFT_118950,BO88DRAFT_118950,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205922,BO88DRAFT_119135,BO88DRAFT_119135,-,-,Unknown,-,C6 transcription factor,protein-coding,-,-,-,C6 transcription factor,20200919,-
1448311,37205923,BO88DRAFT_119157,BO88DRAFT_119157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205924,BO88DRAFT_119278,BO88DRAFT_119278,-,-,Unknown,-,polarized growth protein Boi2,protein-coding,-,-,-,polarized growth protein Boi2,20200919,-
1448311,37205925,BO88DRAFT_119695,BO88DRAFT_119695,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205926,BO88DRAFT_119696,BO88DRAFT_119696,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205927,BO88DRAFT_119988,BO88DRAFT_119988,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205928,BO88DRAFT_120078,BO88DRAFT_120078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205929,BO88DRAFT_120122,BO88DRAFT_120122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205930,BO88DRAFT_120585,BO88DRAFT_120585,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205931,BO88DRAFT_120958,BO88DRAFT_120958,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205932,BO88DRAFT_121353,BO88DRAFT_121353,-,-,Unknown,-,exocyst complex component Sec15,protein-coding,-,-,-,exocyst complex component Sec15,20200919,-
1448311,37205933,BO88DRAFT_121890,BO88DRAFT_121890,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205934,BO88DRAFT_122081,BO88DRAFT_122081,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205935,BO88DRAFT_12283,BO88DRAFT_12283,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205936,BO88DRAFT_123040,BO88DRAFT_123040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205937,BO88DRAFT_123078,BO88DRAFT_123078,-,-,Unknown,-,FH2-domain-containing protein,protein-coding,-,-,-,FH2-domain-containing protein,20200919,-
1448311,37205938,BO88DRAFT_123520,BO88DRAFT_123520,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205939,BO88DRAFT_123622,BO88DRAFT_123622,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205940,BO88DRAFT_123691,BO88DRAFT_123691,-,-,Unknown,-,ER-associated proteolytic system protein Der1,protein-coding,-,-,-,ER-associated proteolytic system protein Der1,20210424,-
1448311,37205941,BO88DRAFT_123771,BO88DRAFT_123771,-,-,Unknown,-,histone H3 ,protein-coding,-,-,-,histone H3 ,20200919,-
1448311,37205942,BO88DRAFT_124344,BO88DRAFT_124344,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
1448311,37205943,BO88DRAFT_124572,BO88DRAFT_124572,-,-,Unknown,-,histone acetyltransferase complex component Epl1,protein-coding,-,-,-,histone acetyltransferase complex component Epl1,20200919,-
1448311,37205944,BO88DRAFT_124635,BO88DRAFT_124635,-,-,Unknown,-,"alpha-1,2-mannosyltransferase",protein-coding,-,-,-,"alpha-1,2-mannosyltransferase",20200919,-
