#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2716729,65064363,KMC30_gp001,KMC30_gp001,PhiZZ30_001,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210608,-
2716729,65064419,KMC30_gp057,KMC30_gp057,PhiZZ30_057,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210608,-
2716729,65064420,KMC30_gp058,KMC30_gp058,PhiZZ30_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716729,65064421,KMC30_gp059,KMC30_gp059,PhiZZ30_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064422,KMC30_gp060,KMC30_gp060,PhiZZ30_060,-,-,-,endonuclease subunit,protein-coding,-,-,-,endonuclease subunit,20210609,-
2716729,65064423,KMC30_gp061,KMC30_gp061,PhiZZ30_061,-,-,-,alpha-glucosyl-transferase,protein-coding,-,-,-,alpha-glucosyl-transferase,20210608,-
2716729,65064424,KMC30_gp062,KMC30_gp062,PhiZZ30_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064425,KMC30_gp063,KMC30_gp063,PhiZZ30_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064426,KMC30_gp064,KMC30_gp064,PhiZZ30_064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716729,65064427,KMC30_gp065,KMC30_gp065,PhiZZ30_065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064428,KMC30_gp066,KMC30_gp066,PhiZZ30_066,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210609,-
2716729,65064429,KMC30_gp067,KMC30_gp067,PhiZZ30_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064430,KMC30_gp068,KMC30_gp068,PhiZZ30_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064431,KMC30_gp069,KMC30_gp069,PhiZZ30_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716729,65064432,KMC30_gp070,KMC30_gp070,PhiZZ30_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064433,KMC30_gp071,KMC30_gp071,PhiZZ30_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716729,65064434,KMC30_gp072,KMC30_gp072,PhiZZ30_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716729,65064435,KMC30_gp073,KMC30_gp073,PhiZZ30_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064436,KMC30_gp074,KMC30_gp074,PhiZZ30_074,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210608,-
2716729,65064437,KMC30_gp075,KMC30_gp075,PhiZZ30_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064438,KMC30_gp076,KMC30_gp076,PhiZZ30_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064439,KMC30_gp077,KMC30_gp077,PhiZZ30_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064440,KMC30_gp078,KMC30_gp078,PhiZZ30_078,-,-,-,putative anaerobic nucleotide reductase subunit,protein-coding,-,-,-,putative anaerobic nucleotide reductase subunit,20210609,-
2716729,65064441,KMC30_gp079,KMC30_gp079,PhiZZ30_079,-,-,-,putative anaerobic NTP reductase large subunit,protein-coding,-,-,-,putative anaerobic NTP reductase large subunit,20210608,-
2716729,65064442,KMC30_gp080,KMC30_gp080,PhiZZ30_080,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210612,-
2716729,65064443,KMC30_gp081,KMC30_gp081,PhiZZ30_081,-,-,-,inhibitor of host Lon protease,protein-coding,-,-,-,inhibitor of host Lon protease,20210608,-
2716729,65064444,KMC30_gp082,KMC30_gp082,PhiZZ30_082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064445,KMC30_gp083,KMC30_gp083,PhiZZ30_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064446,KMC30_gp084,KMC30_gp084,PhiZZ30_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064447,KMC30_gp085,KMC30_gp085,PhiZZ30_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064448,KMC30_gp086,KMC30_gp086,PhiZZ30_086,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716729,65064449,KMC30_gp087,KMC30_gp087,PhiZZ30_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064450,KMC30_gp088,KMC30_gp088,PhiZZ30_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064451,KMC30_gp089,KMC30_gp089,PhiZZ30_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064452,KMC30_gp090,KMC30_gp090,PhiZZ30_090,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716729,65064453,KMC30_gp091,KMC30_gp091,PhiZZ30_091,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716729,65064454,KMC30_gp092,KMC30_gp092,PhiZZ30_092,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716729,65064455,KMC30_gp093,KMC30_gp093,PhiZZ30_093,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716729,65064456,KMC30_gp094,KMC30_gp094,PhiZZ30_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064457,KMC30_gp095,KMC30_gp095,PhiZZ30_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064458,KMC30_gp096,KMC30_gp096,PhiZZ30_096,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2716729,65064459,KMC30_gp097,KMC30_gp097,PhiZZ30_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064460,KMC30_gp098,KMC30_gp098,PhiZZ30_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064461,KMC30_gp099,KMC30_gp099,PhiZZ30_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064462,KMC30_gp100,KMC30_gp100,PhiZZ30_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064463,KMC30_gp101,KMC30_gp101,PhiZZ30_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064464,KMC30_gp102,KMC30_gp102,PhiZZ30_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064465,KMC30_gp103,KMC30_gp103,PhiZZ30_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064466,KMC30_gp104,KMC30_gp104,PhiZZ30_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064467,KMC30_gp105,KMC30_gp105,PhiZZ30_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064468,KMC30_gp106,KMC30_gp106,PhiZZ30_106,-,-,-,rI membrane protein,protein-coding,-,-,-,rI membrane protein,20210608,-
2716729,65064469,KMC30_gp107,KMC30_gp107,PhiZZ30_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064470,KMC30_gp108,KMC30_gp108,PhiZZ30_108,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210608,-
2716729,65064471,KMC30_gp109,KMC30_gp109,PhiZZ30_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064472,KMC30_gp110,KMC30_gp110,PhiZZ30_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064473,KMC30_gp111,KMC30_gp111,PhiZZ30_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064474,KMC30_gp112,KMC30_gp112,PhiZZ30_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064475,KMC30_gp113,KMC30_gp113,PhiZZ30_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064476,KMC30_gp114,KMC30_gp114,PhiZZ30_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064477,KMC30_gp115,KMC30_gp115,PhiZZ30_115,-,-,-,modifier of valyl-tRNA synthetase,protein-coding,-,-,-,modifier of valyl-tRNA synthetase,20210608,-
2716729,65064478,KMC30_gp116,KMC30_gp116,PhiZZ30_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064479,KMC30_gp117,KMC30_gp117,PhiZZ30_117,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210608,-
2716729,65064480,KMC30_gp118,KMC30_gp118,PhiZZ30_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064481,KMC30_gp119,KMC30_gp119,PhiZZ30_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064482,KMC30_gp120,KMC30_gp120,PhiZZ30_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064483,KMC30_gp121,KMC30_gp121,PhiZZ30_121,-,-,-,autonomous glycyl radical cofactor,protein-coding,-,-,-,autonomous glycyl radical cofactor,20210608,-
2716729,65064484,KMC30_gp122,KMC30_gp122,PhiZZ30_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064485,KMC30_gp123,KMC30_gp123,PhiZZ30_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064486,KMC30_gp124,KMC30_gp124,PhiZZ30_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064487,KMC30_gp125,KMC30_gp125,PhiZZ30_125,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
2716729,65064488,KMC30_gp126,KMC30_gp126,PhiZZ30_126,-,-,-,soluble lysozyme,protein-coding,-,-,-,soluble lysozyme,20210608,-
2716729,65064489,KMC30_gp127,KMC30_gp127,PhiZZ30_127,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210608,-
2716729,65064490,KMC30_gp128,KMC30_gp128,PhiZZ30_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064491,KMC30_gp129,KMC30_gp129,PhiZZ30_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064492,KMC30_gp130,KMC30_gp130,PhiZZ30_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064493,KMC30_gp131,KMC30_gp131,PhiZZ30_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064494,KMC30_gp132,KMC30_gp132,PhiZZ30_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064495,KMC30_gp133,KMC30_gp133,PhiZZ30_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064496,KMC30_gp134,KMC30_gp134,PhiZZ30_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064497,KMC30_gp135,KMC30_gp135,PhiZZ30_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064498,KMC30_gt001,KMC30_gt001,PhiZZ30_136,-,-,-,tRNA,tRNA,-,-,-,-,20210608,-
2716729,65064499,KMC30_gp266,KMC30_gp266,PhiZZ30_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064500,KMC30_gp265,KMC30_gp265,PhiZZ30_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064501,KMC30_gp264,KMC30_gp264,PhiZZ30_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064502,KMC30_gp263,KMC30_gp263,PhiZZ30_150,-,-,-,internal head protein,protein-coding,-,-,-,internal head protein,20210608,-
2716729,65064503,KMC30_gp262,KMC30_gp262,PhiZZ30_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064504,KMC30_gp261,KMC30_gp261,PhiZZ30_152,-,-,-,tail fiber assembly protein,protein-coding,-,-,-,tail fiber assembly protein,20210608,-
2716729,65064505,KMC30_gp260,KMC30_gp260,PhiZZ30_153,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20210608,-
2716729,65064506,KMC30_gp259,KMC30_gp259,PhiZZ30_154,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20210612,-
2716729,65064507,KMC30_gp258,KMC30_gp258,PhiZZ30_155,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210612,-
2716729,65064508,KMC30_gp257,KMC30_gp257,PhiZZ30_156,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210609,-
2716729,65064509,KMC30_gp256,KMC30_gp256,PhiZZ30_157,-,-,-,putative baseplate wedge completion,protein-coding,-,-,-,putative baseplate wedge completion,20210612,-
2716729,65064510,KMC30_gp255,KMC30_gp255,PhiZZ30_158,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20210608,-
2716729,65064511,KMC30_gp254,KMC30_gp254,PhiZZ30_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2716729,65064512,KMC30_gp253,KMC30_gp253,PhiZZ30_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2716729,65064513,KMC30_gp252,KMC30_gp252,PhiZZ30_161,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210609,-
2716729,65064514,KMC30_gp251,KMC30_gp251,PhiZZ30_162,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2716729,65064515,KMC30_gp250,KMC30_gp250,PhiZZ30_163,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210612,-
2716729,65064516,KMC30_gp249,KMC30_gp249,PhiZZ30_164,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20210608,-
2716729,65064517,KMC30_gp248,KMC30_gp248,PhiZZ30_165,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210608,-
2716729,65064518,KMC30_gp247,KMC30_gp247,PhiZZ30_166,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210608,-
2716729,65064519,KMC30_gp246,KMC30_gp246,PhiZZ30_167,-,-,-,short tail fiber protein middle domain,protein-coding,-,-,-,short tail fiber protein middle domain,20210608,-
2716729,65064520,KMC30_gp245,KMC30_gp245,PhiZZ30_168,-,-,-,whisker neck fibers protein,protein-coding,-,-,-,whisker neck fibers protein,20210608,-
2716729,65064521,KMC30_gp244,KMC30_gp244,PhiZZ30_169,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210608,-
2716729,65064522,KMC30_gp243,KMC30_gp243,PhiZZ30_170,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210608,-
2716729,65064523,KMC30_gp242,KMC30_gp242,PhiZZ30_171,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210608,-
2716729,65064524,KMC30_gp241,KMC30_gp241,PhiZZ30_172,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210608,-
2716729,65064525,KMC30_gp240,KMC30_gp240,PhiZZ30_173,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210608,-
2716729,65064526,KMC30_gp239,KMC30_gp239,PhiZZ30_174,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20210608,-
2716729,65064527,KMC30_gp238,KMC30_gp238,PhiZZ30_175,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20210608,-
2716729,65064528,KMC30_gp237,KMC30_gp237,PhiZZ30_176,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20210608,-
2716729,65064529,KMC30_gp236,KMC30_gp236,PhiZZ30_177,-,-,-,putative prohead core,protein-coding,-,-,-,putative prohead core,20210608,-
2716729,65064530,KMC30_gp235,KMC30_gp235,PhiZZ30_178,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210608,-
2716729,65064531,KMC30_gp234,KMC30_gp234,PhiZZ30_179,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210612,-
2716729,65064532,KMC30_gp233,KMC30_gp233,PhiZZ30_180,-,-,-,prohead assembly scaffolding protein,protein-coding,-,-,-,prohead assembly scaffolding protein,20210608,-
2716729,65064533,KMC30_gp232,KMC30_gp232,PhiZZ30_181,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2716729,65064534,KMC30_gp231,KMC30_gp231,PhiZZ30_182,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20210608,-
2716729,65064535,KMC30_gp230,KMC30_gp230,PhiZZ30_183,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210608,-
