#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2419753,64469276,KGB43_gp02,KGB43_gp02,SeSz2_2,-,-,-,bacterial type single-stranded DNA-binding protein,protein-coding,-,-,-,bacterial type single-stranded DNA-binding protein,20210502,-
2419753,64469320,KGB43_gp46,KGB43_gp46,SeSz2_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469321,KGB43_gp47,KGB43_gp47,SeSz2_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469322,KGB43_gp48,KGB43_gp48,SeSz2_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469323,KGB43_gp49,KGB43_gp49,SeSz2_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469324,KGB43_gp50,KGB43_gp50,SeSz2_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469325,KGB43_gp51,KGB43_gp51,SeSz2_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469326,KGB43_gp52,KGB43_gp52,SeSz2_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469327,KGB43_gp53,KGB43_gp53,SeSz2_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469328,KGB43_gp54,KGB43_gp54,SeSz2_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469329,KGB43_gp55,KGB43_gp55,SeSz2_55,-,-,-,putative capsid decoration protein,protein-coding,-,-,-,putative capsid decoration protein,20210502,-
2419753,64469330,KGB43_gp56,KGB43_gp56,SeSz2_56,-,-,-,putative coat protein,protein-coding,-,-,-,putative coat protein,20210502,-
2419753,64469331,KGB43_gp57,KGB43_gp57,SeSz2_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469332,KGB43_gp58,KGB43_gp58,SeSz2_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469333,KGB43_gp59,KGB43_gp59,SeSz2_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469334,KGB43_gp60,KGB43_gp60,SeSz2_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469335,KGB43_gp61,KGB43_gp61,SeSz2_61,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210502,-
2419753,64469336,KGB43_gp62,KGB43_gp62,SeSz2_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469337,KGB43_gp63,KGB43_gp63,SeSz2_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469338,KGB43_gp64,KGB43_gp64,SeSz2_64,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20210502,-
2419753,64469339,KGB43_gp65,KGB43_gp65,SeSz2_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469340,KGB43_gp66,KGB43_gp66,SeSz2_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469341,KGB43_gp67,KGB43_gp67,SeSz2_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469342,KGB43_gp68,KGB43_gp68,SeSz2_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469343,KGB43_gp69,KGB43_gp69,SeSz2_69,-,-,-,-,other,-,-,-,-,20210502,-
2419753,64469344,KGB43_gp70,KGB43_gp70,SeSz2_70,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20210502,-
2419753,64469345,KGB43_gp71,KGB43_gp71,SeSz2_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469346,KGB43_gp72,KGB43_gp72,SeSz2_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469347,KGB43_gp73,KGB43_gp73,SeSz2_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469348,KGB43_gp74,KGB43_gp74,SeSz2_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469349,KGB43_gp75,KGB43_gp75,SeSz2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469350,KGB43_gp76,KGB43_gp76,SeSz2_76,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210502,-
2419753,64469351,KGB43_gp77,KGB43_gp77,SeSz2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469352,KGB43_gp78,KGB43_gp78,SeSz2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469353,KGB43_gp79,KGB43_gp79,SeSz2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469354,KGB43_gp80,KGB43_gp80,SeSz2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210502,-
2419753,64469355,KGB43_gp81,KGB43_gp81,SeSz2_81,-,-,-,-,other,-,-,-,-,20210502,-
2419753,64469356,KGB43_gp01,KGB43_gp01,SeSz2_1,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20210502,-
2419753,64470447,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210503,-
