#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099449,62348297,2,JMN40_gp02,EA_SCOWL_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2099449,62348338,44,JMN40_gp44,EA_SCOWL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348339,45,JMN40_gp45,EA_SCOWL_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210417,-
2099449,62348340,46,JMN40_gp46,EA_SCOWL_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348341,47,JMN40_gp47,EA_SCOWL_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348342,48,JMN40_gp48,EA_SCOWL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348343,49,JMN40_gp49,EA_SCOWL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2099449,62348344,50,JMN40_gp50,EA_SCOWL_50,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210123,-
2099449,62348345,51,JMN40_gp51,EA_SCOWL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348346,52,JMN40_gp52,EA_SCOWL_52,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20210123,-
2099449,62348347,53,JMN40_gp53,EA_SCOWL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348348,54,JMN40_gp54,EA_SCOWL_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348349,55,JMN40_gp55,EA_SCOWL_55,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
2099449,62348350,56,JMN40_gp56,EA_SCOWL_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210417,-
2099449,62348351,58,JMN40_gp58,EA_SCOWL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348352,59,JMN40_gp59,EA_SCOWL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099449,62348353,60,JMN40_gp60,EA_SCOWL_60,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210417,-
2099449,62348354,61,JMN40_gp61,EA_SCOWL_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348355,62,JMN40_gp62,EA_SCOWL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348356,63,JMN40_gp63,EA_SCOWL_63,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
2099449,62348357,64,JMN40_gp64,EA_SCOWL_64,-,-,-,dsDNA helicase,protein-coding,-,-,-,dsDNA helicase,20210212,-
2099449,62348358,65,JMN40_gp65,EA_SCOWL_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348359,66,JMN40_gp66,EA_SCOWL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348360,67,JMN40_gp67,EA_SCOWL_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348361,68,JMN40_gp68,EA_SCOWL_68,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210212,-
2099449,62348362,69,JMN40_gp69,EA_SCOWL_69,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210417,-
2099449,62348363,70,JMN40_gp70,EA_SCOWL_70,-,-,-,DNA binding domain protein,protein-coding,-,-,-,DNA binding domain protein,20210123,-
2099449,62348364,71,JMN40_gp71,EA_SCOWL_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348365,72,JMN40_gp72,EA_SCOWL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348366,73,JMN40_gp73,EA_SCOWL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348367,74,JMN40_gp74,EA_SCOWL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099449,62348368,75,JMN40_gp75,EA_SCOWL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348369,76,JMN40_gp76,EA_SCOWL_76,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2099449,62348370,77,JMN40_gp77,EA_SCOWL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348371,78,JMN40_gp78,EA_SCOWL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348372,79,JMN40_gp79,EA_SCOWL_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348373,80,JMN40_gp80,EA_SCOWL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348374,81,JMN40_gp81,EA_SCOWL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348375,82,JMN40_gp82,EA_SCOWL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348376,83,JMN40_gp83,EA_SCOWL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348377,84,JMN40_gp84,EA_SCOWL_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099449,62348378,85,JMN40_gp85,EA_SCOWL_85,-,-,-,tRNA-methyltransferase,protein-coding,-,-,-,tRNA-methyltransferase,20210123,-
2099449,62348379,86,JMN40_gp86,EA_SCOWL_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348380,87,JMN40_gp87,EA_SCOWL_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348381,88,JMN40_gp88,EA_SCOWL_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348382,89,JMN40_gp89,EA_SCOWL_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348383,90,JMN40_gp90,EA_SCOWL_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099449,62348384,91,JMN40_gp91,EA_SCOWL_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348385,25,JMN40_gp25,EA_SCOWL_25,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210417,-
2099449,62348386,57,JMN40_gp57,EA_SCOWL_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2099449,62348387,1,JMN40_gp01,EA_SCOWL_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099449,62368967,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
