#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301700,60330494,2,I5H56_gp002,SEA_KRISTARAM_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301700,60330544,52,I5H56_gp052,SEA_KRISTARAM_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301700,60330545,53,I5H56_gp053,SEA_KRISTARAM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330546,54,I5H56_gp054,SEA_KRISTARAM_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330547,55,I5H56_gp055,SEA_KRISTARAM_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330548,56,I5H56_gp056,SEA_KRISTARAM_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330549,57,I5H56_gp057,SEA_KRISTARAM_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330550,58,I5H56_gp058,SEA_KRISTARAM_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330551,59,I5H56_gp059,SEA_KRISTARAM_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2301700,60330552,60,I5H56_gp060,SEA_KRISTARAM_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301700,60330553,61,I5H56_gp061,SEA_KRISTARAM_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301700,60330554,62,I5H56_gp062,SEA_KRISTARAM_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2301700,60330555,63,I5H56_gp063,SEA_KRISTARAM_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
2301700,60330556,64,I5H56_gp064,SEA_KRISTARAM_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330557,65,I5H56_gp065,SEA_KRISTARAM_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330558,66,I5H56_gp066,SEA_KRISTARAM_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2301700,60330559,67,I5H56_gp067,SEA_KRISTARAM_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2301700,60330560,68,I5H56_gp068,SEA_KRISTARAM_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2301700,60330561,69,I5H56_gp069,SEA_KRISTARAM_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301700,60330562,70,I5H56_gp070,SEA_KRISTARAM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330563,71,I5H56_gp071,SEA_KRISTARAM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330564,72,I5H56_gp072,SEA_KRISTARAM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330565,73,I5H56_gp073,SEA_KRISTARAM_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330566,74,I5H56_gp074,SEA_KRISTARAM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330567,75,I5H56_gp075,SEA_KRISTARAM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330568,76,I5H56_gp076,SEA_KRISTARAM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330569,77,I5H56_gp077,SEA_KRISTARAM_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330570,78,I5H56_gp078,SEA_KRISTARAM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330571,79,I5H56_gp079,SEA_KRISTARAM_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330572,80,I5H56_gp080,SEA_KRISTARAM_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330573,81,I5H56_gp081,SEA_KRISTARAM_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330574,82,I5H56_gp082,SEA_KRISTARAM_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330575,83,I5H56_gp083,SEA_KRISTARAM_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330576,84,I5H56_gp084,SEA_KRISTARAM_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330577,85,I5H56_gp085,SEA_KRISTARAM_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330578,86,I5H56_gp086,SEA_KRISTARAM_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330579,87,I5H56_gp087,SEA_KRISTARAM_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330580,88,I5H56_gp088,SEA_KRISTARAM_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330581,89,I5H56_gp089,SEA_KRISTARAM_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330582,90,I5H56_gp090,SEA_KRISTARAM_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330583,91,I5H56_gp091,SEA_KRISTARAM_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330584,92,I5H56_gp092,SEA_KRISTARAM_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301700,60330585,93,I5H56_gp093,SEA_KRISTARAM_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330586,94,I5H56_gp094,SEA_KRISTARAM_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330587,95,I5H56_gp095,SEA_KRISTARAM_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330588,96,I5H56_gp096,SEA_KRISTARAM_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330589,97,I5H56_gp097,SEA_KRISTARAM_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330590,98,I5H56_gp098,SEA_KRISTARAM_98,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2301700,60330591,99,I5H56_gp099,SEA_KRISTARAM_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330592,100,I5H56_gp100,SEA_KRISTARAM_100,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210417,-
2301700,60330593,101,I5H56_gp101,SEA_KRISTARAM_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330594,102,I5H56_gp102,SEA_KRISTARAM_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330595,103,I5H56_gp103,SEA_KRISTARAM_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330596,104,I5H56_gp104,SEA_KRISTARAM_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330597,105,I5H56_gp105,SEA_KRISTARAM_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330598,106,I5H56_gp106,SEA_KRISTARAM_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330599,107,I5H56_gp107,SEA_KRISTARAM_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330600,108,I5H56_gp108,SEA_KRISTARAM_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330601,109,I5H56_gp109,SEA_KRISTARAM_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301700,60330602,110,I5H56_gp110,SEA_KRISTARAM_110,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301700,60330603,111,I5H56_gp111,SEA_KRISTARAM_111,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20201129,-
2301700,60330604,112,I5H56_gp112,SEA_KRISTARAM_112,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301700,60330605,113,I5H56_gp113,SEA_KRISTARAM_113,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2301700,60330606,1,I5H56_gp001,SEA_KRISTARAM_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301700,60338715,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage KristaRAM).,other,-,-,-,-,20201130,-
