#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1655314,40069037,FDG86_gp001,FDG86_gp001,APCEc02_001,-,-,-,cell wall hydrolase,protein-coding,-,-,-,cell wall hydrolase,20210129,-
1655314,40069053,FDG86_gp017,FDG86_gp017,APCEc02_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069054,FDG86_gp018,FDG86_gp018,APCEc02_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069055,FDG86_gp019,FDG86_gp019,APCEc02_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069056,FDG86_gp020,FDG86_gp020,APCEc02_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069057,FDG86_gp021,FDG86_gp021,APCEc02_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069058,FDG86_gp022,FDG86_gp022,APCEc02_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069059,FDG86_gp023,FDG86_gp023,APCEc02_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069060,FDG86_gp024,FDG86_gp024,APCEc02_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069061,FDG86_gp025,FDG86_gp025,APCEc02_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069062,FDG86_gp026,FDG86_gp026,APCEc02_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069063,FDG86_gp027,FDG86_gp027,APCEc02_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069064,FDG86_gp028,FDG86_gp028,APCEc02_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069065,FDG86_gp029,FDG86_gp029,APCEc02_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069066,FDG86_gp030,FDG86_gp030,APCEc02_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069067,FDG86_gp031,FDG86_gp031,APCEc02_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069068,FDG86_gp032,FDG86_gp032,APCEc02_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069069,FDG86_gp033,FDG86_gp033,APCEc02_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069070,FDG86_gp034,FDG86_gp034,APCEc02_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069071,FDG86_gp035,FDG86_gp035,APCEc02_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069072,FDG86_gp036,FDG86_gp036,APCEc02_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069073,FDG86_gp037,FDG86_gp037,APCEc02_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069074,FDG86_gp038,FDG86_gp038,APCEc02_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069075,FDG86_gp039,FDG86_gp039,APCEc02_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069076,FDG86_gp040,FDG86_gp040,APCEc02_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069077,FDG86_gp041,FDG86_gp041,APCEc02_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069078,FDG86_gp042,FDG86_gp042,APCEc02_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069079,FDG86_gp043,FDG86_gp043,APCEc02_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069080,FDG86_gp044,FDG86_gp044,APCEc02_044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069081,FDG86_gp045,FDG86_gp045,APCEc02_045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069082,FDG86_gp046,FDG86_gp046,APCEc02_046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069083,FDG86_gp047,FDG86_gp047,APCEc02_047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069084,FDG86_gp048,FDG86_gp048,APCEc02_048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069085,FDG86_gp049,FDG86_gp049,APCEc02_049,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200629,-
1655314,40069086,FDG86_gp050,FDG86_gp050,APCEc02_050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069087,FDG86_gp051,FDG86_gp051,APCEc02_051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069088,FDG86_gp052,FDG86_gp052,APCEc02_052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069089,FDG86_gp053,FDG86_gp053,APCEc02_053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069090,FDG86_gp054,FDG86_gp054,APCEc02_054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069091,FDG86_gp055,FDG86_gp055,APCEc02_055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069092,FDG86_gp056,FDG86_gp056,APCEc02_056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069093,FDG86_gp057,FDG86_gp057,APCEc02_057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069094,FDG86_gp058,FDG86_gp058,APCEc02_058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069095,FDG86_gp059,FDG86_gp059,APCEc02_059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069096,FDG86_gp060,FDG86_gp060,APCEc02_060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069097,FDG86_gp061,FDG86_gp061,APCEc02_061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069098,FDG86_gp062,FDG86_gp062,APCEc02_062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069099,FDG86_gp063,FDG86_gp063,APCEc02_063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069100,FDG86_gp064,FDG86_gp064,APCEc02_064,-,-,-,DNA translocase FtsK,protein-coding,-,-,-,DNA translocase FtsK,20200629,-
1655314,40069101,FDG86_gp065,FDG86_gp065,APCEc02_065,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1655314,40069102,FDG86_gp066,FDG86_gp066,APCEc02_066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069103,FDG86_gp067,FDG86_gp067,APCEc02_067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069104,FDG86_gp068,FDG86_gp068,APCEc02_068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069105,FDG86_gp069,FDG86_gp069,APCEc02_069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069106,FDG86_gp070,FDG86_gp070,APCEc02_070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069107,FDG86_gp071,FDG86_gp071,APCEc02_071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069108,FDG86_gp072,FDG86_gp072,APCEc02_072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069109,FDG86_gp073,FDG86_gp073,APCEc02_073,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069110,FDG86_gp074,FDG86_gp074,APCEc02_074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069111,FDG86_gp075,FDG86_gp075,APCEc02_075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069112,FDG86_gp076,FDG86_gp076,APCEc02_076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069113,FDG86_gp077,FDG86_gp077,APCEc02_077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069114,FDG86_gp078,FDG86_gp078,APCEc02_078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069115,FDG86_gp079,FDG86_gp079,APCEc02_079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069116,FDG86_gp080,FDG86_gp080,APCEc02_080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069117,FDG86_gp081,FDG86_gp081,APCEc02_081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069118,FDG86_gp082,FDG86_gp082,APCEc02_082,-,-,-,sigma 54 modulation factor,protein-coding,-,-,-,sigma 54 modulation factor,20200912,-
1655314,40069119,FDG86_gp083,FDG86_gp083,APCEc02_083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069120,FDG86_gp084,FDG86_gp084,APCEc02_084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069121,FDG86_gp085,FDG86_gp085,APCEc02_085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069122,FDG86_gp086,FDG86_gp086,APCEc02_086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069123,FDG86_gp087,FDG86_gp087,APCEc02_087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069124,FDG86_gp088,FDG86_gp088,APCEc02_088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069125,FDG86_gp089,FDG86_gp089,APCEc02_089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069126,FDG86_gp090,FDG86_gp090,APCEc02_090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069127,FDG86_gp091,FDG86_gp091,APCEc02_091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069128,FDG86_gp092,FDG86_gp092,APCEc02_092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069129,FDG86_gp093,FDG86_gp093,APCEc02_093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069130,FDG86_gp094,FDG86_gp094,APCEc02_094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069131,FDG86_gp095,FDG86_gp095,APCEc02_095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069132,FDG86_gp096,FDG86_gp096,APCEc02_096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069133,FDG86_gp097,FDG86_gp097,APCEc02_097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069134,FDG86_gp098,FDG86_gp098,APCEc02_098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069135,FDG86_gp099,FDG86_gp099,APCEc02_099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069136,FDG86_gp100,FDG86_gp100,APCEc02_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069137,FDG86_gp101,FDG86_gp101,APCEc02_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069138,FDG86_gp102,FDG86_gp102,APCEc02_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069139,FDG86_gp103,FDG86_gp103,APCEc02_103,-,-,-,putative ClpP ATP-dependent protease subunit,protein-coding,-,-,-,putative ClpP ATP-dependent protease subunit,20200629,-
1655314,40069140,FDG86_gp104,FDG86_gp104,APCEc02_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1655314,40069141,FDG86_gp105,FDG86_gp105,APCEc02_105,-,-,-,PhoH-like protein,protein-coding,-,-,-,PhoH-like protein,20200629,-
1655314,40069142,FDG86_gp106,FDG86_gp106,APCEc02_106,-,-,-,PhoH family protein,protein-coding,-,-,-,PhoH family protein,20210129,-
1655314,40069143,FDG86_gp107,FDG86_gp107,APCEc02_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069144,FDG86_gp108,FDG86_gp108,APCEc02_108,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200629,-
1655314,40069145,FDG86_gp109,FDG86_gp109,APCEc02_109,-,-,-,putative minor capsid protein,protein-coding,-,-,-,putative minor capsid protein,20200912,-
1655314,40069146,FDG86_gp110,FDG86_gp110,APCEc02_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069147,FDG86_gp111,FDG86_gp111,APCEc02_111,-,-,-,putative anaerobic ribonucleoside-triposphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside-triposphate reductase,20200629,-
1655314,40069148,FDG86_gp112,FDG86_gp112,APCEc02_112,-,-,-,glutaredoxin 1,protein-coding,-,-,-,glutaredoxin 1,20200912,-
1655314,40069149,FDG86_gp113,FDG86_gp113,APCEc02_113,-,-,-,putative ribonucleotide diphosphate reductase beta chain,protein-coding,-,-,-,putative ribonucleotide diphosphate reductase beta chain,20200912,-
1655314,40069150,FDG86_gp114,FDG86_gp114,APCEc02_114,-,-,-,putative ribonucleotide triphosphate reductase alpha chain,protein-coding,-,-,-,putative ribonucleotide triphosphate reductase alpha chain,20200912,-
1655314,40069151,FDG86_gp115,FDG86_gp115,APCEc02_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069152,FDG86_gp116,FDG86_gp116,APCEc02_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069153,FDG86_gp117,FDG86_gp117,APCEc02_117,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20200629,-
1655314,40069154,FDG86_gp118,FDG86_gp118,APCEc02_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069155,FDG86_gp119,FDG86_gp119,APCEc02_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069156,FDG86_gp120,FDG86_gp120,APCEc02_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
1655314,40069157,FDG86_gp121,FDG86_gp121,APCEc02_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069158,FDG86_gp122,FDG86_gp122,APCEc02_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069159,FDG86_gp123,FDG86_gp123,APCEc02_123,-,-,-,putative DNA N6-adenine methyltransferase,protein-coding,-,-,-,putative DNA N6-adenine methyltransferase,20200629,-
1655314,40069160,FDG86_gp124,FDG86_gp124,APCEc02_124,-,-,-,SAM-dependent methyltransferase,protein-coding,-,-,-,SAM-dependent methyltransferase,20201221,-
1655314,40069161,FDG86_gp125,FDG86_gp125,APCEc02_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069162,FDG86_gp126,FDG86_gp126,APCEc02_126,-,-,-,EndoVII packaging and recombination endonuclease,protein-coding,-,-,-,EndoVII packaging and recombination endonuclease,20200629,-
1655314,40069163,FDG86_gp127,FDG86_gp127,APCEc02_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1655314,40069164,FDG86_gp128,FDG86_gp128,APCEc02_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069165,FDG86_gp129,FDG86_gp129,APCEc02_129,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200629,-
1655314,40069166,FDG86_gp130,FDG86_gp130,APCEc02_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069167,FDG86_gp131,FDG86_gp131,APCEc02_131,-,-,-,transposase-like protein,protein-coding,-,-,-,transposase-like protein,20200629,-
1655314,40069168,FDG86_gp132,FDG86_gp132,APCEc02_132,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
1655314,40069169,FDG86_gp133,FDG86_gp133,APCEc02_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069170,FDG86_gp134,FDG86_gp134,APCEc02_134,-,-,-,lysozyme,protein-coding,-,-,-,lysozyme,20200629,-
1655314,40069171,FDG86_gp135,FDG86_gp135,APCEc02_135,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20200912,-
1655314,40069172,FDG86_gp136,FDG86_gp136,APCEc02_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1655314,40069173,FDG86_gp137,FDG86_gp137,APCEc02_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069174,FDG86_gp138,FDG86_gp138,APCEc02_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069175,FDG86_gp139,FDG86_gp139,APCEc02_139,-,-,-,putative Sir2-like protein,protein-coding,-,-,-,putative Sir2-like protein,20200629,-
1655314,40069176,FDG86_gp140,FDG86_gp140,APCEc02_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069177,FDG86_gp141,FDG86_gp141,APCEc02_141,-,-,-,putative RNA ligase and tail attachment protein,protein-coding,-,-,-,putative RNA ligase and tail attachment protein,20200629,-
1655314,40069178,FDG86_gp142,FDG86_gp142,APCEc02_142,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069179,FDG86_gp143,FDG86_gp143,APCEc02_143,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210123,-
1655314,40069180,FDG86_gp144,FDG86_gp144,APCEc02_144,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200912,-
1655314,40069181,FDG86_gp145,FDG86_gp145,APCEc02_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069182,FDG86_gp146,FDG86_gp146,APCEc02_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069183,FDG86_gp147,FDG86_gp147,APCEc02_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069184,FDG86_gp148,FDG86_gp148,APCEc02_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069185,FDG86_gp149,FDG86_gp149,APCEc02_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069186,FDG86_gt001,FDG86_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1655314,40069187,FDG86_gt003,FDG86_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1655314,40069188,FDG86_gp218,FDG86_gp218,APCEc02_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069189,FDG86_gp217,FDG86_gp217,APCEc02_152,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1655314,40069190,FDG86_gp216,FDG86_gp216,APCEc02_153,-,-,-,putative recombinase endonuclease,protein-coding,-,-,-,putative recombinase endonuclease,20200912,-
1655314,40069191,FDG86_gp215,FDG86_gp215,APCEc02_154,-,-,-,endonuclease VII domain-containing protein,protein-coding,-,-,-,endonuclease VII domain-containing protein,20201221,-
1655314,40069192,FDG86_gp214,FDG86_gp214,APCEc02_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069193,FDG86_gp213,FDG86_gp213,APCEc02_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069194,FDG86_gp212,FDG86_gp212,APCEc02_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1655314,40069195,FDG86_gp211,FDG86_gp211,APCEc02_158,-,-,-,head stabilization/decoration protein,protein-coding,-,-,-,head stabilization/decoration protein,20210417,-
1655314,40069196,FDG86_gp210,FDG86_gp210,APCEc02_159,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20200629,-
1655314,40069197,FDG86_gp209,FDG86_gp209,APCEc02_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069198,FDG86_gp208,FDG86_gp208,APCEc02_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069199,FDG86_gp207,FDG86_gp207,APCEc02_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069200,FDG86_gp206,FDG86_gp206,APCEc02_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069201,FDG86_gp205,FDG86_gp205,APCEc02_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069202,FDG86_gp204,FDG86_gp204,APCEc02_165,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200629,-
1655314,40069203,FDG86_gp203,FDG86_gp203,APCEc02_166,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200912,-
1655314,40069204,FDG86_gp202,FDG86_gp202,APCEc02_167,-,-,-,DUF3277 family protein,protein-coding,-,-,-,DUF3277 family protein,20210116,-
1655314,40069205,FDG86_gp201,FDG86_gp201,APCEc02_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069206,FDG86_gp200,FDG86_gp200,APCEc02_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069207,FDG86_gp199,FDG86_gp199,APCEc02_170,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1655314,40069208,FDG86_gp198,FDG86_gp198,APCEc02_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069209,FDG86_gp197,FDG86_gp197,APCEc02_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069210,FDG86_gp196,FDG86_gp196,APCEc02_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069211,FDG86_gp195,FDG86_gp195,APCEc02_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1655314,40069212,FDG86_gp194,FDG86_gp194,APCEc02_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069213,FDG86_gp193,FDG86_gp193,APCEc02_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
1655314,40069214,FDG86_gp192,FDG86_gp192,APCEc02_177,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20200629,-
1655314,40069215,FDG86_gp191,FDG86_gp191,APCEc02_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069216,FDG86_gp190,FDG86_gp190,APCEc02_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1655314,40069217,FDG86_gp189,FDG86_gp189,APCEc02_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
