#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1289467,55803516,HYO78_gp02,HYO78_gp02,-,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210417,-
1289467,55803539,HYO78_gp25,HYO78_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803540,HYO78_gp26,HYO78_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803541,HYO78_gp27,HYO78_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803542,HYO78_gp28,HYO78_gp28,-,-,-,-,single stranded DNA specific exonuclease,protein-coding,-,-,-,single stranded DNA specific exonuclease,20210417,-
1289467,55803543,HYO78_gp29,HYO78_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1289467,55803544,HYO78_gp30,HYO78_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803545,HYO78_gp31,HYO78_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803546,HYO78_gp32,HYO78_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803547,HYO78_gp33,HYO78_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803548,HYO78_gp34,HYO78_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803549,HYO78_gp35,HYO78_gp35,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
1289467,55803550,HYO78_gp36,HYO78_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803551,HYO78_gp37,HYO78_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803552,HYO78_gp38,HYO78_gp38,-,-,-,-,ssb protein,protein-coding,-,-,-,ssb protein,20210417,-
1289467,55803553,HYO78_gp39,HYO78_gp39,-,-,-,-,putative serine kinase (sak) protein,protein-coding,-,-,-,putative serine kinase (sak) protein,20210417,-
1289467,55803554,HYO78_gp40,HYO78_gp40,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
1289467,55803555,HYO78_gp41,HYO78_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803556,HYO78_gp42,HYO78_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803557,HYO78_gp43,HYO78_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803558,HYO78_gp44,HYO78_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803559,HYO78_gp45,HYO78_gp45,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210417,-
1289467,55803560,HYO78_gp46,HYO78_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803561,HYO78_gp47,HYO78_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1289467,55803562,HYO78_gp48,HYO78_gp48,-,-,-,-,middle expressed protein 1,protein-coding,-,-,-,middle expressed protein 1,20200704,-
1289467,55803563,HYO78_gp49,HYO78_gp49,-,-,-,-,middle expressed protein 2,protein-coding,-,-,-,middle expressed protein 2,20200704,-
1289467,55803564,HYO78_gp50,HYO78_gp50,-,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210417,-
1289467,55803565,HYO78_gp51,HYO78_gp51,-,-,-,-,middle expressed protein 4,protein-coding,-,-,-,middle expressed protein 4,20200704,-
1289467,55803566,HYO78_gp01,HYO78_gp01,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20201010,-
1289467,55863347,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
