#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1412875,18503557,T548_0002,T548_0002,-,-,-,-,putative exodeoxyribonuclease,protein-coding,-,-,-,putative exodeoxyribonuclease,20200910,-
1412875,18503581,T548_0026,T548_0026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503582,T548_0027,T548_0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503583,T548_0028,T548_0028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503584,T548_0029,T548_0029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503585,T548_0030,T548_0030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503586,T548_0031,T548_0031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503587,T548_0032,T548_0032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503588,T548_0033,T548_0033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503589,T548_0034,T548_0034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503590,T548_0035,T548_0035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503591,T548_0036,T548_0036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503592,T548_0037,T548_0037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503593,T548_0038,T548_0038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503594,T548_0039,T548_0039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503595,T548_0040,T548_0040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503596,T548_0041,T548_0041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503597,T548_0042,T548_0042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503598,T548_0043,T548_0043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503599,T548_0044,T548_0044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503600,T548_0045,T548_0045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503601,T548_0046,T548_0046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503602,T548_0047,T548_0047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503603,T548_0048,T548_0048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503604,T548_0049,T548_0049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503605,T548_0050,T548_0050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503606,T548_0051,T548_0051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503607,T548_0052,T548_0052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503608,T548_0053,T548_0053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503609,T548_0054,T548_0054,-,-,-,-,LamB/ Ycsf family protein,protein-coding,-,-,-,LamB/ Ycsf family protein,20200910,-
1412875,18503610,T548_0055,T548_0055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503611,T548_0056,T548_0056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503612,T548_0057,T548_0057,-,-,-,-,putative zinc finger protein,protein-coding,-,-,-,putative zinc finger protein,20200910,-
1412875,18503613,T548_0058,T548_0058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503614,T548_0059,T548_0059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503615,T548_0060,T548_0060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503616,T548_0061,T548_0061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503617,T548_0062,T548_0062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503618,T548_0063,T548_0063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503619,T548_0064,T548_0064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503620,T548_0065,T548_0065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503621,T548_0066,T548_0066,-,-,-,-,putative nucleotidase,protein-coding,-,-,-,putative nucleotidase,20200910,-
1412875,18503622,T548_0067,T548_0067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503623,T548_0068,T548_0068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503624,T548_0069,T548_0069,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200910,-
1412875,18503625,T548_0070,T548_0070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503626,T548_0071,T548_0071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503627,T548_0072,T548_0072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503628,T548_0073,T548_0073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503629,T548_0074,T548_0074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503630,T548_0075,T548_0075,-,-,-,-,putative replicative DNA helicase,protein-coding,-,-,-,putative replicative DNA helicase,20200910,-
1412875,18503631,T548_0076,T548_0076,-,-,-,-,putative DNA primase,protein-coding,-,-,-,putative DNA primase,20200910,-
1412875,18503632,T548_0077,T548_0077,-,-,-,-,putative single stranded exonuclease,protein-coding,-,-,-,putative single stranded exonuclease,20200910,-
1412875,18503633,T548_0078,T548_0078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503634,T548_0079,T548_0079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503635,T548_0080,T548_0080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503636,T548_0081,T548_0081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503637,T548_0082,T548_0082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503638,T548_0083,T548_0083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503639,T548_0084,T548_0084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503640,T548_0085,T548_0085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503641,T548_0086,T548_0086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503642,T548_0087,T548_0087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503643,T548_0088,T548_0088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503644,T548_0089,T548_0089,-,-,-,-,putative replicator initiator protein,protein-coding,-,-,-,putative replicator initiator protein,20200910,-
1412875,18503645,T548_0090,T548_0090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503646,T548_0091,T548_0091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503647,T548_0092,T548_0092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503648,T548_0093,T548_0093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503649,T548_0094,T548_0094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503650,T548_0095,T548_0095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503651,T548_0096,T548_0096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503652,T548_0097,T548_0097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503653,T548_0098,T548_0098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503654,T548_0099,T548_0099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503655,T548_0100,T548_0100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503656,T548_0101,T548_0101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503657,CH26_gt001,CH26_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1412875,18503658,T548_0103,T548_0103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503659,T548_0104,T548_0104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503660,T548_0105,T548_0105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503661,T548_0106,T548_0106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503662,CH26_gt002,CH26_gt002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1412875,18503663,CH26_gt004,CH26_gt004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1412875,18503664,T548_0001,T548_0001,-,-,-,-,putative integrase-recombinase,protein-coding,-,-,-,putative integrase-recombinase,20200910,-
1412875,18503665,T548_0109,T548_0109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503666,T548_0110,T548_0110,-,-,-,-,putative DNA gyrase subunit B-topoisomerase,protein-coding,-,-,-,putative DNA gyrase subunit B-topoisomerase,20200910,-
1412875,18503667,T548_0111,T548_0111,-,-,-,-,putative DNA gyrase subunit A-topoisomerase,protein-coding,-,-,-,putative DNA gyrase subunit A-topoisomerase,20200910,-
1412875,18503668,T548_0112,T548_0112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503669,T548_0113,T548_0113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503670,T548_0114,T548_0114,-,-,-,-,putative nucleoside-2-deoxyribosyltransferase,protein-coding,-,-,-,putative nucleoside-2-deoxyribosyltransferase,20200910,-
1412875,18503671,T548_0115,T548_0115,-,-,-,-,putative nicotinamide mononucleotide transporter,protein-coding,-,-,-,putative nicotinamide mononucleotide transporter,20200910,-
1412875,18503672,T548_0116,T548_0116,-,-,-,-,putative anaerobic ribonucleoside triphosphate reductase,protein-coding,-,-,-,putative anaerobic ribonucleoside triphosphate reductase,20200910,-
1412875,18503673,T548_0117,T548_0117,-,-,-,-,putative ribonucleoside triphosphate reductase activator small subunit,protein-coding,-,-,-,putative ribonucleoside triphosphate reductase activator small subunit,20200910,-
1412875,18503674,T548_0118,T548_0118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503675,T548_0119,T548_0119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503676,T548_0120,T548_0120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503677,T548_0121,T548_0121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503678,T548_0122,T548_0122,-,-,-,-,putative ribonucleotide diphosphate reductase glutaredoxin subunit,protein-coding,-,-,-,putative ribonucleotide diphosphate reductase glutaredoxin subunit,20200910,-
1412875,18503679,T548_0123,T548_0123,-,-,-,-,putative ribonucleotide reductase stimulatory protein,protein-coding,-,-,-,putative ribonucleotide reductase stimulatory protein,20210424,-
1412875,18503680,T548_0124,T548_0124,-,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,protein-coding,-,-,-,ribonucleotide-diphosphate reductase subunit alpha,20200910,-
1412875,18503681,T548_0125,T548_0125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503682,T548_0126,T548_0126,-,-,-,-,putative group I intron protein,protein-coding,-,-,-,putative group I intron protein,20200910,-
1412875,18503683,T548_0127,T548_0127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503684,T548_0128,T548_0128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503685,T548_0129,T548_0129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503686,T548_0130,T548_0130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503687,T548_0131,T548_0131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503688,T548_0132,T548_0132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503689,T548_0133,T548_0133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503690,T548_0134,T548_0134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503691,T548_0135,T548_0135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503692,T548_0136,T548_0136,-,-,-,-,ribonucleoside-diphosphate reductase,protein-coding,-,-,-,ribonucleoside-diphosphate reductase,20200910,-
1412875,18503693,T548_0137,T548_0137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503694,T548_0138,T548_0138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503695,T548_0139,T548_0139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503696,T548_0140,T548_0140,-,-,-,-,ribonucleotide diphosphate reductase alpha subunit,protein-coding,-,-,-,ribonucleotide diphosphate reductase alpha subunit,20200910,-
1412875,18503697,T548_0141,T548_0141,-,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20200910,-
1412875,18503698,T548_0142,T548_0142,-,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,protein-coding,-,-,-,deoxyuridine 5'-triphosphate nucleotidohydrolase,20200910,-
1412875,18503699,T548_0143,T548_0143,-,-,-,-,putative protease,protein-coding,-,-,-,putative protease,20200910,-
1412875,18503700,T548_0144,T548_0144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503701,T548_0145,T548_0145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503702,T548_0146,T548_0146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503703,T548_0147,T548_0147,-,-,-,-,DNA polymerase III alpha subunit,pseudo,-,-,-,-,20200910,-
1412875,18503704,T548_0148,T548_0148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503705,T548_0149,T548_0149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503706,T548_0150,T548_0150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503707,T548_0151,T548_0151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503708,T548_0152,T548_0152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503709,T548_0153,T548_0153,-,-,-,-,putative holliday junction resolvase,protein-coding,-,-,-,putative holliday junction resolvase,20200910,-
1412875,18503710,T548_0154,T548_0154,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200910,-
1412875,18503711,T548_0155,T548_0155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503712,T548_0156,T548_0156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503713,T548_0157,T548_0157,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1412875,18503714,T548_0158,T548_0158,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1412875,18503715,T548_0159,T548_0159,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1412875,18503716,T548_0160,T548_0160,-,-,-,-,tail-host specificity protein,protein-coding,-,-,-,tail-host specificity protein,20200910,-
1412875,18503717,T548_0161,T548_0161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503718,T548_0162,T548_0162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503719,T548_0163,T548_0163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503720,T548_0164,T548_0164,-,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20200910,-
1412875,18503721,T548_0165,T548_0165,-,-,-,-,putative tail component,protein-coding,-,-,-,putative tail component,20200910,-
1412875,18503722,T548_0166,T548_0166,-,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200910,-
1412875,18503723,T548_0167,T548_0167,-,-,-,-,putative integrase/site specific recombinase,protein-coding,-,-,-,putative integrase/site specific recombinase,20200910,-
1412875,18503724,T548_0168,T548_0168,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1412875,18503725,T548_0169,T548_0169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503726,T548_0170,T548_0170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1412875,18503727,T548_0171,T548_0171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503728,T548_0172,T548_0172,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503729,T548_0173,T548_0173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503730,T548_0174,T548_0174,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503731,T548_0175,T548_0175,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503732,T548_0176,T548_0176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503733,T548_0177,T548_0177,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503734,T548_0178,T548_0178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503735,T548_0179,T548_0179,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503736,T548_0180,T548_0180,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503737,T548_0181,T548_0181,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503738,T548_0182,T548_0182,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200910,-
1412875,18503739,T548_0183,T548_0183,-,-,-,-,putative terminase family protein,protein-coding,-,-,-,putative terminase family protein,20200910,-
1412875,18503740,T548_0184,T548_0184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503741,T548_0185,T548_0185,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20200910,-
1412875,18503742,T548_0186,T548_0186,-,-,-,-,putative phosphate starvation-inducible protein PhoH/ATPase,protein-coding,-,-,-,putative phosphate starvation-inducible protein PhoH/ATPase,20200910,-
1412875,18503743,T548_0187,T548_0187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503744,T548_0188,T548_0188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503745,T548_0189,T548_0189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503746,T548_0190,T548_0190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503747,T548_0102,T548_0102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503748,CH26_gt003,CH26_gt003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1412875,18503749,T548_0107,T548_0107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18503750,CH26_gt005,CH26_gt005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1412875,18503751,T548_0108,T548_0108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1412875,18558761,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (L. lactis ssp. cremoris DPC6860 phage phiL47; Lactococcus lactis phage phiL47).,other,-,-,-,-,20200513,-
