#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301692,63026303,2,J1764_gp02,SEA_ASHERTHEMAN_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2301692,63026358,57,J1764_gp57,SEA_ASHERTHEMAN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026359,58,J1764_gp58,SEA_ASHERTHEMAN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026360,59,J1764_gp59,SEA_ASHERTHEMAN_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026361,60,J1764_gp60,SEA_ASHERTHEMAN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026362,61,J1764_gp61,SEA_ASHERTHEMAN_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026363,62,J1764_gp62,SEA_ASHERTHEMAN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026364,63,J1764_gp63,SEA_ASHERTHEMAN_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026365,64,J1764_gp64,SEA_ASHERTHEMAN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026366,65,J1764_gp65,SEA_ASHERTHEMAN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026367,66,J1764_gp66,SEA_ASHERTHEMAN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026368,67,J1764_gp67,SEA_ASHERTHEMAN_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2301692,63026369,68,J1764_gp68,SEA_ASHERTHEMAN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026370,69,J1764_gp69,SEA_ASHERTHEMAN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026371,70,J1764_gp70,SEA_ASHERTHEMAN_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026372,71,J1764_gp71,SEA_ASHERTHEMAN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026373,72,J1764_gp72,SEA_ASHERTHEMAN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026374,73,J1764_gp73,SEA_ASHERTHEMAN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026375,74,J1764_gp74,SEA_ASHERTHEMAN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026376,75,J1764_gp75,SEA_ASHERTHEMAN_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026377,76,J1764_gp76,SEA_ASHERTHEMAN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026378,77,J1764_gp77,SEA_ASHERTHEMAN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026379,78,J1764_gp78,SEA_ASHERTHEMAN_78,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2301692,63026380,79,J1764_gp79,SEA_ASHERTHEMAN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026381,80,J1764_gp80,SEA_ASHERTHEMAN_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026382,81,J1764_gp81,SEA_ASHERTHEMAN_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026383,82,J1764_gp82,SEA_ASHERTHEMAN_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026384,83,J1764_gp83,SEA_ASHERTHEMAN_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2301692,63026385,84,J1764_gp84,SEA_ASHERTHEMAN_84,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2301692,63026386,85,J1764_gp85,SEA_ASHERTHEMAN_85,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2301692,63026387,1,J1764_gp01,SEA_ASHERTHEMAN_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2301692,63139661,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
