#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034118,40083746,2,FDI12_gp02,PBI_SWITZER_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201220,-
1034118,40083803,59,FDI12_gp59,PBI_SWITZER_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083804,60,FDI12_gp60,PBI_SWITZER_60,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201220,-
1034118,40083805,61,FDI12_gp61,PBI_SWITZER_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083806,62,FDI12_gp62,PBI_SWITZER_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083807,63,FDI12_gp63,PBI_SWITZER_63,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20201220,-
1034118,40083808,64,FDI12_gp64,PBI_SWITZER_64,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20201220,-
1034118,40083809,65,FDI12_gp65,PBI_SWITZER_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083810,66,FDI12_gp66,PBI_SWITZER_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083811,67,FDI12_gp67,PBI_SWITZER_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083812,68,FDI12_gp68,PBI_SWITZER_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083813,69,FDI12_gp69,PBI_SWITZER_69,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20201220,-
1034118,40083814,70,FDI12_gp70,PBI_SWITZER_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083815,71,FDI12_gp71,PBI_SWITZER_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083816,72,FDI12_gp72,PBI_SWITZER_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083817,73,FDI12_gp73,PBI_SWITZER_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083818,74,FDI12_gp74,PBI_SWITZER_74,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1034118,40083819,75,FDI12_gp75,PBI_SWITZER_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083820,76,FDI12_gp76,PBI_SWITZER_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083821,77,FDI12_gp77,PBI_SWITZER_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083822,78,FDI12_gp78,PBI_SWITZER_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083823,79,FDI12_gp79,PBI_SWITZER_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083824,80,FDI12_gp80,PBI_SWITZER_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083825,81,FDI12_gp81,PBI_SWITZER_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083826,82,FDI12_gp82,PBI_SWITZER_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083827,83,FDI12_gp83,PBI_SWITZER_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083828,84,FDI12_gp84,PBI_SWITZER_84,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1034118,40083829,85,FDI12_gp85,PBI_SWITZER_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083830,86,FDI12_gp86,PBI_SWITZER_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083831,87,FDI12_gp87,PBI_SWITZER_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083832,88,FDI12_gp88,PBI_SWITZER_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083833,89,FDI12_gp89,PBI_SWITZER_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083834,90,FDI12_gp90,PBI_SWITZER_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083835,91,FDI12_gp91,PBI_SWITZER_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40083836,1,FDI12_gp01,PBI_SWITZER_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034118,40120059,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Switzer).,other,-,-,-,-,20200513,-
