#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2740800,55412046,HOQ55_gp43,HOQ55_gp43,-,-,-,-,Mitochondrial DNA-directed RNA polymerase (RPO41),protein-coding,-,-,-,Mitochondrial DNA-directed RNA polymerase (RPO41),20210327,-
2740800,55412067,HOQ55_gp22,HOQ55_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412068,HOQ55_gp23,HOQ55_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412069,HOQ55_gp24,HOQ55_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412070,HOQ55_gp25,HOQ55_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412071,HOQ55_gp26,HOQ55_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412072,HOQ55_gp27,HOQ55_gp27,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
2740800,55412073,HOQ55_gp28,HOQ55_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740800,55412074,HOQ55_gp29,HOQ55_gp29,-,-,-,-,cell wall/surface repeat protein,protein-coding,-,-,-,cell wall/surface repeat protein,20210327,-
2740800,55412075,HOQ55_gp30,HOQ55_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412076,HOQ55_gp31,HOQ55_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412077,HOQ55_gp32,HOQ55_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412078,HOQ55_gp33,HOQ55_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412079,HOQ55_gp34,HOQ55_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740800,55412080,HOQ55_gp35,HOQ55_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412081,HOQ55_gp36,HOQ55_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412082,HOQ55_gp37,HOQ55_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412083,HOQ55_gp38,HOQ55_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412084,HOQ55_gp39,HOQ55_gp39,-,-,-,-,Transcriptional regulators (MarR),protein-coding,-,-,-,Transcriptional regulators (MarR),20210327,-
2740800,55412085,HOQ55_gp40,HOQ55_gp40,-,-,-,-,integrase family protein,protein-coding,-,-,-,integrase family protein,20210327,-
2740800,55412086,HOQ55_gt01,HOQ55_gt01,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2740800,55412087,HOQ55_gp42,HOQ55_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2740800,55412088,HOQ55_gp41,HOQ55_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2740800,55412089,HOQ55_gp01,HOQ55_gp01,-,-,-,-,transcriptional regulator NrdR,protein-coding,-,-,-,transcriptional regulator NrdR,20210327,-
2740800,55436090,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200610,-
