#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1129192,24723248,BCP8-2_002,BCP8-2_002,-,-,-,-,putative minor structural protein II,protein-coding,-,-,-,putative minor structural protein II,20200909,-
1129192,24723280,BCP8-2_t008,BCP8-2_t008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723281,BCP8-2_t009,BCP8-2_t009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723282,BCP8-2_t010,BCP8-2_t010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723283,BCP8-2_t011,BCP8-2_t011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723284,BCP8-2_t012,BCP8-2_t012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723285,BCP8-2_027,BCP8-2_027,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200909,-
1129192,24723286,BCP8-2_t013,BCP8-2_t013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723287,BCP8-2_t014,BCP8-2_t014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723288,BCP8-2_t015,BCP8-2_t015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723289,BCP8-2_t016,BCP8-2_t016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723290,BCP8-2_t017,BCP8-2_t017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723291,BCP8-2_t018,BCP8-2_t018,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1129192,24723292,BCP8-2_028,BCP8-2_028,-,-,-,-,putative HTH binding domain protein,protein-coding,-,-,-,putative HTH binding domain protein,20200909,-
1129192,24723293,BCP8-2_029,BCP8-2_029,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723294,BCP8-2_030,BCP8-2_030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723295,BCP8-2_031,BCP8-2_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723296,BCP8-2_032,BCP8-2_032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723297,BCP8-2_033,BCP8-2_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723298,BCP8-2_034,BCP8-2_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723299,BCP8-2_035,BCP8-2_035,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1129192,24723300,BCP8-2_036,BCP8-2_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723301,BCP8-2_037,BCP8-2_037,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200909,-
1129192,24723302,BCP8-2_038,BCP8-2_038,-,-,-,-,putative muramidase lysin,protein-coding,-,-,-,putative muramidase lysin,20200909,-
1129192,24723303,BCP8-2_039,BCP8-2_039,-,-,-,-,putative polysaccharide deacetylase,protein-coding,-,-,-,putative polysaccharide deacetylase,20200909,-
1129192,24723304,BCP8-2_040,BCP8-2_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723305,BCP8-2_041,BCP8-2_041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723306,BCP8-2_042,BCP8-2_042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723307,BCP8-2_043,BCP8-2_043,-,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20200909,-
1129192,24723308,BCP8-2_044,BCP8-2_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723309,BCP8-2_045,BCP8-2_045,-,-,-,-,putative PcfJ protein,protein-coding,-,-,-,putative PcfJ protein,20200909,-
1129192,24723310,BCP8-2_046,BCP8-2_046,-,-,-,-,putative thymidylate synthase,protein-coding,-,-,-,putative thymidylate synthase,20200909,-
1129192,24723311,BCP8-2_047,BCP8-2_047,-,-,-,-,putative deoxynucleoside monophosphate kinase,protein-coding,-,-,-,putative deoxynucleoside monophosphate kinase,20200909,-
1129192,24723312,BCP8-2_048,BCP8-2_048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723313,BCP8-2_049,BCP8-2_049,-,-,-,-,putative dihydrofolate reductase,protein-coding,-,-,-,putative dihydrofolate reductase,20200909,-
1129192,24723314,BCP8-2_050,BCP8-2_050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723315,BCP8-2_051,BCP8-2_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723316,BCP8-2_052,BCP8-2_052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723317,BCP8-2_053,BCP8-2_053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723318,BCP8-2_054,BCP8-2_054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723319,BCP8-2_055,BCP8-2_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723320,BCP8-2_056,BCP8-2_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723321,BCP8-2_057,BCP8-2_057,-,-,-,-,putative RTCB protein,protein-coding,-,-,-,putative RTCB protein,20200909,-
1129192,24723322,BCP8-2_058,BCP8-2_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723323,BCP8-2_059,BCP8-2_059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723324,BCP8-2_060,BCP8-2_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723325,BCP8-2_061,BCP8-2_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723326,BCP8-2_062,BCP8-2_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723327,BCP8-2_063,BCP8-2_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723328,BCP8-2_064,BCP8-2_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723329,BCP8-2_065,BCP8-2_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723330,BCP8-2_066,BCP8-2_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723331,BCP8-2_067,BCP8-2_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723332,BCP8-2_068,BCP8-2_068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723333,BCP8-2_069,BCP8-2_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723334,BCP8-2_070,BCP8-2_070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723335,BCP8-2_071,BCP8-2_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723336,BCP8-2_072,BCP8-2_072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723337,BCP8-2_073,BCP8-2_073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723338,BCP8-2_074,BCP8-2_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723339,BCP8-2_075,BCP8-2_075,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20200909,-
1129192,24723340,BCP8-2_076,BCP8-2_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723341,BCP8-2_077,BCP8-2_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723342,BCP8-2_078,BCP8-2_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723343,BCP8-2_079,BCP8-2_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723344,BCP8-2_080,BCP8-2_080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723345,BCP8-2_081,BCP8-2_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723346,BCP8-2_082,BCP8-2_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723347,BCP8-2_083,BCP8-2_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723348,BCP8-2_084,BCP8-2_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723349,BCP8-2_085,BCP8-2_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723350,BCP8-2_086,BCP8-2_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723351,BCP8-2_087,BCP8-2_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723352,BCP8-2_088,BCP8-2_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723353,BCP8-2_089,BCP8-2_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723354,BCP8-2_090,BCP8-2_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723355,BCP8-2_091,BCP8-2_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723356,BCP8-2_092,BCP8-2_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723357,BCP8-2_093,BCP8-2_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723358,BCP8-2_094,BCP8-2_094,-,-,-,-,putative metal-dependent hydrolase,protein-coding,-,-,-,putative metal-dependent hydrolase,20200909,-
1129192,24723359,BCP8-2_095,BCP8-2_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723360,BCP8-2_096,BCP8-2_096,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723361,BCP8-2_097,BCP8-2_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723362,BCP8-2_098,BCP8-2_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723363,BCP8-2_099,BCP8-2_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723364,BCP8-2_100,BCP8-2_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723365,BCP8-2_101,BCP8-2_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723366,BCP8-2_102,BCP8-2_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723367,BCP8-2_103,BCP8-2_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723368,BCP8-2_104,BCP8-2_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723369,BCP8-2_105,BCP8-2_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723370,BCP8-2_106,BCP8-2_106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723371,BCP8-2_107,BCP8-2_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723372,BCP8-2_108,BCP8-2_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723373,BCP8-2_109,BCP8-2_109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723374,BCP8-2_110,BCP8-2_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723375,BCP8-2_111,BCP8-2_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723376,BCP8-2_112,BCP8-2_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723377,BCP8-2_113,BCP8-2_113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723378,BCP8-2_114,BCP8-2_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723379,BCP8-2_115,BCP8-2_115,-,-,-,-,putative FtsK_SpoIIIE-family protein,protein-coding,-,-,-,putative FtsK_SpoIIIE-family protein,20200909,-
1129192,24723380,BCP8-2_116,BCP8-2_116,-,-,-,-,putative HNH homing endonuclease,protein-coding,-,-,-,putative HNH homing endonuclease,20200909,-
1129192,24723381,BCP8-2_117,BCP8-2_117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723382,BCP8-2_118,BCP8-2_118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723383,BCP8-2_119,BCP8-2_119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723384,BCP8-2_120,BCP8-2_120,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
1129192,24723385,BCP8-2_121,BCP8-2_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723386,BCP8-2_122,BCP8-2_122,-,-,-,-,putative segregation protein,protein-coding,-,-,-,putative segregation protein,20200909,-
1129192,24723387,BCP8-2_123,BCP8-2_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723388,BCP8-2_124,BCP8-2_124,-,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20200909,-
1129192,24723389,BCP8-2_125,BCP8-2_125,-,-,-,-,"putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",protein-coding,-,-,-,"putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily",20200909,-
1129192,24723390,BCP8-2_126,BCP8-2_126,-,-,-,-,putative RNA polymerase sigma factor G,protein-coding,-,-,-,putative RNA polymerase sigma factor G,20200909,-
1129192,24723391,BCP8-2_127,BCP8-2_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723392,BCP8-2_128,BCP8-2_128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723393,BCP8-2_129,BCP8-2_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723394,BCP8-2_130,BCP8-2_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723395,BCP8-2_131,BCP8-2_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723396,BCP8-2_132,BCP8-2_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723397,BCP8-2_133,BCP8-2_133,-,-,-,-,putative glycosyltransferase family 36 protein,protein-coding,-,-,-,putative glycosyltransferase family 36 protein,20200909,-
1129192,24723398,BCP8-2_134,BCP8-2_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723399,BCP8-2_135,BCP8-2_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723400,BCP8-2_136,BCP8-2_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723401,BCP8-2_137,BCP8-2_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723402,BCP8-2_138,BCP8-2_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723403,BCP8-2_139,BCP8-2_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723404,BCP8-2_140,BCP8-2_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723405,BCP8-2_141,BCP8-2_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723406,BCP8-2_142,BCP8-2_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723407,BCP8-2_143,BCP8-2_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723408,BCP8-2_144,BCP8-2_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723409,BCP8-2_145,BCP8-2_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723410,BCP8-2_146,BCP8-2_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723411,BCP8-2_147,BCP8-2_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723412,BCP8-2_148,BCP8-2_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723413,BCP8-2_149,BCP8-2_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723414,BCP8-2_150,BCP8-2_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723415,BCP8-2_151,BCP8-2_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723416,BCP8-2_152,BCP8-2_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723417,BCP8-2_153,BCP8-2_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723418,BCP8-2_154,BCP8-2_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723419,BCP8-2_155,BCP8-2_155,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20200909,-
1129192,24723420,BCP8-2_156,BCP8-2_156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723421,BCP8-2_157,BCP8-2_157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723422,BCP8-2_158,BCP8-2_158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723423,BCP8-2_159,BCP8-2_159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723424,BCP8-2_160,BCP8-2_160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723425,BCP8-2_161,BCP8-2_161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723426,BCP8-2_162,BCP8-2_162,-,-,-,-,putative metallophosphatase,protein-coding,-,-,-,putative metallophosphatase,20200909,-
1129192,24723427,BCP8-2_163,BCP8-2_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723428,BCP8-2_164,BCP8-2_164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723429,BCP8-2_165,BCP8-2_165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723430,BCP8-2_166,BCP8-2_166,-,-,-,-,putative holin protein,protein-coding,-,-,-,putative holin protein,20200909,-
1129192,24723431,BCP8-2_167,BCP8-2_167,-,-,-,-,putative sigma factor,protein-coding,-,-,-,putative sigma factor,20200909,-
1129192,24723432,BCP8-2_168,BCP8-2_168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723433,BCP8-2_169,BCP8-2_169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723434,BCP8-2_170,BCP8-2_170,-,-,-,-,putative recA-like recombinase,protein-coding,-,-,-,putative recA-like recombinase,20200909,-
1129192,24723435,BCP8-2_171,BCP8-2_171,-,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20200909,-
1129192,24723436,BCP8-2_172,BCP8-2_172,-,-,-,-,putative DNA polymerase III subunits gamma and tau,protein-coding,-,-,-,putative DNA polymerase III subunits gamma and tau,20200909,-
1129192,24723437,BCP8-2_173,BCP8-2_173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723438,BCP8-2_174,BCP8-2_174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723439,BCP8-2_175,BCP8-2_175,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200909,-
1129192,24723440,BCP8-2_176,BCP8-2_176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
1129192,24723441,BCP8-2_177,BCP8-2_177,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200909,-
1129192,24723442,BCP8-2_178,BCP8-2_178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1129192,24723443,BCP8-2_179,BCP8-2_179,-,-,-,-,putative C-5 cytosine-specific DNA methylase I,protein-coding,-,-,-,putative C-5 cytosine-specific DNA methylase I,20200909,-
1129192,24723444,BCP8-2_180,BCP8-2_180,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200909,-
1129192,24723445,BCP8-2_181,BCP8-2_181,-,-,-,-,putative C-5 cytosine-specific DNA methylase II,protein-coding,-,-,-,putative C-5 cytosine-specific DNA methylase II,20200909,-
