#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1566990,24725330,ACQ35_gp02,ACQ35_gp02,SpSL1_31,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200629,-
1566990,24725361,dnaC,ACQ35_gp34,SpSL1_13,-,-,-,DnaC,protein-coding,-,-,-,DnaC,20200629,-
1566990,24725362,ACQ35_gp35,ACQ35_gp35,SpSL1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725363,ACQ35_gp36,ACQ35_gp36,SpSL1_15,-,-,-,C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase,20200629,-
1566990,24725364,ACQ35_gp37,ACQ35_gp37,SpSL1_16,-,-,-,N-6 adenine-specific DNA methylase,protein-coding,-,-,-,N-6 adenine-specific DNA methylase,20200629,-
1566990,24725365,ACQ35_gp38,ACQ35_gp38,SpSL1_17,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
1566990,24725366,ACQ35_gp39,ACQ35_gp39,SpSL1_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725367,ACQ35_gp40,ACQ35_gp40,SpSL1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725368,ACQ35_gp41,ACQ35_gp41,SpSL1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725369,ACQ35_gp42,ACQ35_gp42,SpSL1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725370,ACQ35_gp43,ACQ35_gp43,SpSL1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725371,ACQ35_gp44,ACQ35_gp44,SpSL1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725372,ACQ35_gp45,ACQ35_gp45,SpSL1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725373,ACQ35_gp46,ACQ35_gp46,SpSL1_25,-,-,-,Cro repressor,protein-coding,-,-,-,Cro repressor,20200629,-
1566990,24725374,ACQ35_gp47,ACQ35_gp47,SpSL1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725375,ACQ35_gp48,ACQ35_gp48,SpSL1_27,-,-,-,site-specific recombinase,protein-coding,-,-,-,site-specific recombinase,20200629,-
1566990,24725376,ACQ35_gp49,ACQ35_gp49,SpSL1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24725377,ACQ35_gp50,ACQ35_gp50,SpSL1_29,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200629,-
1566990,24725378,ACQ35_gp15,ACQ35_gp15,SpSL1_44,-,-,-,tail fiber PblB-like protein,protein-coding,-,-,-,tail fiber PblB-like protein,20200629,-
1566990,24725379,ACQ35_gp01,ACQ35_gp01,SpSL1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1566990,24936606,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
