#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2591204,55618348,2,HWC36_gp02,SEA_STAB_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2591204,55618361,13,HWC36_gp14,SEA_STAB_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200910,-
2591204,55618362,16,HWC36_gp16,SEA_STAB_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2591204,55618363,17,HWC36_gp17,SEA_STAB_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
2591204,55618364,18,HWC36_gp18,SEA_STAB_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618365,19,HWC36_gp19,SEA_STAB_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618366,20,HWC36_gp20,SEA_STAB_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618367,21,HWC36_gp21,SEA_STAB_21,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2591204,55618368,22,HWC36_gp22,SEA_STAB_22,-,-,-,holin,protein-coding,-,-,-,holin,20200910,-
2591204,55618369,23,HWC36_gp23,SEA_STAB_23,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2591204,55618370,24,HWC36_gp24,SEA_STAB_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591204,55618371,25,HWC36_gp25,SEA_STAB_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618372,26,HWC36_gp26,SEA_STAB_26,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2591204,55618373,27,HWC36_gp27,SEA_STAB_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618374,28,HWC36_gp28,SEA_STAB_28,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20210424,-
2591204,55618375,29,HWC36_gp29,SEA_STAB_29,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201117,-
2591204,55618376,30,HWC36_gp30,SEA_STAB_30,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2591204,55618377,31,HWC36_gp31,SEA_STAB_31,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2591204,55618378,32,HWC36_gp32,SEA_STAB_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618379,33,HWC36_gp33,SEA_STAB_33,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
2591204,55618380,34,HWC36_gp34,SEA_STAB_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618381,35,HWC36_gp35,SEA_STAB_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618382,36,HWC36_gp36,SEA_STAB_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618383,37,HWC36_gp37,SEA_STAB_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618384,38,HWC36_gp38,SEA_STAB_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618385,39,HWC36_gp39,SEA_STAB_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2591204,55618386,40,HWC36_gp40,SEA_STAB_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618387,41,HWC36_gp41,SEA_STAB_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591204,55618388,42,HWC36_gp42,SEA_STAB_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591204,55618389,43,HWC36_gp43,SEA_STAB_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2591204,55618390,44,HWC36_gp44,SEA_STAB_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618391,45,HWC36_gp45,SEA_STAB_45,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20201119,-
2591204,55618392,46,HWC36_gp46,SEA_STAB_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2591204,55618393,47,HWC36_gp47,SEA_STAB_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591204,55618394,48,HWC36_gp48,SEA_STAB_48,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20201119,-
2591204,55618395,49,HWC36_gp49,SEA_STAB_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591204,55618396,50,HWC36_gp50,SEA_STAB_50,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20201117,-
2591204,55618397,51,HWC36_gp51,SEA_STAB_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618398,52,HWC36_gp52,SEA_STAB_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618399,53,HWC36_gp53,SEA_STAB_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618400,54,HWC36_gp54,SEA_STAB_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618401,55,HWC36_gp55,SEA_STAB_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618402,56,HWC36_gp56,SEA_STAB_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618403,57,HWC36_gp57,SEA_STAB_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618404,58,HWC36_gp58,SEA_STAB_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2591204,55618405,59,HWC36_gp59,SEA_STAB_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618406,60,HWC36_gp60,SEA_STAB_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55618407,61,HWC36_gt01,SEA_STAB_61,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2591204,55618408,62,HWC36_gp61,SEA_STAB_62,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2591204,55618409,1,HWC36_gp01,SEA_STAB_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2591204,55636010,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
