#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182347,65113031,2,KNT89_gp02,PBI_PETRA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2182347,65113073,44,KNT89_gp44,PBI_PETRA_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113074,45,KNT89_gp45,PBI_PETRA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113075,46,KNT89_gp46,PBI_PETRA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113076,47,KNT89_gp47,PBI_PETRA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113077,48,KNT89_gp48,PBI_PETRA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113078,49,KNT89_gp49,PBI_PETRA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113079,50,KNT89_gp50,PBI_PETRA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113080,51,KNT89_gp51,PBI_PETRA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113081,52,KNT89_gp52,PBI_PETRA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113082,53,KNT89_gp53,PBI_PETRA_53,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210607,-
2182347,65113083,54,KNT89_gp54,PBI_PETRA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113084,55,KNT89_gp55,PBI_PETRA_55,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2182347,65113085,56,KNT89_gp56,PBI_PETRA_56,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2182347,65113086,57,KNT89_gp57,PBI_PETRA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113087,58,KNT89_gp58,PBI_PETRA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113088,59,KNT89_gp59,PBI_PETRA_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113089,60,KNT89_gp60,PBI_PETRA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113090,61,KNT89_gp61,PBI_PETRA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113091,62,KNT89_gp62,PBI_PETRA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113092,63,KNT89_gp63,PBI_PETRA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113093,64,KNT89_gp64,PBI_PETRA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113094,65,KNT89_gp65,PBI_PETRA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113095,66,KNT89_gp66,PBI_PETRA_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113096,67,KNT89_gp67,PBI_PETRA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113097,68,KNT89_gp68,PBI_PETRA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113098,69,KNT89_gp69,PBI_PETRA_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2182347,65113099,70,KNT89_gp70,PBI_PETRA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113100,71,KNT89_gp71,PBI_PETRA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113101,72,KNT89_gp72,PBI_PETRA_72,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2182347,65113102,73,KNT89_gp73,PBI_PETRA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113103,74,KNT89_gp74,PBI_PETRA_74,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2182347,65113104,75,KNT89_gp75,PBI_PETRA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113105,76,KNT89_gp76,PBI_PETRA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113106,77,KNT89_gp77,PBI_PETRA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113107,78,KNT89_gp78,PBI_PETRA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113108,79,KNT89_gp79,PBI_PETRA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113109,80,KNT89_gp80,PBI_PETRA_80,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2182347,65113110,81,KNT89_gp81,PBI_PETRA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113111,82,KNT89_gp82,PBI_PETRA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113112,83,KNT89_gp83,PBI_PETRA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113113,84,KNT89_gp84,PBI_PETRA_84,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2182347,65113114,85,KNT89_gp85,PBI_PETRA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113115,86,KNT89_gp86,PBI_PETRA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113116,87,KNT89_gp87,PBI_PETRA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113117,88,KNT89_gp88,PBI_PETRA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2182347,65113118,89,KNT89_gp89,PBI_PETRA_89,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2182347,65113119,1,KNT89_gp01,PBI_PETRA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2182347,65242814,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
