#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2099640,60332133,2,I5H72_gp002,SEA_OGOPOGO_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2099640,60332194,63,I5H72_gp063,SEA_OGOPOGO_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332195,64,I5H72_gp064,SEA_OGOPOGO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2099640,60332196,65,I5H72_gp065,SEA_OGOPOGO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332197,66,I5H72_gp066,SEA_OGOPOGO_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332198,67,I5H72_gp067,SEA_OGOPOGO_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332199,68,I5H72_gp068,SEA_OGOPOGO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332200,69,I5H72_gp069,SEA_OGOPOGO_69,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210417,-
2099640,60332201,70,I5H72_gp070,SEA_OGOPOGO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332202,71,I5H72_gp071,SEA_OGOPOGO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332203,72,I5H72_gp072,SEA_OGOPOGO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332204,73,I5H72_gp073,SEA_OGOPOGO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332205,74,I5H72_gp074,SEA_OGOPOGO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332206,75,I5H72_gp075,SEA_OGOPOGO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332207,76,I5H72_gp076,SEA_OGOPOGO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332208,77,I5H72_gp077,SEA_OGOPOGO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332209,78,I5H72_gp078,SEA_OGOPOGO_78,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2099640,60332210,79,I5H72_gp079,SEA_OGOPOGO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332211,80,I5H72_gp080,SEA_OGOPOGO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332212,81,I5H72_gp081,SEA_OGOPOGO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332213,82,I5H72_gp082,SEA_OGOPOGO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332214,83,I5H72_gp083,SEA_OGOPOGO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332215,84,I5H72_gp084,SEA_OGOPOGO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332216,85,I5H72_gp085,SEA_OGOPOGO_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332217,86,I5H72_gp086,SEA_OGOPOGO_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332218,87,I5H72_gp087,SEA_OGOPOGO_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332219,88,I5H72_gp088,SEA_OGOPOGO_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332220,89,I5H72_gp089,SEA_OGOPOGO_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332221,90,I5H72_gp090,SEA_OGOPOGO_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332222,91,I5H72_gp091,SEA_OGOPOGO_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332223,92,I5H72_gp092,SEA_OGOPOGO_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332224,93,I5H72_gp093,SEA_OGOPOGO_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332225,94,I5H72_gp094,SEA_OGOPOGO_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332226,95,I5H72_gp095,SEA_OGOPOGO_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332227,96,I5H72_gp096,SEA_OGOPOGO_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332228,97,I5H72_gp097,SEA_OGOPOGO_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332229,98,I5H72_gp098,SEA_OGOPOGO_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332230,99,I5H72_gp099,SEA_OGOPOGO_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332231,100,I5H72_gp100,SEA_OGOPOGO_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332232,101,I5H72_gp101,SEA_OGOPOGO_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332233,102,I5H72_gp102,SEA_OGOPOGO_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332234,103,I5H72_gp103,SEA_OGOPOGO_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332235,104,I5H72_gp104,SEA_OGOPOGO_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332236,105,I5H72_gp105,SEA_OGOPOGO_105,-,-,-,polypeptide N-acetylgalactosaminyl transferase,protein-coding,-,-,-,polypeptide N-acetylgalactosaminyl transferase,20210417,-
2099640,60332237,106,I5H72_gp106,SEA_OGOPOGO_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332238,107,I5H72_gp107,SEA_OGOPOGO_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332239,108,I5H72_gp108,SEA_OGOPOGO_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332240,109,I5H72_gp109,SEA_OGOPOGO_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60332241,110,I5H72_gp110,SEA_OGOPOGO_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2099640,60332242,1,I5H72_gp001,SEA_OGOPOGO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2099640,60338645,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
