#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2250319,54997724,2,HOT72_gp002,SEA_APRICOT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210403,-
2250319,54997745,23,HOT72_gp023,SEA_APRICOT_23,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2250319,54997746,24,HOT72_gp024,SEA_APRICOT_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997747,25,HOT72_gp025,SEA_APRICOT_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997748,26,HOT72_gp026,SEA_APRICOT_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997749,27,HOT72_gp027,SEA_APRICOT_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2250319,54997750,28,HOT72_gp028,SEA_APRICOT_28,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2250319,54997751,29,HOT72_gp029,SEA_APRICOT_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997752,30,HOT72_gp030,SEA_APRICOT_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997753,31,HOT72_gp031,SEA_APRICOT_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997754,32,HOT72_gp032,SEA_APRICOT_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997755,33,HOT72_gp033,SEA_APRICOT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997756,34,HOT72_gp034,SEA_APRICOT_34,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20210403,-
2250319,54997757,35,HOT72_gp035,SEA_APRICOT_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997758,36,HOT72_gp036,SEA_APRICOT_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997759,37,HOT72_gp037,SEA_APRICOT_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997760,38,HOT72_gp038,SEA_APRICOT_38,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
2250319,54997761,39,HOT72_gp039,SEA_APRICOT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997762,40,HOT72_gp040,SEA_APRICOT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997763,41,HOT72_gp041,SEA_APRICOT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997764,42,HOT72_gp042,SEA_APRICOT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997765,43,HOT72_gp043,SEA_APRICOT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997766,44,HOT72_gp044,SEA_APRICOT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997767,45,HOT72_gp045,SEA_APRICOT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997768,47,HOT72_gp047,SEA_APRICOT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997769,48,HOT72_gp048,SEA_APRICOT_48,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
2250319,54997770,49,HOT72_gp049,SEA_APRICOT_49,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2250319,54997771,50,HOT72_gp050,SEA_APRICOT_50,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2250319,54997772,51,HOT72_gp051,SEA_APRICOT_51,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
2250319,54997773,52,HOT72_gp052,SEA_APRICOT_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210403,-
2250319,54997774,53,HOT72_gp053,SEA_APRICOT_53,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
2250319,54997775,54,HOT72_gp054,SEA_APRICOT_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2250319,54997776,55,HOT72_gp055,SEA_APRICOT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997777,56,HOT72_gp056,SEA_APRICOT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997778,57,HOT72_gp057,SEA_APRICOT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997779,58,HOT72_gp058,SEA_APRICOT_58,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210403,-
2250319,54997780,59,HOT72_gp059,SEA_APRICOT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997781,60,HOT72_gp060,SEA_APRICOT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997782,61,HOT72_gp061,SEA_APRICOT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997783,62,HOT72_gp062,SEA_APRICOT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997784,63,HOT72_gp063,SEA_APRICOT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997785,64,HOT72_gp064,SEA_APRICOT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997786,65,HOT72_gp065,SEA_APRICOT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997787,66,HOT72_gp066,SEA_APRICOT_66,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2250319,54997788,67,HOT72_gp067,SEA_APRICOT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997789,68,HOT72_gp068,SEA_APRICOT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997790,69,HOT72_gp069,SEA_APRICOT_69,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210403,-
2250319,54997791,70,HOT72_gp070,SEA_APRICOT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997792,71,HOT72_gp071,SEA_APRICOT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997793,72,HOT72_gp072,SEA_APRICOT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2250319,54997794,73,HOT72_gp073,SEA_APRICOT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997795,74,HOT72_gp074,SEA_APRICOT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997796,75,HOT72_gp075,SEA_APRICOT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997797,76,HOT72_gp076,SEA_APRICOT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997798,77,HOT72_gp077,SEA_APRICOT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997799,78,HOT72_gp078,SEA_APRICOT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997800,79,HOT72_gp079,SEA_APRICOT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997801,80,HOT72_gp080,SEA_APRICOT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997802,81,HOT72_gp081,SEA_APRICOT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997803,82,HOT72_gp082,SEA_APRICOT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997804,83,HOT72_gp083,SEA_APRICOT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997805,84,HOT72_gp084,SEA_APRICOT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997806,85,HOT72_gp085,SEA_APRICOT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997807,86,HOT72_gp086,SEA_APRICOT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997808,87,HOT72_gp087,SEA_APRICOT_87,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210403,-
2250319,54997809,88,HOT72_gp088,SEA_APRICOT_88,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201221,-
2250319,54997810,89,HOT72_gp089,SEA_APRICOT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997811,90,HOT72_gp090,SEA_APRICOT_90,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20210403,-
2250319,54997812,91,HOT72_gp091,SEA_APRICOT_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997813,92,HOT72_gp092,SEA_APRICOT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997814,93,HOT72_gp093,SEA_APRICOT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997815,94,HOT72_gp094,SEA_APRICOT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997816,95,HOT72_gp095,SEA_APRICOT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997817,96,HOT72_gp096,SEA_APRICOT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997818,97,HOT72_gp097,SEA_APRICOT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997819,98,HOT72_gp098,SEA_APRICOT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997820,99,HOT72_gp099,SEA_APRICOT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997821,100,HOT72_gp100,SEA_APRICOT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997822,101,HOT72_gp101,SEA_APRICOT_101,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2250319,54997823,46,HOT72_gp046,SEA_APRICOT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,54997824,1,HOT72_gp001,SEA_APRICOT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2250319,55154032,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200518,-
