#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
637730,8683579,orf00002,phiSboM-AG3_gp002,-,-,-,-,RIIB protein,protein-coding,-,-,-,RIIB protein,20200909,-
637730,8683675,orf00110,phiSboM-AG3_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683676,orf00111,phiSboM-AG3_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683677,orf00112,phiSboM-AG3_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683678,orf00113,phiSboM-AG3_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683679,orf00114,phiSboM-AG3_gp102,-,-,-,-,Vs.1 conserved hypothetical protein,protein-coding,-,-,-,Vs.1 conserved hypothetical protein,20200909,-
637730,8683680,orf00114.1,phiSboM-AG3_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683681,orf00115,phiSboM-AG3_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683682,orf00116,phiSboM-AG3_gp105,-,-,-,-,NrdA.1 conserved hypothetical protein,protein-coding,-,-,-,NrdA.1 conserved hypothetical protein,20210123,-
637730,8683683,orf00117,phiSboM-AG3_gp106,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683684,orf00119,phiSboM-AG3_gp107,-,-,-,-,Gp46 recombination endonuclease subunit,protein-coding,-,-,-,Gp46 recombination endonuclease subunit,20200909,-
637730,8683685,orf00121,phiSboM-AG3_gp108,-,-,-,-,Gp47 recombination protein subunit,protein-coding,-,-,-,Gp47 recombination protein subunit,20200909,-
637730,8683686,orf00122,phiSboM-AG3_gp109,-,-,-,-,Gp55 T4-like sigma factor involved in late transcription,protein-coding,-,-,-,Gp55 T4-like sigma factor involved in late transcription,20200909,-
637730,8683687,orf00123,phiSboM-AG3_gp110,-,-,-,-,putative ribonuclease HI,protein-coding,-,-,-,putative ribonuclease HI,20200909,-
637730,8683688,orf00124,phiSboM-AG3_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683689,orf00125,phiSboM-AG3_gp112,-,-,-,-,putative ATP-dependent helicase,protein-coding,-,-,-,putative ATP-dependent helicase,20200909,-
637730,8683690,orf00127,phiSboM-AG3_gp113,-,-,-,-,putative DNA-binding protein,protein-coding,-,-,-,putative DNA-binding protein,20200909,-
637730,8683691,orf00128,phiSboM-AG3_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683692,orf00129,phiSboM-AG3_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683693,orf00130,phiSboM-AG3_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683694,orf00131,phiSboM-AG3_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683695,orf00132,phiSboM-AG3_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683696,orf00133,phiSboM-AG3_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683697,orf00134,phiSboM-AG3_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683698,orf00135,phiSboM-AG3_gp121,-,-,-,-,hypothetical membrane protein,protein-coding,-,-,-,hypothetical membrane protein,20200909,-
637730,8683699,orf00136,phiSboM-AG3_gp122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683700,orf00137,phiSboM-AG3_gp123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683701,orf00138,phiSboM-AG3_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683702,orf00139,phiSboM-AG3_gp125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683703,orf00141,phiSboM-AG3_gp126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
637730,8683704,orf00144,phiSboM-AG3_gp127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683705,orf00146,phiSboM-AG3_gp128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683706,orf00147,phiSboM-AG3_gp129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683707,orf00149,phiSboM-AG3_gp130,-,-,-,-,putative nicotinamide phosphoribosyl transferase,protein-coding,-,-,-,putative nicotinamide phosphoribosyl transferase,20200909,-
637730,8683708,orf00152,phiSboM-AG3_gp131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683709,orf00153,phiSboM-AG3_gp132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683710,orf00155,phiSboM-AG3_gp133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683711,orf00158,phiSboM-AG3_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683712,orf00160,phiSboM-AG3_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683713,orf00161,phiSboM-AG3_gp136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683714,orf00162,phiSboM-AG3_gp137,-,-,-,-,RegA translational repressor protein,protein-coding,-,-,-,RegA translational repressor protein,20200909,-
637730,8683715,orf00163,phiSboM-AG3_gp138,-,-,-,-,Gp62 clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,Gp62 clamp loader subunit DNA polymerase accessory protein,20210123,-
637730,8683716,orf00164,phiSboM-AG3_gp139,-,-,-,-,Gp44 clamp loader subunit DNA polymerase accessory protein,protein-coding,-,-,-,Gp44 clamp loader subunit DNA polymerase accessory protein,20200909,-
637730,8683717,orf00165,phiSboM-AG3_gp140,-,-,-,-,Gp45 sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,Gp45 sliding clamp DNA polymerase accessory protein,20200909,-
637730,8683718,orf00166,phiSboM-AG3_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683719,orf00168,phiSboM-AG3_gp142,-,-,-,-,RNA-DNA and DNA-DNA helicase UvsW,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase UvsW,20200909,-
637730,8683720,orf00169,phiSboM-AG3_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683721,orf00170,phiSboM-AG3_gp144,-,-,-,-,putative DNA repair/recombination protein UvsY,protein-coding,-,-,-,putative DNA repair/recombination protein UvsY,20210123,-
637730,8683722,orf00171,phiSboM-AG3_gp145,-,-,-,-,Gp3 tail completion and sheath stabilizer protein,protein-coding,-,-,-,Gp3 tail completion and sheath stabilizer protein,20200909,-
637730,8683723,orf00172,phiSboM-AG3_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683724,orf00174,phiSboM-AG3_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683725,orf00175,phiSboM-AG3_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683726,orf00176,phiSboM-AG3_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683727,orf00177,phiSboM-AG3_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683728,orf00178,phiSboM-AG3_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683729,orf00179,phiSboM-AG3_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683730,orf00180,phiSboM-AG3_gp153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683731,orf00181,phiSboM-AG3_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683732,orf00182,phiSboM-AG3_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683733,orf00183,phiSboM-AG3_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683734,orf00184,phiSboM-AG3_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683735,orf00185,phiSboM-AG3_gp158,-,-,-,-,Gp23 major head protein,protein-coding,-,-,-,Gp23 major head protein,20210406,-
637730,8683736,orf00186,phiSboM-AG3_gp159,-,-,-,-,Gp22 prohead core protein,protein-coding,-,-,-,Gp22 prohead core protein,20200909,-
637730,8683737,orf00188,phiSboM-AG3_gp160,-,-,-,-,Gp21 prohead core scaffold and protease,protein-coding,-,-,-,Gp21 prohead core scaffold and protease,20200909,-
637730,8683738,orf00189,phiSboM-AG3_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683739,orf00190,phiSboM-AG3_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683740,orf00191,phiSboM-AG3_gp163,-,-,-,-,Gp20 portal vertex protein of head,protein-coding,-,-,-,Gp20 portal vertex protein of head,20200909,-
637730,8683741,orf00192,phiSboM-AG3_gp164,-,-,-,-,Gp19 tail tube protein,protein-coding,-,-,-,Gp19 tail tube protein,20200909,-
637730,8683742,orf00195,phiSboM-AG3_gp165,-,-,-,-,Gp18 tail sheath protein,protein-coding,-,-,-,Gp18 tail sheath protein,20200909,-
637730,8683743,orf00196,phiSboM-AG3_gp166,-,-,-,-,Gp17 terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,Gp17 terminase DNA packaging enzyme large subunit,20200909,-
637730,8683744,orf00198,phiSboM-AG3_gp167,-,-,-,-,Gp16 terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,Gp16 terminase DNA packaging enzyme small subunit,20200909,-
637730,8683745,orf00199,phiSboM-AG3_gp168,-,-,-,-,Gp15 proximal tail sheath stabilization protein,protein-coding,-,-,-,Gp15 proximal tail sheath stabilization protein,20210123,-
637730,8683746,orf00200,phiSboM-AG3_gp169,-,-,-,-,Gp14 neck protein,protein-coding,-,-,-,Gp14 neck protein,20200909,-
637730,8683747,orf00201,phiSboM-AG3_gp170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683748,orf00202,phiSboM-AG3_gp171,-,-,-,-,Gp13 neck protein,protein-coding,-,-,-,Gp13 neck protein,20200909,-
637730,8683749,orf00203,phiSboM-AG3_gp172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683750,orf00204,phiSboM-AG3_gp173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683751,orf00206,phiSboM-AG3_gp174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683752,orf00207,phiSboM-AG3_gp175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683753,orf00210,phiSboM-AG3_gp176,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200909,-
637730,8683754,orf00212,phiSboM-AG3_gp177,-,-,-,-,tailspike protein,protein-coding,-,-,-,tailspike protein,20200909,-
637730,8683755,orf00213,phiSboM-AG3_gp178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683756,orf00214,phiSboM-AG3_gp179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683757,orf00215,phiSboM-AG3_gp180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683758,orf00217,phiSboM-AG3_gp181,-,-,-,-,Gp6 baseplate wedge subunit,protein-coding,-,-,-,Gp6 baseplate wedge subunit,20200909,-
637730,8683759,orf00218,phiSboM-AG3_gp182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683760,orf00219,phiSboM-AG3_gp183,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20201220,-
637730,8683761,orf00220,phiSboM-AG3_gp184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683762,orf00223,phiSboM-AG3_gp185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683763,orf00224,phiSboM-AG3_gp186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
637730,8683764,orf00225,phiSboM-AG3_gp187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
