#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
50948,1725270,hoc,RB49p168,-,-,-,-,Hoc head outer capsid protein,protein-coding,-,-,-,Hoc head outer capsid protein,20201220,-
50948,1725322,RB49p103,RB49p103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725323,48,RB49p180,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20201220,-
50948,1725324,49,RB49p061,-,-,-,-,recombination endonuclease VII,protein-coding,-,-,-,recombination endonuclease VII,20201220,-
50948,1725325,27,RB49p177,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201220,-
50948,1725326,RB49p045,RB49p045,55.2,-,-,-,gp55.2 conserved hypothetical protein,protein-coding,-,-,-,gp55.2 conserved hypothetical protein,20201220,-
50948,1725327,RB49p140,RB49p140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725328,RB49p268,RB49p268,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725329,44,RB49p029,-,-,-,-,"clamp loader, small subunit",protein-coding,-,-,-,"clamp loader, small subunit",20201220,-
50948,1725330,RB49p067,RB49p067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725331,nrdD,RB49p056,-,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20201220,-
50948,1725332,17,RB49p153,-,-,-,-,large terminase protein,protein-coding,-,-,-,large terminase protein,20201220,-
50948,1725333,RB49p196,RB49p196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725334,RB49p124,RB49p124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725335,RB49p104,RB49p104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725336,RB49p185,RB49p185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725337,td,RB49p235,-,-,-,-,dTMP (thymidylate) synthase,protein-coding,-,-,-,dTMP (thymidylate) synthase,20201220,-
50948,1725338,RB49p209,RB49p209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725339,43,RB49p026,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201220,-
50948,1725340,RB49p095,RB49p095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725341,RB49p247,RB49p247,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725342,RB49p215,RB49p215,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725343,RB49p090,RB49p090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725344,18,RB49p154,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201220,-
50948,1725345,30,RB49p213,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201220,-
50948,1725346,6,RB49p137,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
50948,1725347,16,RB49p152,-,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20201220,-
50948,1725348,25,RB49p174,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
50948,1725349,RB49p044,RB49p044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
50948,1725350,RB49p257,RB49p257,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725351,RB49p065,RB49p065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725352,nrdB,RB49p230,-,-,-,-,aerobic NDP reductase small subunit,protein-coding,-,-,-,aerobic NDP reductase small subunit,20201220,-
50948,1725353,9,RB49p144,-,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20201220,-
50948,1725354,RB49p109,RB49p109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725355,RB49p105,RB49p105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725356,34,RB49p248,-,-,-,-,"long tail fiber, proximal subunit",protein-coding,-,-,-,"long tail fiber, proximal subunit",20201220,-
50948,1725357,RB49p048,RB49p048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725358,RB49p166,RB49p166,24.3,-,-,-,gp24.3 conserved hypothetical protein,protein-coding,-,-,-,gp24.3 conserved hypothetical protein,20210212,-
50948,1725359,dsbA,RB49p244,-,-,-,-,double-stranded DNA binding protein,protein-coding,-,-,-,double-stranded DNA binding protein,20201220,-
50948,1725360,RB49p265,RB49p265,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725361,frd,RB49p238,-,-,-,-,dihydrofolate reductase,protein-coding,-,-,-,dihydrofolate reductase,20201220,-
50948,1725362,RB49p191,RB49p191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725363,RB49p258,RB49p258,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725364,39,RB49p006,60,-,-,-,DNA topoisomerase II large subunit,protein-coding,-,-,-,DNA topoisomerase II large subunit,20201220,-
50948,1725365,RB49p272,RB49p272,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725366,RB49p229,RB49p229,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
50948,1725367,RB49p054,RB49p054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725368,RB49p117,RB49p117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725369,RB49p055,RB49p055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725370,RB49p259,RB49p259,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725371,2,RB49p131,-,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20201220,-
50948,1725372,RB49p204,RB49p204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725373,RB49p007,RB49p007,39.2,-,-,-,gp39.2 conserved hypothetical protein,protein-coding,-,-,-,gp39.2 conserved hypothetical protein,20201220,-
50948,1725374,RB49p088,RB49p088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725375,RB49p237,RB49p237,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
50948,1725376,a-gt.4,RB49p041,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725377,67,RB49p157,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201220,-
50948,1725378,nrdC,RB49p062,-,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210212,-
50948,1725379,RB49p106,RB49p106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725380,RB49p226,RB49p226,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725381,RB49p147,RB49p147,12,-,-,-,gp12 Short tail fibers,protein-coding,-,-,-,gp12 Short tail fibers,20210212,-
50948,1725382,RB49p035,RB49p035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725383,3,RB49p129,-,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20201220,-
50948,1725384,RB49p113,RB49p113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725385,RB49p057,RB49p057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725386,RB49p059,RB49p059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725387,RB49p049,RB49p049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725388,RB49p194,RB49p194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725389,15,RB49p151,-,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20201220,-
50948,1725390,59,RB49p242,-,-,-,-,59 protein,protein-coding,-,-,-,59 protein,20201220,-
50948,1725391,RB49p210,RB49p210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725392,regB,RB49p094,-,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210212,-
50948,1725393,RB49p073,RB49p073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725394,RB49p255,RB49p255,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725395,RB49p233,RB49p233,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725396,RB49p208,RB49p208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725397,uvsW,RB49p170,-,-,-,-,UvsW helicase,protein-coding,-,-,-,UvsW helicase,20201220,-
50948,1725398,56,RB49p015,-,-,-,-,dCTP pyrophosphatase,protein-coding,-,-,-,dCTP pyrophosphatase,20201220,-
50948,1725399,RB49p077,RB49p077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725400,55,RB49p043,-,-,-,-,RNA polymerase sigma factor,protein-coding,-,-,-,RNA polymerase sigma factor,20201220,-
50948,1725401,rpbA,RB49p032,-,-,-,-,RpbA,protein-coding,-,-,-,RpbA,20201220,-
50948,1725402,RB49p231,RB49p231,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725403,RB49p228,RB49p228,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725404,RB49p053,RB49p053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725405,RB49p250,RB49p250,36,-,-,-,hinge connector of long tail fiber distal connector,protein-coding,-,-,-,hinge connector of long tail fiber distal connector,20201220,-
50948,1725406,RB49p051,RB49p051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725407,pseT.3,RB49p222,-,-,-,-,PseT.3 conserved hypothetical predicted membrane protein,protein-coding,-,-,-,PseT.3 conserved hypothetical predicted membrane protein,20201220,-
50948,1725408,32,RB49p241,-,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20201220,-
50948,1725409,vs.1,RB49p093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725410,nrdG,RB49p052,-,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20201220,-
50948,1725411,RB49p107,RB49p107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725412,RB49p212,RB49p212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725413,54,RB49p181,-,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20201220,-
50948,1725414,vs.8,RB49p101,-,-,-,-,Vs.8 conserved hypothetical protein,protein-coding,-,-,-,Vs.8 conserved hypothetical protein,20201220,-
50948,1725415,RB49p100,RB49p100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725416,RB49p270,RB49p270,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725417,dmd,RB49p123,-,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20201220,-
50948,1725418,45,RB49p030,-,-,-,-,sliding clamp,protein-coding,-,-,-,sliding clamp,20201220,-
50948,1725419,13,RB49p149,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201220,-
50948,1725420,dc5,RB49p253,-,-,-,-,Dc5,protein-coding,-,-,-,Dc5,20201220,-
50948,1725421,RB49p190,RB49p190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725422,4,RB49p132,-,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20201220,-
50948,1725423,denA,RB49p224,-,-,-,-,endonuclease II,protein-coding,-,-,-,endonuclease II,20201220,-
50948,1725424,RB49p175,RB49p175,26,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201220,-
50948,1725425,RB49p252,RB49p252,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725426,t,RB49p254,-,-,-,-,holin protein,protein-coding,-,-,-,holin protein,20201220,-
50948,1725427,uvsX; fdsA,RB49p024,-,-,-,-,UvsX,protein-coding,-,-,-,UvsX,20210212,-
50948,1725428,RB49p125,RB49p125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725429,RB49p167,RB49p167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725430,rI.-1,RB49p085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725431,RB49p274,RB49p274,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
50948,1725432,rnlA,RB49p223,-,-,-,-,RNA ligase A,protein-coding,-,-,-,RNA ligase A,20201220,-
50948,1725433,62,RB49p028,-,-,-,-,clamp loader small subunit,protein-coding,-,-,-,clamp loader small subunit,20201220,-
50948,1725434,RB49p199,RB49p199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725435,rI,RB49p086,-,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20201220,-
50948,1725436,RB49p232,RB49p232,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725437,RB49p112,RB49p112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725438,RB49p164,RB49p164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725439,RB49p143,RB49p143,-,-,-,-,putative methyltransferase,protein-coding,-,-,-,putative methyltransferase,20201220,-
50948,1725440,RB49p216,RB49p216,31,-,-,-,Gp31,protein-coding,-,-,-,Gp31,20201220,-
50948,1725441,RB49p192,RB49p192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725442,RB49p083,RB49p083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725443,RB49p264,RB49p264,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725444,RB49p108,RB49p108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725445,RB49p240,RB49p240,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725446,RB49p081,RB49p081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725447,RB49p114,RB49p114,55.3,-,-,-,gp55.3 conserved hypothetical protein,protein-coding,-,-,-,gp55.3 conserved hypothetical protein,20201220,-
50948,1725448,61,RB49p016,58a,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201220,-
50948,1725449,10,RB49p145,-,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20201220,-
50948,1725450,cd,RB49p218,-,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20201220,-
50948,1725451,RB49p236,RB49p236,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725452,RB49p119,RB49p119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725453,RB49p195,RB49p195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725454,frd.2,RB49p058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725455,RB49p207,RB49p207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725456,RB49p075,RB49p075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725457,modB,RB49p014,-,-,-,-,ModB ADP-ribosylase,protein-coding,-,-,-,ModB ADP-ribosylase,20201220,-
50948,1725458,RB49p136,RB49p136,5.4,-,-,-,gp5.4 conserved hypothetical protein,protein-coding,-,-,-,gp5.4 conserved hypothetical protein,20201220,-
50948,1725459,rIIB,RB49p273,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20201220,-
50948,1725460,RB49p197,RB49p197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725461,7,RB49p138,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
50948,1725462,dc2,RB49p021,-,-,-,-,Dc2,protein-coding,-,-,-,Dc2,20201220,-
50948,1725463,RB49p263,RB49p263,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725464,RB49p188,RB49p188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725465,RB49p227,RB49p227,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725466,RB49p206,RB49p206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725467,RB49p068,RB49p068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725468,53,RB49p133,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
50948,1725469,alt,RB49p184,-,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20201220,-
50948,1725470,tk,RB49p087,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201220,-
50948,1725471,RB49p084,RB49p084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725472,RB49p271,RB49p271,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725473,RB49p010,RB49p010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725474,RB49p141,RB49p141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725475,RB49p074,RB49p074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725476,RB49p165,RB49p165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725477,RB49p262,RB49p262,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725478,RB49p142,RB49p142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725479,RB49p251,RB49p251,37,-,-,-,large distal tail fiber subunit,protein-coding,-,-,-,large distal tail fiber subunit,20201220,-
50948,1725480,RB49p031,RB49p031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725481,RB49p203,RB49p203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725482,RB49p023,RB49p023,40,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20201220,-
50948,1725483,RB49p079,RB49p079,38,-,-,-,distal long tail fiber assembly catalyst,protein-coding,-,-,-,distal long tail fiber assembly catalyst,20201220,-
50948,1725484,RB49p089,RB49p089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725485,RB49p205,RB49p205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
50948,1725486,pseT,RB49p220,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20201220,-
50948,1725487,68,RB49p158,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201220,-
50948,1725488,RB49p066,RB49p066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
