#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2530132,64367817,2,KD930_gp02,SEA_KEVIN1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210423,-
2530132,64367838,23,KD930_gp23,SEA_KEVIN1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367839,24,KD930_gp24,SEA_KEVIN1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367840,25,KD930_gp25,SEA_KEVIN1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367841,26,KD930_gp26,SEA_KEVIN1_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210423,-
2530132,64367842,27,KD930_gp27,SEA_KEVIN1_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210423,-
2530132,64367843,28,KD930_gp28,SEA_KEVIN1_28,-,-,-,holin,protein-coding,-,-,-,holin,20210423,-
2530132,64367844,29,KD930_gp29,SEA_KEVIN1_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367845,30,KD930_gp30,SEA_KEVIN1_30,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210423,-
2530132,64367846,31,KD930_gp31,SEA_KEVIN1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367847,32,KD930_gp32,SEA_KEVIN1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367848,33,KD930_gp33,SEA_KEVIN1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367849,34,KD930_gp34,SEA_KEVIN1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367850,35,KD930_gp35,SEA_KEVIN1_35,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210423,-
2530132,64367851,36,KD930_gp36,SEA_KEVIN1_36,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210423,-
2530132,64367852,37,KD930_gp37,SEA_KEVIN1_37,-,-,-,excise,protein-coding,-,-,-,excise,20210423,-
2530132,64367853,38,KD930_gp38,SEA_KEVIN1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367854,39,KD930_gp39,SEA_KEVIN1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367855,40,KD930_gp40,SEA_KEVIN1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367856,41,KD930_gp41,SEA_KEVIN1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367857,42,KD930_gp42,SEA_KEVIN1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367858,43,KD930_gp43,SEA_KEVIN1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367859,44,KD930_gp44,SEA_KEVIN1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367860,45,KD930_gp45,SEA_KEVIN1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367861,46,KD930_gp46,SEA_KEVIN1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367862,47,KD930_gp47,SEA_KEVIN1_47,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210423,-
2530132,64367863,48,KD930_gp48,SEA_KEVIN1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367864,49,KD930_gp49,SEA_KEVIN1_49,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20210423,-
2530132,64367865,50,KD930_gp50,SEA_KEVIN1_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210423,-
2530132,64367866,51,KD930_gp51,SEA_KEVIN1_51,-,-,-,holliday junction resolvase,protein-coding,-,-,-,holliday junction resolvase,20210423,-
2530132,64367867,52,KD930_gp52,SEA_KEVIN1_52,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210423,-
2530132,64367868,53,KD930_gp53,SEA_KEVIN1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367869,54,KD930_gp54,SEA_KEVIN1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367870,55,KD930_gp55,SEA_KEVIN1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367871,56,KD930_gp56,SEA_KEVIN1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367872,57,KD930_gp57,SEA_KEVIN1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367873,58,KD930_gp58,SEA_KEVIN1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367874,59,KD930_gp59,SEA_KEVIN1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367875,60,KD930_gp60,SEA_KEVIN1_60,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2530132,64367876,61,KD930_gp61,SEA_KEVIN1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367877,62,KD930_gp62,SEA_KEVIN1_62,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210423,-
2530132,64367878,63,KD930_gp63,SEA_KEVIN1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367879,64,KD930_gp64,SEA_KEVIN1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367880,65,KD930_gp65,SEA_KEVIN1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367881,66,KD930_gp66,SEA_KEVIN1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367882,67,KD930_gp67,SEA_KEVIN1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367883,68,KD930_gp68,SEA_KEVIN1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64367884,69,KD930_gp69,SEA_KEVIN1_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210423,-
2530132,64367885,1,KD930_gp01,SEA_KEVIN1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210423,-
2530132,64409749,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210426,-
