#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10493,2947735,FV3gorf15R,FV3gorf15R,-,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20201220,-
10493,2947762,FV3gorf62L,FV3gorf62L,-,-,-,-,"DNA-dependent RNA polymerase II second largest subunit domain 6,7,3,2 beta subunit",protein-coding,-,-,-,"DNA-dependent RNA polymerase II second largest subunit domain 6,7,3,2 beta subunit",20201220,-
10493,2947763,FV3gorf63R,FV3gorf63R,-,-,-,-,putative dUTPase-like protein,protein-coding,-,-,-,putative dUTPase-like protein,20210417,-
10493,2947764,FV3gorf64R,FV3gorf64R,-,-,-,-,putative interleukin-1 beta convertase precursor,protein-coding,-,-,-,putative interleukin-1 beta convertase precursor,20201220,-
10493,2947765,FV3gorf65L,FV3gorf65L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947766,FV3gorf66L,FV3gorf66L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947767,FV3gorf67L,FV3gorf67L,-,-,-,-,ribonucleoside diphosphate reductase beta subunit-like protein,protein-coding,-,-,-,ribonucleoside diphosphate reductase beta subunit-like protein,20201220,-
10493,2947768,FV3gorf68R,FV3gorf68R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947769,FV3gorf69R,FV3gorf69R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947770,FV3gorf70R,FV3gorf70R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947771,FV3gorf71R,FV3gorf71R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947772,FV3gorf72L,FV3gorf72L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947773,FV3gorf1R,FV3gorf1R,-,-,-,-,putative replicating factor,protein-coding,-,-,-,putative replicating factor,20201220,-
10493,2947774,FV3gorf2L,FV3gorf2L,-,-,-,-,putative myristylated membrane protein,protein-coding,-,-,-,putative myristylated membrane protein,20201220,-
10493,2947775,FV3gorf3R,FV3gorf3R,-,-,-,-,orf229L protein-like protein,protein-coding,-,-,-,orf229L protein-like protein,20201220,-
10493,2947776,FV3gorf4R,FV3gorf4R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947777,FV3gorf5R,FV3gorf5R,-,-,-,-,orf250-like protein,protein-coding,-,-,-,orf250-like protein,20201220,-
10493,2947778,FV3gorf6R,FV3gorf6R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947779,FV3gorf7R,FV3gorf7R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947780,FV3gorf8R,FV3gorf8R,-,-,-,-,DNA-dependent RNA polymerase II largest sub-unit,protein-coding,-,-,-,DNA-dependent RNA polymerase II largest sub-unit,20200629,-
10493,2947781,FV3gorf9L,FV3gorf9L,-,-,-,-,putative NTPase,protein-coding,-,-,-,putative NTPase,20201220,-
10493,2947782,FV3gorf10R,FV3gorf10R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947783,FV3gorf11R,FV3gorf11R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947784,FV3gorf12L,FV3gorf12L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947785,FV3gorf13R,FV3gorf13R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947786,FV3gorf14R,FV3gorf14R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947787,FV3gorf94L,FV3gorf94L,-,-,-,-,P8.141C-like protein,protein-coding,-,-,-,P8.141C-like protein,20210417,-
10493,2947788,FV3gorf95R,FV3gorf95R,-,-,-,-,putative DNA repair protein RAD2,protein-coding,-,-,-,putative DNA repair protein RAD2,20200629,-
10493,2947789,FV3gorf96R,FV3gorf96R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947790,FV3gorf97R,FV3gorf97R,-,-,-,-,putative myeloid cell leukemia protein,protein-coding,-,-,-,putative myeloid cell leukemia protein,20200629,-
10493,2947791,FV3gorf98R,FV3gorf98R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947792,FV3gorf73L,FV3gorf73L,-,-,-,-,putative NTPase/helicase-like protein,protein-coding,-,-,-,putative NTPase/helicase-like protein,20201220,-
10493,2947793,FV3gorf74L,FV3gorf74L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947794,FV3gorf75L,FV3gorf75L,-,-,-,-,putative LITAF/PIG7 possible membrane associated motif in LPS-induced tumor necrosis factor alpha factor,protein-coding,-,-,-,putative LITAF/PIG7 possible membrane associated motif in LPS-induced tumor necrosis factor alpha factor,20210417,-
10493,2947795,FV3gorf76R,FV3gorf76R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947796,FV3gorf77L,FV3gorf77L,-,-,-,-,LCDV1 orf2-like protein,protein-coding,-,-,-,LCDV1 orf2-like protein,20201220,-
10493,2947797,FV3gorf78L,FV3gorf78L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947798,FV3gorf79R,FV3gorf79R,-,-,-,-,putative ATPase-dependent protease,protein-coding,-,-,-,putative ATPase-dependent protease,20200629,-
10493,2947799,FV3gorf80L,FV3gorf80L,-,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20201220,-
10493,2947800,FV3gorf81R,FV3gorf81R,-,-,-,-,transcription elongation factor SII,protein-coding,-,-,-,transcription elongation factor SII,20210417,-
10493,2947801,FV3gorf82R,FV3gorf82R,-,-,-,-,immediate early protein ICP-18,protein-coding,-,-,-,immediate early protein ICP-18,20201220,-
10493,2947802,FV3gorf83R,FV3gorf83R,-,-,-,-,cytosine DNA methyltransferase,protein-coding,-,-,-,cytosine DNA methyltransferase,20201220,-
10493,2947803,FV3gorf84R,FV3gorf84R,-,-,-,-,LCDV1-like proliferating cell nuclear antigen,protein-coding,-,-,-,LCDV1-like proliferating cell nuclear antigen,20201220,-
10493,2947804,FV3gorf85R,FV3gorf85R,-,-,-,-,putative deoxynucleoside kinase,protein-coding,-,-,-,putative deoxynucleoside kinase,20201220,-
10493,2947805,FV3gorf86L,FV3gorf86L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947806,FV3gorf87L,FV3gorf87L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947807,FV3gorf88R,FV3gorf88R,-,-,-,-,ERV1/ALR-related protein,protein-coding,-,-,-,ERV1/ALR-related protein,20201220,-
10493,2947808,FV3gorf89R,FV3gorf89R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947809,FV3gorf90R,FV3gorf90R,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201220,-
10493,2947810,FV3gorf91R,FV3gorf91R,-,-,-,-,immediate early protein ICP-46,protein-coding,-,-,-,immediate early protein ICP-46,20200629,-
10493,2947811,FV3gorf92R,FV3gorf92R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947812,FV3gorf93L,FV3gorf93L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947813,FV3gorf34R,FV3gorf34R,-,-,-,-,L-protein-like protein,protein-coding,-,-,-,L-protein-like protein,20201220,-
10493,2947814,FV3gorf35L,FV3gorf35L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947815,FV3gorf36L,FV3gorf36L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947816,FV3gorf37R,FV3gorf37R,-,-,-,-,putative NIF/NLI interacting factor,protein-coding,-,-,-,putative NIF/NLI interacting factor,20210417,-
10493,2947817,FV3gorf38R,FV3gorf38R,-,-,-,-,ribonucleoside diphosphate reductase alpha subunit barrel domain,protein-coding,-,-,-,ribonucleoside diphosphate reductase alpha subunit barrel domain,20201220,-
10493,2947818,FV3gorf39R,FV3gorf39R,-,-,-,-,putative hydrolase of the metallo-beta-lactamase superfamily,protein-coding,-,-,-,putative hydrolase of the metallo-beta-lactamase superfamily,20201220,-
10493,2947819,FV3gorf40R,FV3gorf40R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947820,FV3gorf41R,FV3gorf41R,-,-,-,-,orf2-like protein,protein-coding,-,-,-,orf2-like protein,20200629,-
10493,2947821,FV3gorf42L,FV3gorf42L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947822,FV3gorf43R,FV3gorf43R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947823,FV3gorf44R,FV3gorf44R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947824,FV3gorf45L,FV3gorf45L,-,-,-,-,orf88-like protein,protein-coding,-,-,-,orf88-like protein,20210417,-
10493,2947825,FV3gorf46L,FV3gorf46L,-,-,-,-,neurofilament triplet H1-like protein,protein-coding,-,-,-,neurofilament triplet H1-like protein,20200629,-
10493,2947826,FV3gorf47L,FV3gorf47L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947827,FV3gorf48L,FV3gorf48L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947828,FV3gorf49L,FV3gorf49L,-,-,-,-,orf58-like protein,protein-coding,-,-,-,orf58-like protein,20201220,-
10493,2947829,FV3gorf50L,FV3gorf50L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
10493,2947830,FV3gorf51R,FV3gorf51R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
10493,2947831,FV3gorf52L,FV3gorf52L,-,-,-,-,putative 3-beta-hydroxy-delta 5-C27 steroid oxidoreductase-like protein,protein-coding,-,-,-,putative 3-beta-hydroxy-delta 5-C27 steroid oxidoreductase-like protein,20210417,-
10493,2947832,FV3gorf53R,FV3gorf53R,-,-,-,-,orf20-like protein,protein-coding,-,-,-,orf20-like protein,20201220,-
10493,2947833,FV3gorf54L,FV3gorf54L,-,-,-,-,putative nuclear calmodulin-binding protein,protein-coding,-,-,-,putative nuclear calmodulin-binding protein,20201220,-
10493,3293239,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Frog virus 3 iridovirus; frog virus 3 FV3; frog virus 3, FV3).",other,-,-,-,-,20200513,-
