#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483666,65116847,2,KNU18_gp02,SEA_BIBWIT_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483666,65116884,39,KNU18_gp39,SEA_BIBWIT_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116885,40,KNU18_gp40,SEA_BIBWIT_40,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2483666,65116886,41,KNU18_gp41,SEA_BIBWIT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116887,42,KNU18_gp42,SEA_BIBWIT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116888,43,KNU18_gp43,SEA_BIBWIT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116889,44,KNU18_gp44,SEA_BIBWIT_44,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2483666,65116890,45,KNU18_gp45,SEA_BIBWIT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116891,46,KNU18_gp46,SEA_BIBWIT_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210607,-
2483666,65116892,47,KNU18_gp47,SEA_BIBWIT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116893,48,KNU18_gp48,SEA_BIBWIT_48,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2483666,65116894,49,KNU18_gp49,SEA_BIBWIT_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210607,-
2483666,65116895,50,KNU18_gp50,SEA_BIBWIT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116896,51,KNU18_gp51,SEA_BIBWIT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116897,52,KNU18_gp52,SEA_BIBWIT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116898,53,KNU18_gp53,SEA_BIBWIT_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483666,65116899,54,KNU18_gp54,SEA_BIBWIT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116900,55,KNU18_gp55,SEA_BIBWIT_55,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483666,65116901,56,KNU18_gp56,SEA_BIBWIT_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116902,57,KNU18_gp57,SEA_BIBWIT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116903,58,KNU18_gp58,SEA_BIBWIT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116904,59,KNU18_gp59,SEA_BIBWIT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116905,60,KNU18_gp60,SEA_BIBWIT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2483666,65116906,61,KNU18_gp61,SEA_BIBWIT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116907,62,KNU18_gp62,SEA_BIBWIT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116908,63,KNU18_gp63,SEA_BIBWIT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116909,64,KNU18_gp64,SEA_BIBWIT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116910,65,KNU18_gp65,SEA_BIBWIT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116911,66,KNU18_gp66,SEA_BIBWIT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116912,67,KNU18_gp67,SEA_BIBWIT_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210607,-
2483666,65116913,68,KNU18_gp68,SEA_BIBWIT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116914,69,KNU18_gp69,SEA_BIBWIT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116915,70,KNU18_gp70,SEA_BIBWIT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116916,71,KNU18_gp71,SEA_BIBWIT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116917,72,KNU18_gp72,SEA_BIBWIT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116918,73,KNU18_gp73,SEA_BIBWIT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116919,74,KNU18_gp74,SEA_BIBWIT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116920,75,KNU18_gp75,SEA_BIBWIT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116921,76,KNU18_gp76,SEA_BIBWIT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116922,77,KNU18_gp77,SEA_BIBWIT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116923,78,KNU18_gp78,SEA_BIBWIT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116924,79,KNU18_gp79,SEA_BIBWIT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116925,80,KNU18_gp80,SEA_BIBWIT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116926,81,KNU18_gp81,SEA_BIBWIT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483666,65116927,82,KNU18_gp82,SEA_BIBWIT_82,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210607,-
2483666,65116928,83,KNU18_gp83,SEA_BIBWIT_83,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210607,-
2483666,65116929,1,KNU18_gp01,SEA_BIBWIT_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483666,65242950,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
