#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1540823,22807812,LSPA1_02,LSPA1_02,-,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20201221,-
1540823,22807838,LSPA1_28,LSPA1_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807839,LSPA1_29,LSPA1_29,-,-,-,-,enolase-like protein,protein-coding,-,-,-,enolase-like protein,20201221,-
1540823,22807840,LSPA1_30,LSPA1_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807841,LSPA1_31,LSPA1_31,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201221,-
1540823,22807842,LSPA1_32,LSPA1_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807843,LSPA1_33,LSPA1_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807844,LSPA1_34,LSPA1_34,-,-,-,-,putative helicase,protein-coding,-,-,-,putative helicase,20201221,-
1540823,22807845,LSPA1_35,LSPA1_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807846,LSPA1_36,LSPA1_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807847,LSPA1_37,LSPA1_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807848,LSPA1_38,LSPA1_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807849,LSPA1_39,LSPA1_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807850,LSPA1_40,LSPA1_40,-,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
1540823,22807851,LSPA1_41,LSPA1_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807852,LSPA1_42,LSPA1_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807853,LSPA1_43,LSPA1_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807854,LSPA1_44,LSPA1_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807855,LSPA1_45,LSPA1_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807856,LSPA1_46,LSPA1_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807857,LSPA1_47,LSPA1_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807858,LSPA1_48,LSPA1_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807859,LSPA1_49,LSPA1_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807860,LSPA1_50,LSPA1_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807861,LSPA1_51,LSPA1_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807862,LSPA1_52,LSPA1_52,-,-,-,-,putative class II holin-like protein,protein-coding,-,-,-,putative class II holin-like protein,20201221,-
1540823,22807863,LSPA1_53,LSPA1_53,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20201221,-
1540823,22807864,LSPA1_54,LSPA1_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807865,LSPA1_55,LSPA1_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807866,LSPA1_56,LSPA1_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807867,LSPA1_57,LSPA1_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807868,LSPA1_58,LSPA1_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22807869,LSPA1_01,LSPA1_01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1540823,22847867,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
